horse_id	stallion	生年月日	調教師	馬主	生産者	産地	セリ取引価格	獲得賞金	通算成績	父	母	父父	父母	母父	母母	父父父	父父母	父母父	父母母	母父父	母父母	母母父	母母母	父父父父	父父父母	父父母父	父父母母	父母父父	父母父母	父母母父	父母母母	母父父父	母父父母	母父母父	母父母母	母母父父	母母父母	母母母父	母母母母	父父父父父	父父父父母	父父父母父	父父父母母	父父母父父	父父母父母	父父母母父	父父母母母	父母父父父	父母父父母	父母父母父	父母父母母	父母母父父	父母母父母	父母母母父	父母母母母	母父父父父	母父父父母	母父父母父	母父父母母	母父母父父	母父母父母	母父母母父	母父母母母	母母父父父	母母父父母	母母父母父	母母父母母	母母母父父	母母母父母	母母母母父	母母母母母	race_history
000a0086de	False	1948				米	-	0	0-0-0-0	000a001252	000a006964	000a00fd42	000a0074ba	000a00129b	000a008836	000a00fd43	000a008427	000a001680	000a00fd54	000a00129c	000a00736c	000a001212	000a0102b4	000a001157	000a0102a1	000a001139	000a008a1d	000a00162f	000a009a30	000a00115f	000a0147b9	000a001193	000a0148d6	000a001636	000a007b83	000a0011c8	000a00792a	000a00128d	000a018efc	000a001158	000a0104b9	000a001134	000a0102a0	000a00113a	000a0102a4	000a0012d9	000a014ebb	000a001195	000a0147bb	000a001196	000a00a988	000a001160	000a007ff0	000a0012b6	000a0147bc	000a001194	000a00816c	000a0018b6	000a018441	000a001110	000a014750	000a00164a	000a008c7c	000a000e5b	000a0080f3	000a0012b6	000a008420	000a001194	000a009be1	000a017edd	000a018efb	
000a006b20	False	1948				仏	-	0	0-0-0-0	000a000f3d	000a0072f3	000a00114e	000a007a1d	000a001123	000a0072e9	000a00114f	000a007ffd	000a0011a2	000a007a24	000a001124	000a007ffa	000a0015db	000a007ffb	000a001150	000a008cbb	000a001332	000a008cbc	000a001121	000a008cbd	000a00164b	000a008124	000a001125	000a008cbd	000a001620	000a0102f5	000a00115c	000a0102f6	000a0102f7	000a0102f8	000a001151	000a01049d	000a001122	000a01049f	000a001121	000a0104a1	000a001860	000a0104a2	000a001122	000a0104bf	000a001a17	000a0132d3	000a00114b	000a012bf1	000a001e1d	000a014766	000a001126	000a012fac	000a001a17	000a0132d3	000a0012d9	000a014764	000a001cd9	000a01049d	000a001121	000a014739	000a014cb8	000a014d11	000a001270	000a014b16	000a001d26	000a013128	
000a000ffd	True	1948				仏	-	0	0-0-0-0	000a000fc4	000a007a42	000a0011a3	000a007354	000a0011fc	000a007aaf	000a0011a4	000a0076a6	000a00122e	000a00844d	000a00fb6c	000a008c77	000a0011f2	000a00817b	000a0011a5	000a0081a1	000a0012cd	000a008c6c	000a001138	000a008c86	000a0019fa	000a008c87	000a001121	000a009892	000a00174e	000a008c76	000a0011f3	000a01875b	000a00fb6c	000a014061	000a00114d	000a013248	000a0011f3	000a01476d	000a00114f	000a00a30e	000a0018aa	000a01476c	000a001139	000a007fff	000a013d3f	000a018356	000a0011e3	000a007a8b	000a001691	000a0089d2	000a001122	000a0104bf	000a001d4a	000a01496c	000a00114b	000a0147d1	000a0019eb	000a016efa	000a0011f4	000a0149d2	000a00045b	000a01875a	000a001121	000a009892	000a014060	000a0160e3	
000a006ddf	False	1948				米	-	0	0-0-0-0	000a00127a	000a007348	000a00115f	000a0075cd	000a00115d	000a0073f2	000a001160	000a007ff0	000a00fd43	000a008236	000a00115e	000a0077a7	000a0011c8	000a00a94d	000a001161	000a0102a1	000a001157	000a0102a2	000a001157	000a0102a1	000a001690	000a0102a3	000a001123	000a0077be	000a00114e	000a007852	000a000e5b	000a0080f3	000a00045a	000a00a94c	000a001162	000a01326a	000a001134	000a0102a0	000a001158	000a0104b9	000a0132af	000a0132ae	000a001158	000a0104b9	000a001134	000a0102a0	000a001195	000a017112	000a00190d	000a016fa8	000a001124	000a007ffa	000a013d3f	000a0098d5	000a00114f	000a007ffd	000a001139	000a00fdc6	000a0011cf	000a01029d	000a001150	000a01029e	000a00045b	000a00a94a	000a000455	000a00a94b	
000a007440	False	1948				英	-	0	0-0-0-0	000a001419	000a007415	000a000f01	000a00768d	000a001123	000a0072e9	000a001197	000a00771e	000a001b97	000a0090f2	000a001124	000a007ffa	000a0015db	000a007ffb	000a001149	000a007ff4	000a001177	000a00fdc6	000a001734	000a0148ce	000a00164d	000a0095b1	000a001125	000a008cbd	000a001620	000a0102f5	000a00115c	000a0102f6	000a0102f7	000a0102f8	000a00114a	000a008c8c	000a0011a2	000a00820c	000a001178	000a008445	000a001111	000a013111	000a0011b7	000a0097ed	000a001691	000a0148cd	000a0016c4	000a014870	000a0012b6	000a0173d7	000a001126	000a012fac	000a001a17	000a0132d3	000a0012d9	000a014764	000a001cd9	000a01049d	000a001121	000a014739	000a014cb8	000a014d11	000a001270	000a014b16	000a001d26	000a013128	
000a0069b3	False	1948				英	-	0	0-0-0-0	000a000e88	000a0080f4	000a001172	000a00785f	000a001174	000a0079c3	000a001123	000a00812d	000a001138	000a008139	000a00114e	000a007ff2	000a0011c8	000a00815f	000a001124	000a007ffa	000a0012ed	000a0131c3	000a001139	000a007fff	000a001620	000a008124	000a00114f	000a007ffd	000a001111	000a009c17	000a000e5b	000a0080f3	000a00167d	000a008440	000a001125	000a008cbd	000a001620	000a0102f5	000a001295	000a008b05	000a0131c2	000a008420	000a00113a	000a0102a4	000a001a5e	000a01048a	000a0012d9	000a014764	000a001e1d	000a014766	000a001150	000a008cbb	000a001332	000a008cbc	000a001112	000a01048f	000a00187d	000a009c16	000a0011cf	000a01029d	000a001150	000a01029e	000a00119d	000a008c82	000a0012d9	000a014e08	
000a00a7cd	False	1948				英	-	0	0-0-0-0	000a0011b9	000a0084b6	000a000f3d	000a007b05	000a0013fd	000a009021	000a00114e	000a007a1d	000a0011b4	000a0081f9	000a0013fe	000a0072d1	000a0012b4	000a0081a5	000a00114f	000a007ffd	000a0011a2	000a007a24	000a001157	000a00a304	000a0019d0	000a00a307	000a001160	000a00a133	000a001892	000a013258	000a001124	000a007ae2	000a001212	000a019087	000a001150	000a008cbb	000a001332	000a008cbc	000a001121	000a008cbd	000a00164b	000a008124	000a001158	000a0104b9	000a001132	000a00a303	000a0012d9	000a00a305	000a0019e9	000a00a306	000a001161	000a0102a1	000a001b0a	000a009912	000a001891	000a01325a	000a013637	000a013257	000a001125	000a008cbd	000a001622	000a01474b	000a0011c8	000a00792a	000a001709	000a019086	
000a00a983	False	1948				仏	-	0	0-0-0-0	000a000e70	000a007734	000a000fb5	000a007278	000a001914	000a008a75	000a001180	000a0073e0	000a0011f8	000a00765b	000a001913	000a0095b3	000a001915	000a015501	000a001149	000a007ff4	000a001255	000a008138	000a0011c8	000a008c96	000a00174e	000a008ae4	000a001912	000a0179f3	000a001cb6	000a01476d	000a001295	000a017bdf	000a001ca4	000a015500	000a00114a	000a008c8c	000a0011a2	000a00820c	000a001256	000a014109	000a001170	000a015678	000a000e5b	000a0080f3	000a0019b8	000a00a94c	000a00114b	000a0147d1	000a001917	000a00fd89	000a001911	000a0177a8	000a00045a	000a0179f2	000a001cb5	000a017933	000a0019ed	000a015571	000a00114b	000a0147a0	000a00115c	000a014971	000a001121	000a0156ec	000a015512	000a0154ff	
000a00093a	True	1948				静内町	-	0	0-0-0-0	000a00090d	000a002541	000a0002f9	000a002496	000a000359	000a002394	000a00110f	000a0078cb	000a0015dc	000a007ffc	000a001138	000a007e62	000a00164c	000a014db3	000a001110	000a000438	000a001131	000a007ff9	000a0011b4	000a008d5e	000a00191d	000a008d5f	000a001139	000a007fff	000a0015dd	000a007ff2	000a001139	000a00a30f	000a001891	000a014db4	000a001111	000a013158	000a001d16	000a008c70	000a001132	000a0104b4	000a001a21	000a0147f9	000a001157	000a00a304	000a001121	000a0104c2	000a00187d	000a0104c5	000a001336	000a0104a1	000a00113a	000a0102a4	000a001a5e	000a01048a	000a0019ad	000a01048b	000a001111	000a009c17	000a00113a	000a0102a4	000a00114d	000a014e88	000a001890	000a01363b	000a0012de	000a014db7	
000a001016	True	1948				英	-	0	0-0-0-0	000a000fbf	000a000421	000a0011b7	000a0074da	000a000f01	000a0078d3	000a0011b8	000a008206	000a00164d	000a008215	000a001197	000a00771e	000a0011c9	000a0098a9	000a00119d	000a0147ac	000a001158	000a0147aa	000a0016c4	000a014870	000a001a1b	000a016097	000a001149	000a007ff4	000a001177	000a00fdc6	000a001174	000a00812d	000a00162a	000a00fdcb	000a00119e	000a0104ab	000a0012ae	000a0147ab	000a001159	000a01048e	000a001b81	000a01471e	000a0012e8	000a010492	000a014873	000a01486f	000a001a1a	000a0170bf	000a00115c	000a016096	000a00114a	000a008c8c	000a0011a2	000a00820c	000a001178	000a008445	000a001111	000a013111	000a00114e	000a007ff2	000a0012ed	000a0131c3	000a001177	000a00990a	000a00110f	000a0095f5	
