	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201745013001	ダ	左	1500	晴	良	11:00	3歳4　ロ		2017-1-30	13	川崎	1	93万円以上177.2万円未満		5	630	4	5.0	220	4.0	4.0	300	6.0	12.0	140	1.0	4-5	4380.0	18.0	4-5	3610	15	4-5	1,210	16	5-12	900	10	4-12	950	12	5=>4	5370.0	26.0	5=>4	10270	40	4-5-12	5940	21	5=>4=>12	55750	197	5,7,6,1,9,(4,12),10,8,3,2,11	5,7,(1,6),12,4,9,10,8,3,2,11	5,7,(1,6),9,12,4,10,(8,3),11,2	5,1,7,12,9,4,(10,3),8,6,2,11	6.0 - 11.7 - 12.5 - 14.1 - 12.3 - 12.6 - 14.1 - 14.4	6.0 - 17.7 - 30.2 - 44.3 - 56.6 - 69.2 - 83.3 - 97.7 (30.2-41.1)
201745013002	ダ	左	1500	晴	良	11:30	3歳3　イ		2017-1-30	13	川崎	1	93万円以上177.2万円未満		4	1520	5	4.0	330	4.0	6.0	2,210	11.0	8.0	310	3.0	4-5	1850.0	7.0	4-6	32300	39	4-6	6,700	41	4-8	1,260	12	6-8	5,740	38	4=>5	4300.0	15.0	4=>6	46780	58	4-6-8	40920	76	4=>6=>8	480500	572	4,7,11,9,6,10,2,5,(3,8),12,1	4,7,11,9,6,10,2,(3,5),12,8,1	4,7,11,9,6,10,(2,5),8,3,1,12	467112105318912	5.8 - 11.4 - 12.3 - 14.1 - 12.8 - 13.5 - 14.0 - 13.2	5.8 - 17.2 - 29.5 - 43.6 - 56.4 - 69.9 - 83.9 - 97.1 (29.5-40.7)
201745013003	ダ	左	1400	晴	良	12:00	C311　1213		2017-1-30	13	川崎	1			5	310	2	5.0	110	2.0	3.0	100	1.0	1.0	170	4.0	3-5	300.0	1.0	3-5	310	1	3-5	170	1	1-5	340	5	1-3	240	4	5=>3	800.0	4.0	5=>3	660	2	1-3-5	550	2	5=>3=>1	2410	5	598321746	5,9,3,8,(2,1),7,4,6	5,9,(3,1),8,7,(2,6),4	5,(3,9),(8,1),7,2,4,6	13.3 - 12.8 - 13.7 - 12.5 - 13.3 - 14.3 - 13.4	13.3 - 26.1 - 39.8 - 52.3 - 65.6 - 79.9 - 93.3 (39.8-41.0)
201745013004	ダ	左	1400	晴	良	12:30	ONIGASHIRA		2017-1-30	13	川崎	1			2	370	2	2.0	220	3.0	5.0	660	8.0	4.0	200	2.0	2-5	4150.0	14.0	2-5	4160	13	2-5	1,110	12	2-4	370	4	4-5	1,280	17	2=>5	5420.0	19.0	2=>5	5200	19	2-4-5	3650	14	2=>5=>4	21420	75	32816749105	3,2,8,1,6,4,7,9,10-5	3,2,7,(1,4),(8,9),10,6-5	3,2,7,1,4,9,(6,10),5,8	12.9 - 12.2 - 13.8 - 12.5 - 13.4 - 14.9 - 14.2	12.9 - 25.1 - 38.9 - 51.4 - 64.8 - 79.7 - 93.9 (38.9-42.5)
201745013005	ダ	左	1400	晴	良	13:00	黄色いまる顔タヌキ生		2017-1-30	13	川崎	1			10	170	1	10.0	140	2.0	6.0	400	6.0	1.0	300	4.0	6-8	750.0	3.0	6-10	1340	5	6-10	490	6	1-10	450	3	1-6	1,280	17	8=>6	950.0	4.0	10=>6	1800	5	1-6-10	2410	7	10=>6=>1	7180	17	10,11,6,9,(2,3),4,5,8,7,1	10,11,6,(2,3,9),4,5,8,7,1	10,11,6,2,3,(4,9),8,5,7,1	10,6,11,2,4,3,(1,8),5,7,9	13.3 - 12.8 - 14.1 - 12.3 - 13.0 - 14.2 - 13.2	13.3 - 26.1 - 40.2 - 52.5 - 65.5 - 79.7 - 92.9 (40.2-40.4)
201745013006	ダ	左	900	晴	良	13:30	サイクロン賞		2017-1-30	13	川崎	1			5	370	2	5.0	200	4.0	10.0	170	2.0	6.0	580	7.0	5-7	900.0	4.0	5-10	1110	4	5-10	420	4	5-6	1,370	14	6-10	1,460	15	5=>7	1440.0	6.0	5=>10	1760	7	5-6-10	6230	21	5=>10=>6	17180	49			(5,10),12,4,6,9,8,3,2,11,7=1	5,10,12,4,6,8,9,3,2,11,7=1	6.8 - 10.5 - 11.4 - 13.2 - 13.1	6.8 - 17.3 - 28.7 - 41.9 - 55.0 (28.7-37.7)
201745013007	ダ	左	1400	晴	良	14:00	山田修一生誕60周年		2017-1-30	13	川崎	1			6	380	2	6.0	160	2.0	7.0	260	3.0	5.0	810	10.0	5-6	940.0	4.0	6-7	1730	5	6-7	500	3	5-6	1,750	19	5-7	2,990	35	5=>6	1180.0	4.0	6=>7	2020	5	5-6-7	8080	27	6=>7=>5	28700	85	2,(1,11),7,4,6,10,5,8,9,12,3	127114651089123	(1,2),7,4,11,6,(5,10),(9,8),12,3	(1,2),7,6,(5,4),10,9,12,(11,8),3	12.9 - 11.8 - 13.2 - 11.9 - 13.1 - 15.0 - 13.8	12.9 - 24.7 - 37.9 - 49.8 - 62.9 - 77.9 - 91.7 (37.9-41.9)
201745013008	ダ	左	1500	晴	良	14:30	C2三　四五		2017-1-30	13	川崎	1			4	1270	3	4.0	240	3.0	2.0	970	8.0	7.0	280	4.0	2-4	19420.0	26.0	2-4	15620	25	2-4	2,590	19	4-7	1,120	11	2-7	5,870	33	4=>2	34790.0	41.0	4=>2	34290	46	2-4-7	59940	78	4=>2=>7	490260	456	2,7,12,4,8,5,1,3,9,(11,6,10)	2,7,12,4,8,1,5,3,9,11,(6,10)	2,(7,12),(4,8,5),(1,3),(9,10),11,6	2,4,7,(8,5),1,12,3,9,(11,10),6	6.2 - 11.8 - 13.2 - 14.0 - 12.0 - 12.7 - 14.0 - 13.0	6.2 - 18.0 - 31.2 - 45.2 - 57.2 - 69.9 - 83.9 - 96.9 (31.2-39.7)
201745013009	ダ	左	1600	晴	良	15:05	C2三　四五		2017-1-30	13	川崎	1			3	160	1	3.0	110	1.0	5.0	150	2.0	13.0	490	8.0	3-4	270.0	1.0	3-5	360	1	3-5	230	1	3-13	850	10	5-13	1,730	21	3=>4	400.0	1.0	3=>5	510	1	3-5-13	3420	10	3=>5=>13	7940	20	1,6,(4,8),(3,5),10,9,12,2,11,13,7	16458310912211137	(1,6),8,5,3,4,(9,10),12,2,11,7,13	3,6,1,(4,5),11,10,8,2,9,13,12,7	12.9 - 11.5 - 13.2 - 14.4 - 12.6 - 13.3 - 14.4 - 12.7	12.9 - 24.4 - 37.6 - 52.0 - 64.6 - 77.9 - 92.3 - 105.0 (37.6-40.4)
201745013010	ダ	左	1500	晴	良	15:40	快適生活♪にのみやL 		2017-1-30	13	川崎	1			4	220	1	4.0	130	1.0	1.0	140	2.0	11.0	290	6.0	1-3	410.0	1.0	1-4	400	1	1-4	230	1	4-11	690	6	1-11	760	7	3=>1	750.0	1.0	4=>1	600	1	1-4-11	2740	6	4=>1=>11	7010	8	4612141139372511810	4611214913372511810	4,12,6,1,7,(14,13),3,9,11,5,(2,8),10	4,12,1,(14,7),(9,13,3),11,2,8,(5,10),6	6.0 - 11.1 - 12.0 - 13.7 - 12.3 - 13.4 - 14.6 - 13.1	6.0 - 17.1 - 29.1 - 42.8 - 55.1 - 68.5 - 83.1 - 96.2 (29.1-41.1)
