	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201755010401	ダ	右	1300	晴	重	11:00	C2ー17組		2017-1-4	19	佐賀	3	(馬齢)		8	130	1	8.0	100.0	1.0	6.0	110.0	2.0	7.0	650.0	6.0	6-8	110	1	6-8	110.0	1.0	7-8	1,190	10.0	6-7	1,190	10.0	8=>6	200	1	6-7-8	1670.0	5.0	8=>6=>7	2750.0	7.0	46813752.0	46871325.0	46871352.0	86471352.0					
201755010402	ダ	右	1300	晴	重	11:30	C2ー16組		2017-1-4	19	佐賀	3	(馬齢)		5	1400	3	5.0	130.0	2.0	8.0	100.0	1.0	1.0	140.0	3.0	5-8	400	2	5-8	210.0	2.0	1-5	1,220	14.0	1-8	250	4.0	5=>8	2330	8	1-5-8	1250.0	5.0	5=>8=>1	11780.0	45.0	17368452.0	17384652.0	17854362.0	51873462.0					
201755010403	ダ	右	1300	晴	重	12:05	C2ー15組		2017-1-4	19	佐賀	3	(馬齢)		7	350	2	7.0	130.0	3.0	3.0	120.0	2.0	2.0	110.0	1.0	3-7	560	2	3-7	160.0	1.0	2-7	360	5.0	2-3	210	2.0	7=>3	1110	1	2-3-7	800.0	1.0	7=>3=>2	4510.0	7.0	167389245.0	167389245.0	176398245.0	137982465.0			3-7	650.0	1.0
201755010404	ダ	右	1400	晴	重	12:40	C2ー14組		2017-1-4	19	佐賀	3	(馬齢)		1	1240	5	1.0	230.0	5.0	3.0	160.0	3.0	2.0	160.0	2.0	1-3	1600	5	1-3	350.0	4.0	1-2	410	5.0	2-3	130	1.0	1=>3	3770	15	1-2-3	800.0	2.0	1=>3=>2	11300.0	37.0	63182754.0	63182754.0	63182754.0	31628754.0					
201755010405	ダ	右	1400	晴	重	13:15	C2ー13組		2017-1-4	19	佐賀	3	(馬齢)		2	450	2	2.0	140.0	2.0	5.0	140.0	1.0	6.0	300.0	7.0	2-5	320	1	2-5	180.0	1.0	2-6	800	13.0	5-6	640	10.0	2=>5	1260	3	2-5-6	1270.0	3.0	2=>5=>6	5090.0	15.0	942538176.0	942538167.0	492538167.0	254983617.0			2-5	230.0	1.0
201755010406	ダ	右	1400	晴	重	13:50	C2ー12組		2017-1-4	19	佐賀	3	(馬齢)		10	2900	6	10.0	210.0	5.0	1.0	110.0	2.0	7.0	110.0	1.0	1-10	4020	11	1-10	800.0	11.0	7-10	750	10.0	1-7	170	1.0	10=>1	19110	28	1-7-10	2210.0	8.0	10=>1=>7	46730.0	93.0	71093612458.0	71039162458.0	71039124685.0	10791348256.0			1-8	1830.0	7.0
201755010407	ダ	右	1400	晴	重	14:25	C2ー11組		2017-1-4	19	佐賀	3	(馬齢)		5	140	1	5.0	100.0	1.0	1.0	160.0	3.0	2.0	100.0	2.0	1-5	770	3	1-5	290.0	4.0	2-5	120	1.0	1-2	370	6.0	5=>1	910	4	1-2-5	410.0	1.0	5=>1=>2	1780.0	5.0	453169287.0	453691287.0	541632987.0	516284793.0			1-5	720.0	2.0
201755052801	ダ	右	900	晴	良	12:15	2歳ー1組新馬		2017-5-28	4	佐賀	4	(馬齢)		2	2230	4	2.0	230.0	3.0	6.0	340.0	4.0				2-6	8250	13	2-6	860.0	10.0	2-8	330	3.0	6-8	260	2.0	2=>6	10100	21	2-6-8	1510.0	6.0	2=>6=>8	26200.0	56.0			6857231.0	6825731.0					
201755060401	ダ	右	900	晴	良	12:15	C2ー19組		2017-6-4	5	佐賀	2	(馬齢)		5	1140	4	5.0	260.0	5.0	4.0	100.0	1.0	6.0	140.0	3.0	4-5	750	4	4-5	260.0	4.0	5-6	350	7.0	4-6	210	2.0	5=>4	1870	8	4-5-6	510.0	2.0	5=>4=>6	4500.0	19.0			45867132.0	45687132.0					
201755060402	ダ	右	1300	晴	良	12:45	2歳ー2組		2017-6-4	5	佐賀	2	(馬齢)		4	170	1										3-4	260	1	3-4	110.0	1.0	2-4	160	5.0	2-3	160	4.0	4=>3	300	1	2-3-4	320.0	2.0	4=>3=>2	750.0	2.0	2314.0	2314.0	2341.0	4321.0					
