	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201750010301	ダ	右	1400	晴	良	10:55	C3三		2017-1-3	22	園田	2	(馬齢)		5	110	1	5	120	1	7	1,170	8	9.0	1,190	9.0	5-7	1790.0	6.0	5-7	2100	8	5-7	940	10	5-9	980	11	7-9	18,630	35	5=>7	2120	7	5-7-9	20380	37	5=>7=>9	47390	81	4,6,5,7,9,(1,8),2,3	465791823	(4,6),5,(7,9),3,1,8,2	564793182		
201750010302	ダ	右	1400	晴	良	11:25	C3二		2017-1-3	22	園田	2	(馬齢)		2	560	3	2	160	3	3	160	4	1.0	110	1.0	2-3	1410.0	5.0	2-3	1390	6	2-3	380	4	1-2	270	2	1-3	270	3	2=>3	3000	10	1-2-3	880	1	2=>3=>1	8900	27	26914103587	26914103587	2,6,1,9,4,3,(7,10),(5,8)	2,6,1,9,4,3,7,(5,8),10		
201750010303	ダ	右	1400	晴	良	11:55	C3一		2017-1-3	22	園田	2	(馬齢)		10	2010	7	10	540	7	9	260	4	2.0	200	3.0	8-8	4850.0	20.0	9-10	6900	22	9-10	2,060	25	2-10	1,700	22	2-9	980	14	10=>9	15360	47	2-9-10	21580	61	10=>9=>2	308160	458	9,10,2,6,(1,5,7),8,3,4	91026517834	9,10,2,6,1,(3,5),7,8,4	91026158347		
201750010304	ダ	右	1400	晴	良	12:25	3歳二組		2017-1-3	22	園田	2	(馬齢)		3	830	5	3	270	6	10	530	8	9.0	270	5.0	3-7	2370.0	11.0	3-10	7470	23	3-10	1,710	22	3-9	1,050	16	9-10	1,010	13	3=>10	9130	40	3-9-10	13240	50	3=>10=>9	65070	240	31021141219856	31021141129856	31091121281456	3,10,9,(2,8,11),1,5,6,12,4		
201750010305	ダ	右	1230	晴	良	12:55	C2 		2017-1-3	22	園田	2	(馬齢)		1	780	3	1	150	3	3	110	1	7.0	180	4.0				1-3	460	2	1-3	190	2	1-7	530	7	3-7	290	3	1=>3	1570	5	1-3-7	640	3	1=>3=>7	5330	18	58623714	58623714	68532714	(3,6),8,7,2,5,1,4		
201750010306	ダ	右	1400	晴	良	13:30	C2二		2017-1-3	22	園田	2	(馬齢)		3	170	1	3	140	1	9	220	5	1.0	610	7.0	3-8	1340.0	6.0	3-9	1630	7	3-9	600	7	1-3	1,670	20	1-9	3,090	25	3=>9	1820	7	1-3-9	9290	32	3=>9=>1	28250	89	3,7,1,10,4,(2,5),9,(6,8)	3,7,(1,10),4,5,2,9,8,6	37512104986	3,7,5,1,2,(4,9),8,10,6		
201750010307	ダ	右	1400	晴	良	14:05	C2一		2017-1-3	22	園田	2	(馬齢)		7	1920	6	7	350	6	9	130	1	6.0	770	8.0	7-8	940.0	3.0	7-9	2170	7	7-9	690	9	6-7	4,540	26	6-9	1,630	15	7=>9	4880	17	6-7-9	19050	39	7=>9=>6	130380	192	12967103854	12697103854	1,9,2,6,7,8,5,10,(3,4)	91762854103		
201750010308	ダ	右	1400	晴	良	14:40	C1二 		2017-1-3	22	園田	2	(馬齢)		7	3360	8	7	390	7	6	250	5	9.0	140	2.0	6-7	3980.0	12.0	6-7	16500	29	6-7	2,810	27	7-9	1,410	16	6-9	820	10	7=>6	30450	53	6-7-9	10050	36	7=>6=>9	145510	288	6,7,1,9,4,10,8,(2,5),3	67194108523	6,7,9,1,8,5,(2,4),10,3	(6,7),(1,9),8,5,2,10,4,3		
201750010309	ダ	右	1400	晴	良	15:15	B2 		2017-1-3	22	園田	2	(馬齢)		3	680	5	3	240	4	8	1,050	8	5.0	260	6.0	3-6	2510.0	13.0	3-8	17720	26	3-8	3,560	26	3-5	940	13	5-8	5,850	30	3=>8	24940	49	3-5-8	29960	56	3=>8=>5	352860	404	951131712428610	951131724128610	957312811412610	953172846111210		
201750010901	ダ	右	1400	曇	不良	11:10	C2二		2017-1-9	22	園田	4	(馬齢)		4	470	3	4	190	3	2	130	1							2-4	560	2	2-4	220	4	3-4	450	7	2-3	200	3	4=>2	1420	7	2-3-4	980	4	4=>2=>3	5180	21	2743561	2743561	2637415	2,(4,6),3,7,1,5		
201750010902	ダ	右	1400	曇	不良	11:45	C2一		2017-1-9	22	園田	4	(馬齢)		4	200	1	4	120	2	5	120	1	8.0	140	4.0				4-5	220	1	4-5	130	1	4-8	210	3	5-8	170	2	4=>5	400	1	4-5-8	280	1	4=>5=>8	910	1	78135462	7,8,1,(3,5),4,6,2	84753612	(4,8),7,5,3,6,2,1		
201750011201	ダ	右	1400	晴	稍重	11:10	C3三		2017-1-12	23	園田	1	(馬齢)		7	170	1	7	120	1	3	200	3							3-7	310	1	3-7	130	1	5-7	180	3	3-5	220	4	7=>3	470	1	3-5-7	440	2	7=>3=>5	1450	3	5734126	5734126	5732416	7532416		
201750011202	ダ	右	1400	晴	稍重	11:45	C3二		2017-1-12	23	園田	1	(馬齢)		2	750	4	2	200	2	5	200	3							2-5	1070	4	2-5	190	4	2-3	190	3	3-5	120	1	2=>5	2530	10	2-3-5	330	1	2=>5=>3	5060	22	371254	371245	235741	3,(2,5),7,4,1		
201750011203	ダ	右	1400	晴	稍重	12:20	C3一		2017-1-12	23	園田	1	(馬齢)		4	500	3	4	180	3	1	130	1							1-4	390	2	1-4	170	2	4-7	220	3	1-7	150	1	4=>1	900	4	1-4-7	340	1	4=>1=>7	1690	3	4573162	4573162	4175326	4173256		
201750012401	ダ	右	1400	曇	良	10:55	C3四		2017-1-24	23	園田	5	(馬齢)		5	7470	9	5	1,100	10	2	160	3	1.0	120	1.0	2-5	45030.0	28.0	2-5	34280	38	2-5	7,370	41	1-5	2,920	26	1-2	390	2	5=>2	157860	90	1-2-5	18330	47	5=>2=>1	332760	484	59107168324	59107168324	57691810324	57168291034		
201750012402	ダ	右	1400	曇	良	11:25	C3三		2017-1-24	23	園田	5	(馬齢)		2	370	3	2	200	3	9	120	1	5.0	250	6.0	2-8	270.0	1.0	2-9	650	2	2-9	210	2	2-5	1,010	12	5-9	790	8	2=>9	1460	5	2-5-9	2180	7	2=>9=>5	12270	40	8,9,(2,10),4,3,1,7,5,6	89210314756	(8,9),2,10,1,3,5,6,4,7	98210153647		
201750012403	ダ	右	1400	曇	良	11:55	C3二		2017-1-24	23	園田	5	(馬齢)		9	1530	6	9	340	6	10	150	1	8.0	260	5.0	8-8	2230.0	9.0	9-10	1940	7	9-10	830	12	8-9	1,630	17	8-10	390	4	9=>10	6810	26	8-9-10	5420	21	9=>10=>8	78830	212	58101364729	58103164729	58610319427	5,8,6,10,1,(3,9),4,2,7		
201750012404	ダ	右	1400	曇	良	12:25	C3一		2017-1-24	23	園田	5	(馬齢)		10	280	1	10	130	1	1	140	2	5.0	280	6.0	1-8	560.0	2.0	1-10	580	1	1-10	310	1	5-10	590	10	1-5	800	14	10=>1	1150	1	1-5-10	1660	3	10=>1=>5	4550	5	5,3,7,1,2,8,(4,9),10,6	53712894106	51031876492	10,5,1,6,(3,8),9,4,7,2		
201750012405	ダ	右	1400	曇	良	12:55	3歳C2		2017-1-24	23	園田	5	(馬齢)		6	420	2	6	160	2	4	100	1	9.0	170	3.0	4-5	190.0	1.0	4-6	330	1	4-6	170	1	6-9	460	5	4-9	240	2	6=>4	740	2	4-6-9	910	2	6=>4=>9	3780	7	469123110115782	4,6,12,9,3,1,10,11,(5,7),8,2	4,6,(3,9,12),11,1,10,5,8,7,2	(4,6),9,12,3,11,8,5,1,10,7,2		
201750012406	ダ	右	1400	曇	良	13:25	C2二		2017-1-24	23	園田	5	(馬齢)		8	520	2	8	140	3	9	140	4	10.0	100	1.0	7-8	350.0	2.0	8-9	1450	6	8-9	280	4	8-10	150	1	9-10	220	3	8=>9	2290	10	8-9-10	650	3	8=>9=>10	7210	22	35102491867	35102498167	8,10,3,(5,9),2,4,6,7,1	(8,10),9,(2,3),5,6,4,7,1		
