	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
201743010901	ダ	左	1500	曇	不良	10:50	2017年船橋ケイバ		2017-1-9	10	船橋	1			5	110	1	5	100	1	4	230	5	4-5	450	3	4-5	190	4	5-7	190	3	4-7	690	11	5=>4	530	4	4-5-7	860	6	5=>4=>7	1920	9	1357426.0	1357426.0	1357462	1354762.0	7.2 - 12.2 - 13.1 - 13.3 - 13.3 - 13.4 - 13.9 - 13.8	7.2 - 19.4 - 32.5 - 45.8 - 59.1 - 72.5 - 86.4 - 100.2 (32.5-41.1)									
201743010902	ダ	左	1500	曇	不良	11:20	3歳四		2017-1-9	10	船橋	1	129万円以上187万円未満		5	290	1	5	160	2	1	220	3	1-5	510	3	1-5	210	3	4-5	170	2	1-4	300	5	5=>1	1000	2	1-4-5	510	1	5=>1=>4	2520	3	3461752.0	3416725.0	3415267	3145726.0	7.1 - 12.4 - 14.1 - 13.6 - 12.8 - 13.0 - 13.2 - 14.3	7.1 - 19.5 - 33.6 - 47.2 - 60.0 - 73.0 - 86.2 - 100.5 (33.6-40.5)									
201743010903	ダ	左	1500	曇	不良	11:50	3歳三		2017-1-9	10	船橋	1	187万円以上238万円未満		11	530	4	11	150	2	1	130	1	1-11	760	3	1-11	310	2	2-11	520	5	1-2	320	3	11=>1	1800	5	1-2-11	1300	3	11=>1=>2	7850	14	127110311468925.0	127131041169825.0	127131011496825	711110934612825.0	7.0 - 11.9 - 12.5 - 12.6 - 13.2 - 13.6 - 14.2 - 14.1	7.0 - 18.9 - 31.4 - 44.0 - 57.2 - 70.8 - 85.0 - 99.1 (31.4-41.9)	2.0	160.0	3.0	1-8	740.0	3.0	8=>1	1610.0	4.0
201743010904	ダ	左	1200	曇	不良	12:20	C3十　十一		2017-1-9	10	船橋	1			2	930	5	2	250	5	10	180	3	2-10	2730	12	2-10	900	14	2-3	860	13	3-10	530	7	2=>10	6300	28	2-3-10	3550	13	2=>10=>3	28440	113		287693105121411.0	2,8,7,9,3,10,(6,5),12,4,1,11	278931056124111.0	12.8 - 11.7 - 12.4 - 13.3 - 13.5 - 14.2	12.8 - 24.5 - 36.9 - 50.2 - 63.7 - 77.9 (36.9-41.0)	3.0	170.0	2.0	2-7	1650.0	10.0	2=>7	3000.0	17.0
201743010905	ダ	左	1200	曇	不良	12:50	C3　十二		2017-1-9	10	船橋	1			11	230	2	11	140	2	1	240	4	1-11	740	2	1-11	380	4	5-11	4,650	27	1-5	8,540	36	11=>1	1000	3	1-5-11	26440	42	11=>1=>5	61690	129		9115461031827.0	9116510438217.0	1196532108417.0	13.2 - 12.2 - 12.7 - 13.4 - 13.6 - 14.0	13.2 - 25.4 - 38.1 - 51.5 - 65.1 - 79.1 (38.1-41.0)	5.0	1,740	9.0	1-8	680.0	4.0	8=>1	1150.0	5.0
201743010906	ダ	左	1500	曇	不良	13:20	C2三		2017-1-9	10	船橋	1			3	420	3	3	140	2	4	130	1	3-4	520	1	3-4	250	2	3-5	600	11	4-5	470	7	3=>4	1060	2	3-4-5	940	2	3=>4=>5	4740	10	543162987.0	543169287.0	543196287	543619287.0	7.1 - 12.9 - 13.9 - 13.7 - 12.9 - 12.9 - 13.1 - 13.2	7.1 - 20.0 - 33.9 - 47.6 - 60.5 - 73.4 - 86.5 - 99.7 (33.9-39.2)	5.0	200	6.0	3-4	550.0	2.0	3=>4	1300.0	5.0
201743010907	ダ	左	1600	曇	不良	13:50	成田漬物ワインらっき		2017-1-9	10	船橋	1			1	260	1	1	120	2	3	120	1	1-3	350	1	1-3	150	1	1-8	420	8	3-8	350	5	1=>3	710	2	1-3-8	890	2	1=>3=>8	3280	6	13827546.0	1,3,2,8,7,5,4-6	1,3,2,8,5,7,4-6	1,3,2,8,5,7,4-6	13.0 - 11.9 - 12.7 - 12.9 - 13.0 - 13.0 - 13.7 - 14.8	13.0 - 24.9 - 37.6 - 50.5 - 63.5 - 76.5 - 90.2 - 105.0 (37.6-41.5)	8.0	180	4.0						
201743010908	ダ	左	1600	曇	不良	14:20	成田山特別 		2017-1-9	10	船橋	1			4	290	2	4	120	1	6	880	8	4-6	9070	23	4-6	2,720	23	2-4	440	4	2-6	3,030	24	4=>6	12170	35	2-4-6	13520	33	4=>6=>2	70730	184	416578293.0	416578239	4,3,(5,6),9,1,7,2,8	435617928	13.4 - 13.0 - 12.9 - 13.3 - 12.1 - 12.8 - 13.5 - 13.6	13.4 - 26.4 - 39.3 - 52.6 - 64.7 - 77.5 - 91.0 - 104.6 (39.3-39.9)	2.0	210	3.0	4-6	7190.0	23.0	4=>6	11290.0	36.0
201743010909	ダ	左	1200	曇	不良	14:55	祝!!成人賞競馬デビ		2017-1-9	10	船橋	1			11	220	1	11	120	1	6	130	2	6-11	360	1	6-11	170	1	10-11	550	8	6-10	760	10	11=>6	750	1	6-10-11	1380	4	11=>6=>10	4790	10		4610111952387.0	4610111958327.0	6410119185372.0	12.7 - 12.0 - 12.5 - 12.4 - 12.5 - 14.0	12.7 - 24.7 - 37.2 - 49.6 - 62.1 - 76.1 (37.2-38.9)	10.0	260	6.0	6-8	350.0	1.0	8=>6	530.0	1.0
201743010910	ダ	左	1600	曇	不良	15:30	睦月賞		2017-1-9	10	船橋	1			11	200	1	11	130	1	8	170	3	8-11	480	1	8-11	240	1	2-11	950	9	2-8	2,110	26	11=>8	850	2	2-8-11	4950	15	11=>8=>2	17090	46	111102495863712.0	111210495863712	1,11,2,10,4,(5,9),8,3,(6,7),12	111210495863712	12.7 - 12.0 - 13.1 - 13.2 - 12.9 - 13.1 - 13.5 - 14.3	12.7 - 24.7 - 37.8 - 51.0 - 63.9 - 77.0 - 90.5 - 104.8 (37.8-40.9)	2.0	510	7.0	6-8	400.0	1.0	8=>6	640.0	1.0
201743011101	ダ	左	1200	晴	重	10:50	「ふなばし三番瀬海浜		2017-1-11	10	船橋	3	62万円以上87万円未満		1	130	1	1	110	1	5	190	3	1-5	560	2	1-5	270	2	1-8	290	3	5-8	920	14	1=>5	690	3	1-5-8	1190	4	1=>5=>8	3040	7		534718629	5,1,4,7,3,(6,8),9,2	514687392	12.9 - 12.1 - 12.4 - 12.9 - 12.8 - 13.4	12.9 - 25.0 - 37.4 - 50.3 - 63.1 - 76.5 (37.4-39.1)	8.0	260	6.0	1-5	490.0	2.0	1=>5	740.0	4.0
201743011102	ダ	左	1200	晴	重	11:20	YOUTUBE検索特		2017-1-11	10	船橋	3			11	160	1	11	110	1	1	140	2	1-11	510	1	1-11	220	1	3-11	290	3	1-3	720	10	11=>1	650	1	1-3-11	1240	2	11=>1=>3	3130	3		610111228159734.0	610111221859374.0	116121012853947.0	12.8 - 11.6 - 11.8 - 12.4 - 13.1 - 14.5	12.8 - 24.4 - 36.2 - 48.6 - 61.7 - 76.2 (36.2-40.0)	3.0	190	4.0	1-8	480.0	2.0	8=>1	750.0	2.0
201743011103	ダ	左	1500	晴	重	11:50	県ブランド認定船橋ス		2017-1-11	10	船橋	3			9	190	1	9	130	1	2	320	5	2-9	1040	5	2-9	350	2	8-9	2,330	23	2-8	6,180	43	9=>2	2110	7	2-8-9	10380	38	9=>2=>8	35080	126	197368112124105.0	197368112124105	197638211412105	916827113412105	7.5 - 12.3 - 12.5 - 12.5 - 12.7 - 13.2 - 12.7 - 14.4	7.5 - 19.8 - 32.3 - 44.8 - 57.5 - 70.7 - 83.4 - 97.8 (32.3-40.3)	8.0	2,790	12.0	2-7	1260.0	6.0	7=>2	2340.0	10.0
