	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201747011201	ダ	右	1400	晴	良	10:35	サラ系C18・22組		2017-1-12	17	笠松	4	(馬齢)		7	100	1	7	100	1	8	210	5	1.0	140	3.0	7-8	660	3	7-8	310	5	1-7	150	1	1-8	510	8	7=>8	750	4	1-7-8	750	5	7=>8=>1	2290	10		1,8,(5,7),2,3,4,6	1,8,7,5,3,2,4-6	7,8,1,5-3,4,2-6					
201747011202	ダ	右	1400	曇	良	11:05	サラ系C18組		2017-1-12	17	笠松	4	(馬齢)		4	100	1	4	100	1	8	140	3	5.0	140	5.0	4-8	580	4	4-8	320	5	4-5	160	1	5-8	520	9	4=>8	730	4	4-5-8	830	6	4=>8=>5	2610	12		78146532	7,8,4,1,6,(5,2)-3	7,4,8,(1,2),6,5,3					
201747011203	ダ	右	1400	曇	良	11:40	サラ系C17組		2017-1-12	17	笠松	4	(馬齢)		8	160	1	8	100	1	1	110	2	2.0	120	3.0	1-8	210	1	1-8	130	1	2-8	360	6	1-2	430	8	8=>1	440	1	1-2-8	660	3	8=>1=>2	1690	6		18276453.0	18276453.0	18274653.0					
201747011204	ダ	右	1600	曇	良	12:15	サラ系C16組		2017-1-12	17	笠松	4	(馬齢)		6	340	2	6	100	2	8	100	1	1.0	110	3.0	6-8	150	1	6-8	130	1	1-6	290	5	1-8	230	4	6=>8	510	2	1-6-8	420	2	6=>8=>1	1980	6		8,2,6,1,7,4,3-5	8,6,1,2,7,4,3=5	8,6,1,7,2,4,3-5					
201747011205	ダ	右	1400	曇	良	12:50	祝★婆ちゃん百歳おめ		2017-1-12	17	笠松	4	(馬齢)		9	220	2	9	100	1	7	100	2	6.0	140	3.0	7-9	170	1	7-9	110	1	6-9	260	2	6-7	270	3	9=>7	420	2	6-7-9	490	2	9=>7=>6	1370	3		597186423	9,(5,7),6,8,1,4,2,3	976528143			7-8	150.0	1.0
201747011206	ダ	右	1400	曇	良	13:25	サラ系B8組		2017-1-12	17	笠松	4	(馬齢)		6	190	1	6	110	1	2	120	2	9.0	1,180	9.0	2-6	260	1	2-6	130	1	6-9	3,430	18	2-9	5,960	26	6=>2	480	1	2-6-9	11520	19	6=>2=>9	26340	61		492637581	4,9,6,2,(3,7),8,5,1	9,(4,6),2,7,3,8,5,1			2-6	270.0	1.0
201747011207	ダ	右	1400	曇	良	14:00	サラ系B7組		2017-1-12	17	笠松	4	(馬齢)		1	120	1	1	100	1	5	250	6	9.0	590	7.0	1-5	800	4	1-5	350	4	1-9	950	8	5-9	4,320	21	1=>5	870	4	1-5-9	4650	15	1=>5=>9	9500	30		19108637524	19105863472	1,9,10,5,8,3,6,7,(2,4)			1-5	990.0	4.0
201747012501	ダ	右	1400	晴	良	10:50	サラ系C21組		2017-1-25	18	笠松	3	(馬齢)		9	230	1	9	110	1	8	130	2	6.0	310	7.0	8-9	350	1	8-9	170	1	6-9	730	11	6-8	1,740	17	9=>8	580	1	6-8-9	2210	10	9=>8=>6	6130	17		896741523	8,9,6,4,7,1,5-2,3	896471523			8-8	290.0	2.0
201747012502	ダ	右	1400	晴	良	11:20	サラ系C17・20組		2017-1-25	18	笠松	3	(馬齢)		4	130	1	4	100	1	1	150	4	9.0	110	2.0	1-4	520	2	1-4	180	2	4-9	110	1	1-9	230	4	4=>1	770	3	1-4-9	370	1	4=>1=>9	1800	4		2,4,1,9,3,(7,8),(5,6)	2,4,9,(1,7),8,3,6-5	249178635			1-4	430.0	2.0
201747020701	ダ	右	1400	晴	稍重	11:30	サラ系3歳6組		2017-2-7	19	笠松	2	(馬齢)		6	110	1	6	110	1	1	260	4	4.0	220	3.0	1-6	720	3	1-6	330	3	4-6	260	2	1-4	750	8	6=>1	790	3	1-4-6	1700	5	6=>1=>4	3000	8		819364257	(8,1),9,3,6,4,2,5,7	8,(3,1),4,6,9,2,5,7			1-6	640.0	3.0
