rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	8		キョウワヴィラン	牡4	56.0		藤江渉	1:37.3		9-10-1-1	40.3	3.3	2	487	14		山田正実		冨田藤男	100.0
2	3	3		ヒロソーラー	牡8	56.0		拜原靖之	1:38.2	4.0	4-4-5-5	41.0	48.7	8	495	-4		八木仁		富岡直博	38.0
3	5	5		ティーサムライ	牡4	56.0		繁田健一	1:38.2	ハナ	5-5-5-5	40.8	19.1	6	490	-5		長谷川忍		早川正行	25.0
4	2	2		ファンタジーノベル	牝4	54.0		森泰斗	1:38.3	1/2	6-6-7-7	40.6	6.7	4	456	-6		水野貴史		杉浦和也	15.0
5	5	6		ハードパンチャー	牡4	56.0		秋元耕成	1:38.4	3/4	2-2-2-2	41.4	112.2	11	500	-8		平山真希		木村勝	12.0
6	7	9		ケイティノーブル	牡4	56.0		増田充宏	1:38.7	1.1/2	12-12-7-8	40.8	72.8	10	456	-7		加藤誠一		瀧本和義	
7	4	4		ルミノール	牡6	56.0		瀧川寿希	1:38.9	1.1/2	1-1-4-3	41.9	3.0	1	471	1		平田正一		薪浦州平	
8	1	1		サクラブチャン	牝6	54.0		柏木健宏	1:39.0	1/2	10-9-10-9	41.1	40.9	7	456	-2		牛房栄吉		田頭喜秀	
9	8	11		コスモキリュウ	牡4	56.0		吉原寛人	1:39.6	3.0	6-6-7-11	41.9	4.2	3	471	6		内田勝義		佐藤貞夫	
10	8	12		ウーマンレジェンド	牝4	54.0		的場文男	1:39.6	クビ	11-11-12-10	41.5	53.4	9	479	-1		田辺陽一		栗山正	
11	7	10		マイネルアンドゥミ	牡4	56.0		真島大輔	1:39.6	クビ	2-3-2-3	42.6	9.9	5	451	1		川村守男		佐藤貞夫	
12	6	7		シェナノブチ	牡4	56.0		国分祐仁	1:39.7	1/2	8-8-11-12	41.8	232.4	12	420	-3		鹿沼良和		冨田藤男	
