	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199745070309	ダ	左	1600	晴	良		織り姫特別 		1997-7-3	4	川崎	3	サラ系4才590万下																																											
199745072205	ダ	左	1400	晴	良		サラ系4才		1997-7-22	5	川崎	6	16万未満																																											
199745072209	ダ	左	2000	晴	良		エンプレス杯	G2	1997-7-22	5	川崎	6	サラ系4才上																																											
199745090109	ダ	左	1400	晴	良		りんどう特別 		1997-9-1	7	川崎	1	サラ系3才290万上																																											
199745090110	ダ	左	1600	晴	良		涼秋特別B2一 		1997-9-1	7	川崎	1	サラ系一般																																											
199745092202	ダ	左	900	曇	良		中央認定		1997-9-22	8	川崎	5	サラ系3才新馬																																											
199745101503	ダ	左	1400	晴	良		中央認定		1997-10-15	9	川崎	1	サラ系3才100万上170万未満																																											
199745101508	ダ	左	1500	晴	良		オクトーバーフラワー 		1997-10-15	9	川崎	1	サラ系4才																																											
199745112703	ダ	左	1400	晴	不良		サラ系4才		1997-11-27	10	川崎	4	34万上154万未満																																											
199745112707	ダ	左	1500	晴	不良		サラ系一般C1二		1997-11-27	10	川崎	4																																												
199745112708	ダ	左	1600	晴	重		おみなえし特別 		1997-11-27	10	川崎	4	サラ系3才315万上404万未満																																											
199745122910	ダ	左	1600	晴	良		全日本3歳優駿	G2	1997-12-29	11	川崎	3	サラ系3才OP																																											
199745010608	ダ	左	1500	晴	不良		サラ系一般C1五		1997-1-6	13	川崎	1																																												
199745010609	ダ	左	1600	晴	不良		初春特別B2三B3 		1997-1-6	13	川崎	1	サラ系一般																																											
199745010909	ダ	左	1600	晴	良		ジャニュアリー賞 		1997-1-9	13	川崎	4	サラ系一般																																											
199745020306	ダ	左	1500	晴	不良		サラ系一般C2二三		1997-2-3	14	川崎	1																																												
199745020307	ダ	左	1500	晴	不良		サラ系一般C1六七		1997-2-3	14	川崎	1																																												
199745020310	ダ	左	1600	晴	不良		如月特別B2二 		1997-2-3	14	川崎	1	サラ系一般																																											
199745020505	ダ	左	1400	晴	重		サラ系4才		1997-2-5	14	川崎	3	165万上204万未満																																											
199745020510	ダ	左	2000	晴	稍重		川崎記念	G	1997-2-5	14	川崎	3	サラ系5才上																																											
199745020709	ダ	左	1500	晴	良		サラ系一般C1二		1997-2-7	14	川崎	5																																												
199745031006	ダ	左	1500	晴	良		サラ系4才		1997-3-10	15	川崎	1	315万上403万未満																																											
199745031009	ダ	左	1600	曇	良		春風特別B2三B3 		1997-3-10	15	川崎	1	サラ系一般																																											
199745031209	ダ	左	2000	晴	良		弥生盃B1 		1997-3-12	15	川崎	3	サラ系一般																																											
199745051109	ダ	左	1600	晴	良		青葉特別B3一 		1997-5-11	2	川崎	1	サラ系一般																																											
199745051410	ダ	左	2000	雨	不良		関東オークス	G	1997-5-14	2	川崎	4	サラ系4才OP																																											
199745061405	ダ	左	1600	晴	良		あじさい特別 		1997-6-14	3	川崎	1	サラ系4才600万上																																											
199745061409	ダ	左	1600	晴	良		緑風特別B2三B3 		1997-6-14	3	川崎	1	サラ系一般																																											
199745070401	ダ	左	900	晴	良		サラ系3才		1997-7-4	4	川崎	4	300万下																																											
