	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200756011001	ダ	右	950	晴	良	11:00	サラブレッド系Cー2		2007-1-10	14	荒尾	2	(定量)		5.0	470.0	4.0	5.0	340	3.0	7.0	190	2.0	5-7	460.0	2.0	5=>7	1110.0	6.0			5,7-1,2,4,6	5,7-2,4,1,6																							
200756011002	ダ	右	1300	晴	良	11:30	サラブレッド系Cー2		2007-1-10	14	荒尾	2	(定量)		2.0	140.0	1.0	2.0	140	2.0	4.0	130	1.0	2-4	510.0	3.0	2=>4	620.0	1.0		24536781.0	24537681.0	23475681.0			3.0	180.0	4.0																		
200756011003	ダ	右	1300	晴	良	12:00	サラブレッド系Cー1		2007-1-10	14	荒尾	2	(定量)		4.0	2330.0	8.0	4.0	1,060	8.0	1.0	140	2.0	1-4	1250.0	6.0	4=>1	4990.0	17.0		12453687.0	12546387.0	14256387.0			6.0	150.0	3.0																		
200756011004	ダ	右	950	晴	良	12:30	サラブレッド系Cー1		2007-1-10	14	荒尾	2	(定量)		8.0	370.0	2.0	8.0	210	2.0	4.0	240	3.0	4-8	910.0	4.0	8=>4	1760.0	6.0			14273865.0	84731625.0			3.0	360.0	7.0																		
200756011005	ダ	右	1300	晴	良	13:05	サラブレッド系Cー1		2007-1-10	14	荒尾	2	(定量)		5.0	320.0	2.0	5.0	120	2.0	4.0	100	1.0	4-5	260.0	1.0	5=>4	940.0	4.0		6,8,5,(3,4),1,2,7	68543127	6,(5,4),8,3,1,2,7			6.0	160.0	3.0																		
200756011006	ダ	右	1400	晴	良	13:40	サラブレッド系Cー1		2007-1-10	14	荒尾	2	(定量)		7.0	100.0	1.0	7.0	100	1.0	9.0	140	4.0	7-9	300.0	2.0	7=>9	350.0	2.0	789264531.0	789264153	798624153	789621435			8.0	120.0	2.0	7-8	130.0	1.0															
200756011007	ダ	右	1400	晴	良	14:15	サラブレッド系Cー1		2007-1-10	14	荒尾	2	(定量)		5.0	450.0	4.0	5.0	140	4.0	7.0	130	2.0	5-7	460.0	1.0	5=>7	830.0	1.0	36751482.0	36751428	36754182	37561482			1.0	120.0	1.0																		
200756011008	ダ	右	1400	晴	良	14:50	サラブレッド系Cー8		2007-1-10	14	荒尾	2	(定量)		6.0	280.0	2.0	6.0	150	3.0	4.0	120	1.0	4-6	270.0	1.0	6=>4	720.0	2.0	589462371.0	5,8,9,4,(2,3),6,1,7	589436217	583469217			3.0	210.0	4.0	4-6	380.0	1.0															
200756011009	ダ	右	1500	晴	良	15:55	とびうめ特別 		2007-1-10	14	荒尾	2	(定量)		7.0	190.0	1.0	7.0	100	2.0	9.0	120	3.0	7-9	1210.0	5.0	7=>9	1400.0	8.0	247986513.0	247968513	2,4,7-9,6,8,5,1,3	479268315			4.0	100.0	1.0	7-8	810.0	5.0															
200756011010	ダ	右	1400	晴	良	16:30	サラブレッド系		2007-1-10	14	荒尾	2	(定量)		1.0	430.0	2.0	1.0	100	2.0	5.0	100	1.0	1-5	150.0	1.0	1=>5	300.0	2.0	58124376.0	58124376	58124376	15846723			8.0	160.0	5.0																		
200756011601	ダ	右	1300	曇	良	11:00	3歳		2007-1-16	14	荒尾	3	(定量)		2.0	130.0	1.0	2.0	140	3.0	3.0	130	1.0	2-3	150.0	1.0	2=>3	180.0	1.0		1325674.0	1325674.0	2315674.0																							
200756011602	ダ	右	1400	曇	良	11:30	3歳		2007-1-16	14	荒尾	3	(定量)		7.0	220.0	1.0	7.0	140	1.0	6.0	290	3.0	6-7	880.0	3.0	7=>6	1340.0	4.0	7362415.0	7326451	7364251	7,6,3,4,5,2-1																							
200756011603	ダ	右	1300	曇	良	12:00	選定		2007-1-16	14	荒尾	3	(定量)		7.0	930.0	3.0	7.0	110	2.0	3.0	110	1.0	3-7	250.0	1.0	7=>3	660.0	2.0		1735246.0	1735246.0	7135264.0																							
200756011604	ダ	右	1400	小雨	良	12:35	3歳		2007-1-16	14	荒尾	3	(定量)		8.0	180.0	1.0	8.0	120	1.0	7.0	160	4.0	7-8	420.0	1.0	8=>7	760.0	2.0	81756243.0	18257643	81762453	8,7,6,2,(4,3),1,5			3.0	140.0	3.0																		
200756011605	ダ	右	1400	小雨	良	13:10	アラブ系Bー2組		2007-1-16	14	荒尾	3	(定量)		6.0	570.0	3.0	6.0	230	4.0	7.0	230	5.0	6-7	1100.0	6.0	6=>7	1620.0	8.0	26478531.0	26748531	2,6,7,5,8,4,3-1	6,2,7,5,3,8,4-1			5.0	180.0	3.0																		
200756011606	ダ	右	1400	曇	良	13:45	サラブレッド系Cー5		2007-1-16	14	荒尾	3	(定量)		9.0	810.0	2.0	9.0	100	2.0	5.0	100	1.0	5-9	300.0	1.0	9=>5	1450.0	5.0	695231748.0	695237184	695273184	956782431			8.0	220.0	5.0	5-8	180.0	1.0															
200756011607	ダ	右	1400	曇	良	14:20	サラブレッド系Cー3		2007-1-16	14	荒尾	3	(定量)		6.0	1840.0	7.0	6.0	310	6.0	5.0	170	3.0	5-6	2630.0	11.0	6=>5	5720.0	22.0	539476821.0	354972681	359476281	596374812			9.0	130.0	2.0	5-6	3040.0	11.0															
200756011608	ダ	右	1900	曇	良	14:55	荒尾銀盃 		2007-1-16	14	荒尾	3	(別定)		2.0	900.0	4.0	2.0	220	4.0	5.0	350	5.0	2-5	7330.0	11.0	2=>5	21160.0	27.0	719654823.0	1,7,9,6,5,4-8,2,3	1,9,6,5,7,4,2,8-3	9,5,6,2,4,1,8,7-3			9.0	150.0	3.0	2-5	9290.0	13.0															
200756011609	ダ	右	1400	曇	良	15:55	ノカイドウ特別 		2007-1-16	14	荒尾	3	(定量)		6.0	670.0	4.0	6.0	160	4.0	10.0	140	2.0	6-10	1910.0	8.0	6=>10	3850.0	15.0	58496102713.0	58496210173	(5,8),9,4,6,10,1,3,7,2	10,8,(4,9,6),5,3,1,7-2			8.0	130.0	1.0	6-8	910.0	4.0															
200756011701	ダ	右	1300	曇	重	11:00	3歳		2007-1-17	14	荒尾	4	(定量)		7.0	340.0	2.0	7.0	190	2.0	1.0	720	6.0	1-7	1290.0	6.0	7=>1	2040.0	8.0		3526741	3562714	7,3,2,5,1,6-4																							
200756011702	ダ	右	1300	曇	重	11:30	アラブ系Bー3組		2007-1-17	14	荒尾	4	(定量)		6.0	370.0	3.0	6.0	110	2.0	4.0	100	1.0	4-6	220.0	1.0	6=>4	1180.0	4.0		2734651.0	2743615.0	4617532.0																							
200756011703	ダ	右	1400	曇	重	12:00	混合		2007-1-17	14	荒尾	4	(別定)		7.0	210.0	1.0	7.0	220	2.0	1.0	720	4.0	1-7	1910.0	6.0	7=>1	2780.0	9.0	4375621.0	4736521	4736152	7126435																							
200756011704	ダ	右	1300	曇	重	12:30	選定		2007-1-17	14	荒尾	4	(定量)		4.0	420.0	2.0	4.0	100	1.0	7.0	180	4.0	4-7	960.0	3.0	4=>7	1930.0	7.0		78146523.0	78456123.0	47851263.0			5.0	260.0	5.0																		
200756011705	ダ	右	1400	曇	重	13:05	アラブ系Bー1組		2007-1-17	14	荒尾	4	(定量)		4.0	280.0	2.0	4.0	100	2.0	3.0	130	3.0	3-4	1160.0	3.0	4=>3	2120.0	7.0	4,(6,8),1,5,7,3,2	46812357	46812357	43618572			1.0	100.0	1.0																		
200756011706	ダ	右	1400	曇	重	13:40	サラブレッド系Cー6		2007-1-17	14	荒尾	4	(定量)		2.0	780.0	2.0	2.0	170	1.0	8.0	390	7.0	2-8	4460.0	14.0	2=>8	5830.0	17.0	287416395	287163945	287163945	2,8,7,6,1,9,3-5,4			7.0	940.0	9.0	2-8	1730.0	5.0															
200756011707	ダ	右	1400	曇	重	14:15	サラブレッド系Cー4		2007-1-17	14	荒尾	4	(定量)		1.0	1850.0	5.0	1.0	150	2.0	2.0	160	3.0	1-2	2370.0	8.0	1=>2	5880.0	19.0	56783241	56783214	56873124	61238475			3.0	120.0	1.0																		
200756011708	ダ	右	1500	曇	重	14:50	シクラメン賞 		2007-1-17	14	荒尾	4	(定量)		3.0	240.0	1.0	3.0	110	1.0	8.0	220	5.0	3-8	860.0	2.0	3=>8	1260.0	3.0	913287456	931847265	938174652	389564271			5.0	180.0	3.0	3-8	300.0	1.0															
200756011709	ダ	右	1900	曇	重	15:55	荒尾金盃 		2007-1-17	14	荒尾	4	(別定)		7.0	270.0	1.0	7.0	100	1.0	9.0	100	2.0	7-9	210.0	1.0	7=>9	350.0	1.0	4,8,9,10,6,5,7,1,2-3	4,8,9,6,10,5,2,7,1=3	8,9,10,2,7,5,4,1,6=3	8,9,10,7,2,5,1,6,4-3			10.0	130.0	3.0	7-8	160.0	1.0															
200756011710	ダ	右	1400	曇	重	16:30	サラブレッド系Cー2		2007-1-17	14	荒尾	4	(定量)		3.0	300.0	2.0	3.0	110	2.0	5.0	100	1.0	3-5	180.0	1.0	3=>5	440.0	2.0	587631492	586371492	586317492	538149762			9.0	190.0	5.0	3-5	150.0	1.0															
