	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気
200953010401	ダ	右	1250	晴	良	10:40	4歳4　条件		2009-1-4	16	福山	3	(見込)		6.0	320.0	2.0	6.0	150.0	1.0	1.0	1,420	8.0	3.0	190.0	4.0	1-6	10980.0	21.0	6=>1	16220.0	38.0	6=>1=>3	61000.0	142.0	84617352	84617325	84617325	86413257																	
200953011201	ダ	右	1250	晴	良	10:50	C23　ハ		2009-1-12	16	福山	5	(見込)		2.0	830.0	5.0	2.0	600.0	5.0	3.0	170	2.0				2-3	1250.0	5.0	2=>3	3300.0	14.0	2=>3=>1	11980.0	51.0	4263751	4263571	4263517	(4,2),3,(5,6),1,7																	
200953011202	ダ	右	1250	晴	良	11:20	C23　ロ		2009-1-12	16	福山	5	(見込)		5.0	240.0	2.0	5.0	190.0	3.0	6.0	180	2.0				5-6	370.0	1.0	5=>6	750.0	1.0	5=>6=>3	3480.0	10.0	4562317	4526317	(4,5),6,3,2,7,1	5463271																	
200953011203	ダ	右	1250	晴	良	11:50	C23　イ		2009-1-12	16	福山	5	(見込)		4.0	200.0	1.0	4.0	120.0	1.0	5.0	210	3.0				4-5	720.0	3.0	4=>5	1130.0	3.0	4=>5=>1	9080.0	38.0	2614537	2,6,1,4,5,3-7	(2,6,4),5,1,3,7	4,6,(2,1,5),3,7																	
200953011204	ダ	右	1250	晴	良	12:25	4歳8　条件		2009-1-12	16	福山	5	(見込)		7.0	160.0	1.0	7.0	130.0	1.0	8.0	130	1.0	3.0	170.0	5.0	7-8	410.0	1.0	7=>8	600.0	1.0	7=>8=>3	2420.0	5.0	85471362	85417362	8,(5,4,7),1,3,6-2	8,7,4,(5,1,3),6,2																	
200953011205	ダ	右	1250	晴	良	13:00	4歳7　条件		2009-1-12	16	福山	5	(見込)		7.0	1820.0	4.0	7.0	170.0	3.0	2.0	100	1.0	6.0	180.0	4.0	2-7	350.0	1.0	7=>2	1320.0	6.0	7=>2=>6	9740.0	32.0	57281436	57281436	(5,7),2,6,(1,8),4,3	7,(5,2,6),1,8,3,4																	
200953011206	ダ	右	1250	晴	良	13:35	4歳2　条件イ		2009-1-12	16	福山	5	(見込)		9.0	660.0	3.0	9.0	250.0	4.0	5.0	160	2.0	7.0	480.0	7.0	5-9	900.0	3.0	9=>5	2070.0	7.0	9=>5=>7	15880.0	49.0	59610178234	59610718234	59710623184	(5,9),7,6,10,3,2,1,4,8																	
200953011207	ダ	右	1250	晴	良	14:10	C27　ロ		2009-1-12	16	福山	5	(見込)		1.0	390.0	3.0	1.0	150.0	4.0	3.0	110	1.0	8.0	110.0	2.0	1-3	660.0	2.0	1=>3	1500.0	5.0	1=>3=>8	4780.0	15.0	128793564	127893564	128739564	127839564																	
200953011208	ダ	右	1250	晴	良	14:45	C27　イ		2009-1-12	16	福山	5	(見込)		9.0	370.0	3.0	9.0	150.0	2.0	7.0	210	4.0	3.0	220.0	5.0	7-9	830.0	4.0	9=>7	1270.0	4.0	9=>7=>3	5210.0	14.0	6,7,9,8,5,(1,3),4,2	6,7,9,(5,8),3,1,4,2	6,7,9,5,3,8,1,4-2	7,9,6,3,5,1,4,8=2																	
200953011701	ダ	右	1250	晴	良	10:50	C223		2009-1-17	17	福山	1	(馬齢)		4.0	150.0	1.0	4.0	100.0	1.0	2.0	120	2.0				2-4	510.0	3.0	4=>2	730.0	3.0	4=>2=>1	1600.0	5.0	5716243	5,7,1,6,2,4-3	5,7,(1,6,2),4-3	(5,1),2,(7,6,4),3																	
200953011702	ダ	右	1250	晴	良	11:20	C222		2009-1-17	17	福山	1	(馬齢)		5.0	210.0	1.0	5.0	350.0	3.0	4.0	810	5.0				4-5	970.0	4.0	5=>4	1480.0	7.0	5=>4=>3	4000.0	13.0	(3,5),6,(2,7),1,4	3,5,(6,7),2,1,4	3574612	(3,5),(7,4),1,6,2																	
200953011703	ダ	右	1250	晴	良	11:50	C221		2009-1-17	17	福山	1	(馬齢)		6.0	150.0	1.0	6.0	110.0	1.0	4.0	180	3.0				4-6	360.0	2.0	6=>4	410.0	2.0	6=>4=>2	570.0	2.0	6457123	6457123	6457123	6471523																	
200953011704	ダ	右	1250	晴	良	12:20	C219		2009-1-17	17	福山	1	(馬齢)		6.0	140.0	1.0	6.0	140.0	1.0	3.0	190	2.0				3-6	440.0	2.0	6=>3	560.0	2.0	6=>3=>7	1210.0	2.0	7645321	7654321	7645312	7643512																	
200953011705	ダ	右	1250	晴	良	12:55	C220		2009-1-17	17	福山	1	(馬齢)		4.0	150.0	1.0	4.0	100.0	2.0	1.0	100	1.0	2.0	130.0	3.0	1-4	300.0	2.0	4=>1	390.0	1.0	4=>1=>2	1130.0	2.0	46782531	46782531	6,4,(2,7),8,5,1,3	(6,4),2,7,1,5,8,3																	
200953011706	ダ	右	1250	晴	良	13:30	C218		2009-1-17	17	福山	1	(馬齢)		6.0	420.0	3.0	6.0	140.0	3.0	3.0	150	4.0	2.0	110.0	1.0	3-6	680.0	4.0	6=>3	1260.0	7.0	6=>3=>2	3180.0	15.0	6,4,2,3,8,1,(5,7)	64231587	64312578	6,(4,3),1,2,5,7,8																	
200953013101	ダ	右	1250	曇	不良	10:50	3歳4　条件		2009-1-31	18	福山	1	(馬齢)		2.0	3720.0	6.0	2.0	800.0	8.0	7.0	180	3.0	3.0	240.0	4.0	2-7	8280.0	20.0	2=>7	36690.0	44.0	2=>7=>3	170740.0	210.0	82146537	18245367	18234576	(1,8,2),3,7,6,4,5																	
200953013102	ダ	右	1250	曇	不良	11:20	3歳3　条件		2009-1-31	18	福山	1	(馬齢)		8.0	190.0	1.0	8.0	100.0	1.0	6.0	120	2.0	4.0	220.0	4.0	6-8	460.0	1.0	8=>6	700.0	1.0	8=>6=>4	2610.0	5.0	24185637	2,4,(1,8),5,6,3,7	2,4,8,1,6,5,(3,7)	48612375																	
200953013103	ダ	右	1250	曇	不良	11:50	C222		2009-1-31	18	福山	1	(馬齢)		5.0	210.0	1.0	5.0	100.0	1.0	4.0	100	2.0	7.0	130.0	3.0	4-5	350.0	1.0	5=>4	560.0	1.0	5=>4=>7	1130.0	1.0	28564371	28564371	5,6,8,2,4,3,7-1	56483721																	
200953013104	ダ	右	1250	曇	不良	12:20	C221		2009-1-31	18	福山	1	(馬齢)		5.0	210.0	1.0	5.0	100.0	2.0	6.0	100	1.0	7.0	100.0	3.0	5-6	270.0	1.0	5=>6	520.0	1.0	5=>6=>7	1090.0	1.0	138945672	138945672	(1,3,5,6),9,4,8,7,2	561394872																	
200953013106	ダ	右	1250	曇	不良	13:30	C219		2009-1-31	18	福山	1	(馬齢)		9.0	130.0	1.0	9.0	100.0	1.0	4.0	100	3.0	8.0	100.0	2.0	4-9	500.0	2.0	9=>4	690.0	2.0	9=>4=>8	1370.0	2.0	369487251	369487251	(3,6),9,4,8,2,7,5,1	946382571																	
200953013107	ダ	右	1250	曇	不良	14:05	C218		2009-1-31	18	福山	1	(馬齢)		3.0	500.0	2.0	3.0	100.0	1.0	7.0	100	2.0	6.0	150.0	4.0	3-7	220.0	1.0	3=>7	460.0	2.0	3=>7=>6	1380.0	5.0	297365148	297361548	972365148	793625841																	
200953013108	ダ	右	1250	曇	不良	14:40	C217		2009-1-31	18	福山	1	(馬齢)		2.0	120.0	1.0	2.0	100.0	1.0	3.0	180	4.0	8.0	140.0	3.0	2-3	930.0	4.0	2=>3	1260.0	4.0	2=>3=>8	3510.0	11.0	126578349	125678349	1,2,7,(5,8),3,4,6,9	2,1,(8,7),3,5,4,9,6																	
200953021401	ダ	右	1250	曇	重	10:50	C217		2009-2-14	19	福山	1	(馬齢)		3.0	160.0	1.0	3.0	100.0	1.0	5.0	110	2.0	2.0	120.0	3.0	3-5	390.0	1.0	3=>5	730.0	2.0	3=>5=>2	1610.0	1.0	7,9,8,1,(2,3),6,(4,5)	798132654	(9,8,3),7,1,2,6,5,4	3,(9,8),2,5,(7,1,6),4																	
200953021402	ダ	右	1250	晴	重	11:20	C216		2009-2-14	19	福山	1	(馬齢)		7.0	120.0	1.0	7.0	100.0	1.0	6.0	400	5.0	8.0	150.0	3.0	6-7	2290.0	7.0	7=>6	2000.0	8.0	7=>6=>8	14490.0	40.0	278134596	278134569	782314659	7,2,8,3,4,1,6-9,5																	
200953021501	ダ	右	1250	晴	稍重	10:50	3歳4　条件		2009-2-15	19	福山	2	(馬齢)		2.0	1170.0	4.0	2.0	150.0	4.0	3.0	120	3.0	6.0	110.0	1.0	2-3	1380.0	6.0	2=>3	2750.0	10.0	2=>3=>6	7570.0	28.0	26178354	26718345	26718345	26173845																	
200953021502	ダ	右	1250	晴	稍重	11:20	3歳3　条件		2009-2-15	19	福山	2	(馬齢)		4.0	790.0	4.0	4.0	150.0	3.0	2.0	110	1.0	5.0	340.0	7.0	2-4	620.0	2.0	4=>2	1770.0	8.0	4=>2=>5	32600.0	83.0	37184562	37814562	37845162	43856271																	
200953021503	ダ	右	1250	晴	稍重	11:50	C23		2009-2-15	19	福山	2	(馬齢)		7.0	160.0	1.0	7.0	100.0	1.0	1.0	110	2.0	3.0	130.0	3.0	1-7	210.0	1.0	7=>1	340.0	1.0	7=>1=>3	640.0	1.0	37186425	3,7,1,(6,8),2,4,5	3,7,1,8,(2,6),4,5	(3,7),1,2,6,8,4,5																	
