rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	14		サトノシャーク	牡5	57.0		マーフィ	2:14.1		14-13-10-8	35.9	19.3	6	530	10		田中博康		サトミホースカンパニー	750.0
2	4	7		ジョブックコメン	牝4	51.0		山田敬士	2:14.2	1/2	8-8-8-7	36.1	12.0	4	428	4		小桧山悟		萩本企画	300.0
3	3	6		アルビオリクス	牡4	56.0		石橋脩	2:14.5	1.3/4	15-15-2-5	36.7	5.0	3	512	8		木村哲也		サンデーレーシング	190.0
4	8	15		ドリームマジック	牝5	55.0		柴田善臣	2:14.5	アタマ	13-13-14-13	36.1	90.2	12	466	-4		中川公成		堀口晴男	110.0
5	4	8		ロマンテソーロ	牝4	54.0		大野拓弥	2:14.6	1/2	16-16-16-16	36.0	72.4	11	466	24		金成貴史		了徳寺健二ホールディングス	75.0
6	2	4		レッドヴァール	牝4	54.0		三浦皇成	2:14.6	ハナ	2-3-6-5	36.6	2.1	1	474	8		鹿戸雄一		東京ホースレーシング	
7	1	1		ヒシヴィクトリー	牡4	55.0		木幡巧也	2:14.6	アタマ	4-5-8-8	36.5	3.7	2	488	4		牧光二		阿部雅英	
8	1	2		ゴールドパッキャオ	牡4	56.0		内田博幸	2:15.1	3.0	4-5-10-8	36.9	17.6	5	474	12		奥村武		増田和啓	
9	7	13		プランスシャルマン	牡6	57.0		北村宏司	2:15.1	クビ	11-11-12-8	36.8	99.0	13	486	30		畠山吉宏		村野康司	
10	6	12		ハナザカリ	牝4	54.0		田辺裕信	2:15.2	1/2	1-1-2-1	37.4	44.0	8	488	2		粕谷昌央		岡田壮史	
11	5	9		ティイ	牝4	54.0		ミナリク	2:15.3	クビ	2-2-1-2	37.5	58.9	9	452	20		大竹正博		近藤英子	
12	3	5		ウイングセクション	牡4	56.0		江田照男	2:15.3	ハナ	8-8-12-13	37.0	125.4	15	494	8		田中剛		サンデーレーシング	
13	6	11		マイネルパンドーロ	牡5	57.0		丹内祐次	2:15.3	クビ	7-5-2-3	37.5	61.9	10	494	10		田中清隆		サラブレッドクラブ・ラフィアン	
14	2	3		ローズクランス	牡6	57.0		嶋田純次	2:15.4	クビ	11-11-15-13	36.9	102.8	14	520	2		手塚貴久		グリーンフィールズ	
15	5	10		シゲルシイタケ	牡4	56.0		蛯名正義	2:15.8	2.1/2	10-10-2-3	38.0	38.9	7	466	8		中野栄治		森中蕃	
16	8	16		マイネルスカイ	牡4	56.0		柴田大知	2:16.3	3.0	4-3-6-8	38.3	162.8	16	488	-17		伊藤大士		サラブレッドクラブ・ラフィアン	
