着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	6	8	---	12	1993102629	牝	3	410.0	0.0	53	62.8	0			05055	05055	00nan	65.0	199534080907
2	1	1	---	3	1993101366	牡	3	452.0	0.0	53	63.0	1.1/2			05141	05158	00nan	19.5	199534080907
3	5	6	---	7	1993107413	牝	3	404.0	8.0	53	63.0	アタマ			05069	00862	00nan	13.0	199534080907
4	7	9	---	8	1993107753	牡	3	454.0	2.0	53	63.1	1/2			0齊藤正弘	05085	00nan	7.8	199534080907
5	8	11	---	2	1993104042	牝	3	422.0	-12.0	53	63.3	1			0柳澤好美	05226	00nan	5.2	199534080907
6	7	10	---	1	1993108538	牝	3	414.0	2.0	53	63.3	アタマ			00403	05085	00nan	0.0	199534080907
7	2	2	---	4	1993107798	牝	3	450.0	-2.0	53	63.4	1/2			0千島英之	[他] 千島一己	00nan	0.0	199534080907
8	8	12	---	6	1993102196	牝	3	438.0	-2.0	53	63.4	クビ			00402	05163	00nan	0.0	199534080907
9	3	3	---	11	1993106347	セ	3	424.0	0.0	53	63.6	1			05103	05091	00nan	0.0	199534080907
10	6	7	---	9	1993103160	牝	3	362.0	-2.0	53	64.0	2			0沼澤英知	05085	00nan	0.0	199534080907
11	5	5	---	5	1993109060	牝	3	426.0	0.0	53	64.1	1/2			0安藝郁治	05091	00nan	0.0	199534080907
12	4	4	---	10	1993103903	牝	3	466.0	14.0	53	69.6	大			05096	05094	00nan	0.0	199534080907
1	3	3	---	3	1992108941	牝	4	428.0	0.0	53	95.7	0			05026	05108	00nan	220.0	199534080910
2	1	1	---	6	1991105889	牡	5	444.0	2.0	53	95.8	1/2			05056	00845	00nan	66.0	199534080910
3	7	7	---	1	1988105984	牡	8	512.0	-18.0	57	95.9	1/2			00575	00862	00nan	44.0	199534080910
4	2	2	---	2	1990104839	牝	6	452.0	-2.0	56	96.0	1/2			05103	05158	00nan	26.4	199534080910
5	4	4	---	5	1990104989	牝	6	470.0	2.0	55	96.6	3			0柳澤好美	05025	00nan	17.6	199534080910
6	8	8	---	4	1987106061	牡	9	502.0	4.0	57	97.1	2.1/2			00438	00846	00nan	0.0	199534080910
7	5	5	---	7	1988106125	牡	8	444.0	2.0	57	97.1	アタマ			05096	05094	00nan	0.0	199534080910
8	6	6	---	8	1990105156	牝	6	502.0	51.0	56	97.6	2.1/2			00579	00863	00nan	0.0	199534080910
