着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1		12	---	6	000a01b9bd	牡	8			57.0	95.36	0.0			a03ca	05500	a001e1	0.0	2021J0032702
8		8	---	1	000a015596	牡	5			57.0					a0341	a0369	a001de	0.0	2021J0032702
9		11	---	2	000a015846	牡	6			57.0					05366	05500	a001e4	0.0	2021J0032702
13		5	---	7	2017100378	牡	4			57.0					00875	01059	072803	0.0	2021J0032702
1		10	---	5	000a01babc	セ	3			55.0	116.28	0.0			05495	a030d	242800	0.0	2021J0032705
2		8	---	1	000a01b888	牡	3			55.0					05504	a0345	a000cb	0.0	2021J0032705
4		12	---	4	2018103278	牡	3			55.0					05366	01059	748009	0.0	2021J0032705
6		4	---	1	2018110117	牡	3			55.0					a02ba	00427	366031	0.0	2021J0032705
9		13	---	11	000a01b800	牝	3			53.0					a0398	a0369	a0024b	0.0	2021J0032705
10		9	---	7	2018104234	牡	3			55.0					05386	00427	695008	0.0	2021J0032705
14		14	---	3	000a01a979	牝	3			53.0					a033e	05016	242800	0.0	2021J0032705
1		14	106.5	13	000a01b917	牡	5			57.0	69.01	0			a038b	a0416	a0026d	0.0	2021J0032706
2		10	6.3	4	2016105188	牡	5			57.0		3.1/4			05366	00438	180800	0.0	2021J0032706
3		2	12.2	7	000a01b88c	セ	6			57.0		2.3/4			a0341	a0369	a0006a	0.0	2021J0032706
4		12	4.5	2	000a01b65b	セ	5			57.0		2.1/2			a0314	05475	a00281	0.0	2021J0032706
5		3	5.8	3	2015110078	セ	6			57.0		アタマ			05495	01107	966007	0.0	2021J0032706
6		1	44.7	9	000a01b89e	セ	5			57.0		1.1/4			05518	a0369	a0025e	0.0	2021J0032706
7		11	90.4	11	000a01445d	セ	7			57.0		1/2			a03ca	05500	a00246	0.0	2021J0032706
8		13	3.9	1	000a01a9d3	牡	4			57.0		3/4			a02ba	a033e	a0022c	0.0	2021J0032706
9		9	45.5	10	000a01b950	牡	4			57.0		3.1/4			05504	a0369	a00246	0.0	2021J0032706
10		6	106.4	12	000a01b91b	牡	6			57.0		1/2			a0383	a033e	a00282	0.0	2021J0032706
11		7	11.4	6	2016102781	牡	5			57.0		1.1/4			01163	01075	268008	0.0	2021J0032706
12		8	7.6	5	2014110060	牡	7			57.0		2			05386	00427	265033	0.0	2021J0032706
13		4	12.9	8	000a01b920	牡	6			57.0		9.3/4			00875	a0417	a0010e	0.0	2021J0032706
1		10	2.3	1	000a016152	セ	5			57.0	106.46	0			00875	00970	a001f9	0.0	2021J0032707
2		12	7.5	4	2016105067	牡	5			57.0		3			05504	01055	415800	0.0	2021J0032707
3		5	19.2	6	000a01b8f4	セ	5			57.0		1			05575	05680	a0026c	0.0	2021J0032707
4		3	61.3	10	000a016157	セ	5			57.0		3/4			a033e	a039b	a001fa	0.0	2021J0032707
5		8	32.1	7	000a01b913	セ	5			57.0		3/4			05271	05016	242800	0.0	2021J0032707
6		9	5.6	3	000a01442f	セ	8			57.0		1.1/4			a031f	a0349	a000cf	0.0	2021J0032707
7		4	13.3	5	000a01b890	セ	7			57.0		1.1/2			a0306	a036d	a0018c	0.0	2021J0032707
8		2	34.8	8	000a01b8f2	セ	6			57.0		2			a03f9	a039b	a0026b	0.0	2021J0032707
9		7	48.4	9	000a01b911	牡	4			57.0		1.1/4			05518	a03a6	a00115	0.0	2021J0032707
10		6	88.3	12	000a01b904	セ	6			57.0		2			a03ca	05500	a0024b	0.0	2021J0032707
11		13	77.7	11	000a01b94d	セ	7			57.0		アタマ			a038b	a0341	a0018c	0.0	2021J0032707
12		1	3.8	2	000a015679	牡	4			57.0		2.1/2			05495	a030d	242800	0.0	2021J0032707
1		7	9.1	4	000a018fc0	牡	4			56.5	146.65	0			a03f9	00970	a0023e	0.0	2021J0032708
2		9	1.9	1	2016104750	牝	5			55.0		クビ			01102	01151	226800	0.0	2021J0032708
3		10	7.4	3	2016104648	牝	5			55.0		クビ			05575	01075	026803	0.0	2021J0032708
4		5	10.3	5	000a01b4c4	セ	7			57.0		3			05495	a030d	242800	0.0	2021J0032708
5		2	43.6	7	000a01b88a	セ	5			57.0		1.1/2			00875	05016	242800	0.0	2021J0032708
6		4	109.2	8	000a01b831	セ	5			57.0		1.1/4			05504	a030d	242800	0.0	2021J0032708
7		8	3.3	2	000a0155db	牡	4			56.5		アタマ			05366	05518	a0006e	0.0	2021J0032708
8		1	20.9	6	000a01b4c7	セ	7			57.0		1.1/2			a02ba	00982	a0023b	0.0	2021J0032708
9		3	212.7	9	000a01b8ea	セ	5			57.0		大			05518	a03a6	a00115	0.0	2021J0032708
