rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	16		アルーフクライ	牡5	57.0		ルメール	1:54.7		8-8-6-3	38.1	3.0	1	490	-2		宗像義忠		社台レースホース	750.0
2	7	13		スプリングフット	牡5	57.0		原田和真	1:55.1	2.1/2	9-9-8-7	38.3	34.8	9	494	4		小桧山悟		島川隆哉	300.0
3	7	14		マイネルストラトス	牡5	57.0		丸山元気	1:55.2	クビ	10-10-8-7	38.3	32.2	8	496	4		土田稔		杉浦和也	190.0
4	5	9		ランニングウインド	牡5	57.0		三浦皇成	1:55.2	クビ	13-11-11-10	38.1	8.0	4	486	-6		中川公成		島川隆哉	110.0
5	4	8		ゴールドパッション	牡4	56.0		松岡正海	1:55.3	3/4	2-3-1-1	39.2	158.7	13	522	-6		青木孝文		居城寿与	75.0
6	6	11		マイネルレンカ	牡5	57.0		柴田大知	1:55.4	クビ	4-5-4-5	39.0	35.7	10	466	0		堀井雅広		サラブレッドクラブ・ラフィアン	
7	3	5		ハイアーグラウンド	セ5	57.0		石橋脩	1:55.6	1.1/4	15-13-8-7	38.8	19.5	6	502	2		大和田成		小村アセットＭ	
8	8	15		スピアザゴールド	セ6	57.0		大野拓弥	1:55.6	ハナ	4-6-2-3	39.4	3.2	2	498	0		久保田貴		キャロットファーム	
9	3	6		ロジヒューズ	牝4	54.0		内田博幸	1:55.8	1.0	2-2-2-2	39.7	24.0	7	474	-6		古賀慎明		久米田正明	
10	1	2		ヒロノワカムシャ	セ5	57.0		江田照男	1:55.8	アタマ	10-11-13-12	38.5	6.3	3	466	-4		柴田政人		小野博郷	
11	1	1		ハイチーズ	牡4	56.0		田中勝春	1:56.1	2.0	13-15-15-14	38.6	49.1	11	502	0		小島茂之		ローレルレーシング	
12	4	7		タキオンレイ	牝5	52.0		山田敬士	1:56.3	1.1/2	12-13-14-14	38.9	283.4	15	484	6		伊藤正徳		小林博雄	
13	2	3		ヴィーグリーズ	牡5	55.0		野中悠太	1:56.7	2.1/2	7-7-11-12	39.6	222.6	14	472	-5		清水英克		服部牧場	
14	6	12		アスコットチャンプ	セ6	56.0		木幡巧也	1:56.8	3/4	16-16-16-16	39.1	121.1	12	466	-2		新開幸一		星野隆男	
15	2	4		ナイトジュレップ	牡4	56.0		田辺裕信	1:57.3	3.0	1-1-4-5	40.9	9.7	5	488	-2		国枝栄		ノルマンディーサラブレッドレーシング	
16	5	10		ヒスイ	牝5	55.0		岩部純二	1:57.9	3.1/2	4-4-6-10	41.2	369.6	16	492	-2		谷原義明		清水敏	
