	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199860050401	ダ	右	1200	曇	重	11:30	4才　B1		1998-5-4	1	新潟(地)	5	(馬齢)																																											
199860050402	ダ	右	1200	晴	重	12:05	一般　B3ロ		1998-5-4	1	新潟(地)	5	(馬齢)																																											
199860050403	ダ	右	1700	晴	重	12:40	ゴールデンシリーズ第 		1998-5-4	1	新潟(地)	5	(別定)																																											
199860050404	ダ	右	1000	晴	重	13:15	ゴールデンシリーズ第 		1998-5-4	1	新潟(地)	5	(別定)																																											
199860050405	ダ	右	1700	晴	重	13:50	ゴールデンシリーズ第 		1998-5-4	1	新潟(地)	5	(別定)																																											
199860050406	ダ	右	1700	晴	重	14:30	上越特別 		1998-5-4	1	新潟(地)	5	(馬齢)																																											
199860050501	ダ	右	1200	晴	稍重	11:30	4才　B2		1998-5-5	1	新潟(地)	6	(馬齢)																																											
199860050502	ダ	右	1200	晴	稍重	12:05	一般　B2ハ		1998-5-5	1	新潟(地)	6	(馬齢)																																											
199860050503	ダ	右	1000	晴	稍重	12:40	ゴールデンシリーズ第 		1998-5-5	1	新潟(地)	6	(別定)																																											
199860050504	ダ	右	1700	晴	稍重	13:15	ゴールデンシリーズ第 		1998-5-5	1	新潟(地)	6	(別定)																																											
199860050505	ダ	右	1700	晴	稍重	13:50	燕特別 		1998-5-5	1	新潟(地)	6	(馬齢)																																											
199860050506	ダ	右	1000	晴	稍重	14:30	柏崎特別 		1998-5-5	1	新潟(地)	6	(馬齢)																																											
199860050507	ダ	右	1000	晴	稍重	15:10	瀬波特別 		1998-5-5	1	新潟(地)	6	(別定)																																											
199860110301	ダ	右	1200	曇	重	10:00	3才　B		1998-11-3	10	新潟(地)	4	(馬齢)																																											
199860110302	ダ	右	1600	曇	重	10:30	一般　B3ロ		1998-11-3	10	新潟(地)	4	(馬齢)																																											
199860110303	ダ	右	1000	曇	重	11:00	新潟ノベンバーシリー 		1998-11-3	10	新潟(地)	4	(定量)																																											
199860110304	ダ	右	1000	曇	重	11:30	新潟ノベンバーシリー 		1998-11-3	10	新潟(地)	4	(定量)																																											
199860110305	ダ	右	1700	曇	重	12:05	新潟ノベンバーシリー 		1998-11-3	10	新潟(地)	4	(定量)																																											
199860110306	ダ	右	1700	曇	重	12:40	新潟ノベンバーシリー 		1998-11-3	10	新潟(地)	4	(定量)																																											
199860110307	ダ	右	1000	曇	重	13:15	新潟ノベンバーシリー 		1998-11-3	10	新潟(地)	4	(定量)																																											
199860110308	ダ	右	1700	曇	重	13:50	新潟ノベンバーシリー 		1998-11-3	10	新潟(地)	4	(定量)																																											
199860110309	ダ	右	1000	曇	重	14:25	湯沢特別 		1998-11-3	10	新潟(地)	4	(定量)																																											
199860053001	ダ	右	1200	曇	稍重	12:30	4才　C1ロ		1998-5-30	2	新潟(地)	1	(馬齢)																																											
199860053002	ダ	右	1000	曇	稍重	13:00	登竜門		1998-5-30	2	新潟(地)	1	(馬齢)																																											
