	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
199857010401	ダ	右	1180	曇	不良	11:00	C2		1998-1-4	13	中津	4	(定量)																																											
199857010402	ダ	右	1300	曇	不良	11:30	C		1998-1-4	13	中津	4	(定量)																																											
199857010403	ダ	右	1300	曇	不良	12:00	C2		1998-1-4	13	中津	4	(定量)																																											
199857010404	ダ	右	1300	曇	不良	12:32	C2		1998-1-4	13	中津	4	(定量)																																											
199857010405	ダ	右	1300	曇	不良	13:06	C		1998-1-4	13	中津	4	(定量)																																											
199857010406	ダ	右	1300	曇	不良	13:40	C		1998-1-4	13	中津	4	(定量)																																											
199857010407	ダ	右	1300	曇	不良	14:16	C2		1998-1-4	13	中津	4	(定量)																																											
199857010408	ダ	右	1760	曇	不良	14:54	門松特別 		1998-1-4	13	中津	4	(定量)																																											
199857011801	ダ	右	1300	曇	不良	11:00	C		1998-1-18	14	中津	2	(定量)																																											
199857011802	ダ	右	1300	曇	不良	11:30	C		1998-1-18	14	中津	2	(定量)																																											
199857011803	ダ	右	1300	曇	不良	12:00	C		1998-1-18	14	中津	2	(定量)																																											
199857011804	ダ	右	1300	曇	不良	12:32	C		1998-1-18	14	中津	2	(定量)																																											
199857011805	ダ	右	1300	曇	不良	13:04	C		1998-1-18	14	中津	2	(定量)																																											
199857013101	ダ	右	1180	晴	重	11:00	C		1998-1-31	14	中津	5	(定量)																																											
199857013102	ダ	右	1300	晴	重	11:30	C		1998-1-31	14	中津	5	(定量)																																											
199857013103	ダ	右	1300	晴	重	12:00	C		1998-1-31	14	中津	5	(定量)																																											
199857013104	ダ	右	1300	晴	重	12:32	C		1998-1-31	14	中津	5	(定量)																																											
199857013105	ダ	右	1300	晴	重	13:04	B		1998-1-31	14	中津	5	(定量)																																											
199857013106	ダ	右	1300	晴	重	13:36	C		1998-1-31	14	中津	5	(定量)																																											
199857013107	ダ	右	1300	晴	重	14:10	C		1998-1-31	14	中津	5	(定量)																																											
199857013108	ダ	右	1620	晴	重	14:45	B		1998-1-31	14	中津	5	(定量)																																											
199857013109	ダ	右	1760	晴	重	15:20	ウインターカップ 		1998-1-31	14	中津	5	(定量)																																											
199857013110	ダ	右	1300	晴	重	15:55	C		1998-1-31	14	中津	5	(定量)																																											
199857021401	ダ	右	1180	雨	稍重	11:00	C2		1998-2-14	15	中津	3	(定量)																																											
199857021402	ダ	右	1300	雨	稍重	11:30	C2		1998-2-14	15	中津	3	(定量)																																											
199857021403	ダ	右	1300	雨	稍重	12:00	C2		1998-2-14	15	中津	3	(定量)																																											
199857021404	ダ	右	1300	雨	稍重	12:32	C2		1998-2-14	15	中津	3	(定量)																																											
199857021405	ダ	右	1300	雨	稍重	13:04	C2		1998-2-14	15	中津	3	(定量)																																											
199857021406	ダ	右	1300	雨	稍重	13:36	C2		1998-2-14	15	中津	3	(定量)																																											
199857021407	ダ	右	1300	雨	稍重	14:10	C2		1998-2-14	15	中津	3	(定量)																																											
199857021408	ダ	右	1620	雨	稍重	14:45	B		1998-2-14	15	中津	3	(定量)																																											
199857021409	ダ	右	1760	雨	稍重	15:20	きさらぎ特別 		1998-2-14	15	中津	3	(定量)																																											
199857030701	ダ	右	1180	晴	稍重	11:00	C		1998-3-7	16	中津	4	(定量)																																											
199857030702	ダ	右	1300	晴	稍重	11:30	C		1998-3-7	16	中津	4	(定量)																																											
199857030703	ダ	右	1300	晴	稍重	12:00	C		1998-3-7	16	中津	4	(定量)																																											
199857030704	ダ	右	1300	晴	稍重	12:32	C		1998-3-7	16	中津	4	(定量)																																											
199857030705	ダ	右	1300	晴	稍重	13:04	C2		1998-3-7	16	中津	4	(定量)																																											
199857030706	ダ	右	1300	晴	稍重	13:36	C2		1998-3-7	16	中津	4	(定量)																																											
199857030707	ダ	右	1300	晴	稍重	14:10	C2		1998-3-7	16	中津	4	(定量)																																											
199857030708	ダ	右	1620	晴	稍重	14:45	B		1998-3-7	16	中津	4	(定量)																																											
199857032101	ダ	右	1180	晴	不良	11:00	C		1998-3-21	17	中津	4	(定量)																																											
199857032102	ダ	右	1300	晴	不良	11:30	C2		1998-3-21	17	中津	4	(定量)																																											
199857032103	ダ	右	1300	晴	不良	12:00	C2		1998-3-21	17	中津	4	(定量)																																											
199857032104	ダ	右	1300	晴	不良	12:32	C		1998-3-21	17	中津	4	(定量)																																											
199857032105	ダ	右	1300	晴	不良	13:04	C		1998-3-21	17	中津	4	(定量)																																											
199857032106	ダ	右	1300	晴	不良	13:36	C2		1998-3-21	17	中津	4	(定量)																																											
199857032107	ダ	右	1300	晴	不良	14:10	C2		1998-3-21	17	中津	4	(定量)																																											
199857032108	ダ	右	1620	晴	不良	14:45	B		1998-3-21	17	中津	4	(定量)																																											
