	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201645010101	ダ	左	1500	晴	良	11:20	迎春賞		2016-1-1	11	川崎	1	71万円以上100万円未満		1	310	2	1.0	110	2.0	9.0	100	1.0	2.0	240	6.0	1-8	260.0	1.0	1-9	240	1	1-9	150	1	1-2	350	6	2-9	300	3	1=>8	750.0	2.0	1=>9	680	2	1-2-9	590	2	1=>9=>2	3160	9	135247689	1,3,2,5,(6,4,7),9,8	1,3,2,5,(4,9,7),8,6	1,3,2,9,4,(8,5,7)-6	6.3 - 11.6 - 12.9 - 13.9 - 12.2 - 13.2 - 14.9 - 13.8	6.3 - 17.9 - 30.8 - 44.7 - 56.9 - 70.1 - 85.0 - 98.8 (30.8-41.9)
201645010102	ダ	左	1400	晴	良	11:50	3歳5　ロ		2016-1-1	11	川崎	1	36万円以上71万円未満		4	130	1	4.0	120	1.0	3.0	1,550	11.0	8.0	200	3.0	3-4	6520.0	13.0	3-4	5990	17	3-4	2,040	19	4-8	250	2	3-8	3,300	29	4=>3	7780.0	17.0	4=>3	5930	18	3-4-8	11710	34	4=>3=>8	43650	113	4511231089617	4,5,(2,11),3,8,10,9,6,1,7	4,5,11,(2,3),10,8,9,7,1,6	4,5,(2,3),(8,9),10,1,11,7,6	13.1 - 12.9 - 14.6 - 12.5 - 13.1 - 14.3 - 13.6	13.1 - 26.0 - 40.6 - 53.1 - 66.2 - 80.5 - 94.1 (40.6-41.0)
201645010103	ダ	左	1400	晴	良	12:20	3歳4　イ		2016-1-1	11	川崎	1	36万円以上71万円未満		4	110	1	4.0	100	1.0	7.0	120	2.0	5.0	450	8.0	4-7	190.0	1.0	4-7	210	1	4-7	140	1	4-5	970	12	5-7	1,610	19	4=>7	240.0	1.0	4=>7	280	1	4-5-7	2570	9	4=>7=>5	5000	15	5,6,(9,10),4,7,2,3,1,8	5,6,(9,10),4,7,2,3,1,8	(5,6),4,9,7,10,3,1,2,8	6,(5,4),7,9,1,10,3,2,8	13.0 - 12.3 - 14.6 - 12.2 - 13.3 - 14.1 - 13.2	13.0 - 25.3 - 39.9 - 52.1 - 65.4 - 79.5 - 92.7 (39.9-40.6)
201645010104	ダ	左	1400	晴	良	12:50	C3十　1112		2016-1-1	11	川崎	1			3	210	1	3.0	140	1.0	11.0	2,110	9.0	10.0	440	6.0	3-8	1470.0	6.0	3-11	14500	21	3-11	3,250	22	3-10	860	12	10-11	15,460	41	3=>8	1790.0	8.0	3=>11	18140	35	3-10-11	52480	62	3=>11=>10	312830	306	942536107111	249351067111	2,4,(3,5,7),9,10,6,11-1	2,3,(10,4),11,(5,7),6,9,1	12.9 - 11.8 - 13.4 - 12.8 - 13.4 - 14.7 - 13.5	12.9 - 24.7 - 38.1 - 50.9 - 64.3 - 79.0 - 92.5 (38.1-41.6)
201645010105	ダ	左	1600	晴	良	13:20	C2三　四		2016-1-1	11	川崎	1			3	2260	6	3.0	210	6.0	5.0	150	2.0	4.0	110	1.0				3-5	6080	15	3-5	1,020	15	3-4	310	5	4-5	200	1				3=>5	14410	30	3-4-5	1150	4	3=>5=>4	28610	79	4,7,6,(1,2),5,8,3	4,7,6,1,(5,2),8,3	47621583	4,7,1,6,(5,2),(8,3)	13.0 - 11.7 - 12.9 - 14.4 - 12.8 - 12.6 - 14.3 - 13.2	13.0 - 24.7 - 37.6 - 52.0 - 64.8 - 77.4 - 91.7 - 104.9 (37.6-40.1)
201645010106	ダ	左	1400	晴	良	13:50	C3十　1112		2016-1-1	11	川崎	1			9	110	1	9.0	100	1.0	6.0	770	9.0	7.0	150	2.0	6-8	1960.0	7.0	6-9	2060	8	6-9	1,060	12	7-9	170	1	6-7	2,450	23	8=>6	2230.0	9.0	9=>6	2350	8	6-7-9	2750	12	9=>6=>7	9800	32	9,3,(1,10),6,8,7,4,5,2	93110684752	9,3,(1,7),10,6,8,5,4-2	91637104852	13.0 - 13.1 - 13.8 - 12.2 - 13.0 - 13.6 - 13.7	13.0 - 26.1 - 39.9 - 52.1 - 65.1 - 78.7 - 92.4 (39.9-40.3)
201645010107	ダ	左	1400	晴	良	14:20	C3十　1112		2016-1-1	11	川崎	1			5	4650	7	5.0	280	6.0	7.0	120	2.0	8.0	110	1.0	5-6	1170.0	5.0	5-7	4130	13	5-7	720	9	5-8	620	7	7-8	160	1	5=>6	4490.0	11.0	5=>7	14810	32	5-7-8	1440	4	5=>7=>8	30750	85	121116598102347	12,1,11,6,5,9,8,10,2,(3,4),7	12,(1,11),(6,4),5,(2,8,9),10,3,7	12,(1,4),6,8,5,2,11,(3,7),9,10	12.8 - 12.2 - 13.2 - 12.2 - 13.4 - 14.5 - 14.8	12.8 - 25.0 - 38.2 - 50.4 - 63.8 - 78.3 - 93.1 (38.2-42.7)
201645010201	ダ	左	1400	晴	良	11:20	3歳6		2016-1-2	11	川崎	2	24万円以上36万円未満		5	230	1	5.0	120	1.0	9.0	180	4.0	1.0	350	6.0	5-8	480.0	2.0	5-9	1830	7	5-9	700	8	1-5	600	6	1-9	1,620	21	5=>8	900.0	2.0	5=>9	3150	11	1-5-9	4790	20	5=>9=>1	17710	59	5,3,7,2,4,8,(1,10),9,6	53724101986	53724101968	5,(2,3),(1,4,7),10,(6,9),8	13.2 - 13.6 - 15.0 - 12.8 - 13.4 - 14.1 - 13.4	13.2 - 26.8 - 41.8 - 54.6 - 68.0 - 82.1 - 95.5 (41.8-40.9)
201645010202	ダ	左	1400	晴	良	11:50	C3　4歳		2016-1-2	11	川崎	2			3	390	2	3.0	150	2.0	1.0	470	7.0	5.0	120	1.0	1-3	5580.0	17.0	1-3	5760	18	1-3	1,310	18	3-5	200	1	1-5	1,110	16	3=>1	7850.0	25.0	3=>1	8240	30	1-3-5	3600	15	3=>1=>5	26730	102	8,10,3,4,(2,5),9,6,1,7	8,10,3,4,(2,5),9,1,7,6	(8,5),(10,4),3,9,2,6,1,7	58104321976	13.2 - 13.3 - 14.8 - 12.4 - 13.2 - 14.3 - 13.7	13.2 - 26.5 - 41.3 - 53.7 - 66.9 - 81.2 - 94.9 (41.3-41.2)
201645010203	ダ	左	1400	晴	良	12:20	C3七　八九		2016-1-2	11	川崎	2			5	230	1	5.0	130	1.0	6.0	250	6.0	4.0	170	3.0	5-6	1740.0	10.0	5-6	1520	6	5-6	570	8	4-5	260	1	4-6	480	6	5=>6	2420.0	11.0	5=>6	2130	7	4-5-6	1630	3	5=>6=>4	6960	9	2,(5,8),10,(1,6),3,4,9,7	2,5,8,1,(6,10),3,4,9,7	2,(5,8),(1,6,10),3,4,9,7	2,5,(1,8),6,3,(7,4,10,9)	13.0 - 12.3 - 13.9 - 12.4 - 13.3 - 14.2 - 13.6	13.0 - 25.3 - 39.2 - 51.6 - 64.9 - 79.1 - 92.7 (39.2-41.1)
