	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
201643011801	ダ	左	1200	雨	不良	11:20	C3　四歳選定		2016-1-18	10	船橋	1			7	180	1	7.0	110	1.0	8.0	130	2.0	3.0	510	7.0	7-8	290	1	7-8	170	1	3-7	830	9	3-8	1,920	18	7=>8	580	2	3-7-8	2420	9	7=>8=>3	5980	19		8,6,2,7,3,1,5-4	8,6,2,7,1,3,5=4	8,6,7,2,1,3,5=4	12.5 - 11.7 - 12.2 - 12.8 - 13.1 - 13.9	12.5 - 24.2 - 36.4 - 49.2 - 62.3 - 76.2 (36.4-39.8)						
201643011802	ダ	左	1500	雨	不良	11:50	3歳三		2016-1-18	10	船橋	1	81万円以上145万円未満		1	170	1	1.0	120	1.0	6.0	1,990	10.0	2.0	170	3.0	1-6	15750	28	1-6	5,790	32	1-2	250	1	2-6	6,870	36	1=>6	14840	37	1-2-6	14260	38	1=>6=>2	95950	232	26173549810.0	26713594810	(2,6),7,1,3,5,9,4,8,10	26713510984	6.9 - 12.7 - 12.8 - 12.6 - 12.7 - 13.0 - 14.0 - 13.8	6.9 - 19.6 - 32.4 - 45.0 - 57.7 - 70.7 - 84.7 - 98.5 (32.4-40.8)	1-6	13140.0	18.0	1=>6	11950.0	33.0
201643011803	ダ	左	1500	雨	不良	12:20	3歳二		2016-1-18	10	船橋	1	145万円以上210万円未満		6	390	3	6.0	150	3.0	12.0	300	5.0	11.0	140	2.0	6-12	2570	8	6-12	780	9	6-11	300	3	11-12	590	7	6=>12	4030	12	6-11-12	2250	5	6=>12=>11	13530	34	351081211671942.0	351081211679142	(3,5),10,(8,12),11,(6,7),(1,9)-4,2	3,5,10,12,8,11,6,7,9,1,4-2	7.0 - 12.2 - 12.8 - 13.0 - 12.9 - 13.1 - 14.2 - 14.5	7.0 - 19.2 - 32.0 - 45.0 - 57.9 - 71.0 - 85.2 - 99.7 (32.0-41.8)	5-8	480.0	2.0	5=>8	850.0	3.0
201643011804	ダ	左	1200	雨	不良	12:50	C3　十三		2016-1-18	10	船橋	1			8	160	1	8.0	100	1.0	5.0	140	3.0	10.0	140	2.0	5-8	440	2	5-8	230	2	8-10	220	1	5-10	590	7	8=>5	600	2	5-8-10	1010	3	8=>5=>10	2640	4		5831102961147	5,(3,8),(1,10),2,9,4,(6,11),7	5831012941167	12.8 - 11.8 - 11.8 - 13.2 - 14.2 - 15.1	12.8 - 24.6 - 36.4 - 49.6 - 63.8 - 78.9 (36.4-42.5)	5-7	480.0	2.0	7=>5	630.0	3.0
201643011805	ダ	左	1500	雨	不良	13:20	けいちゃん生誕記念キ		2016-1-18	10	船橋	1			4	140	1	4.0	100	1.0	3.0	1,170	11.0	1.0	310	6.0	3-4	5160	13	3-4	1,960	19	1-4	450	5	1-3	5,990	36	4=>3	4480	13	1-3-4	10180	31	4=>3=>1	51050	129	4,6,10,7,2,9,5,8,3,11-1	4,6,10,2,7,9,5,8,3,11-1	4,10,6,2,9,(7,11),5,3,8,1	4102691157381	7.0 - 11.9 - 12.7 - 12.6 - 12.2 - 12.9 - 14.0 - 13.7	7.0 - 18.9 - 31.6 - 44.2 - 56.4 - 69.3 - 83.3 - 97.0 (31.6-40.6)	3-4	5960.0	11.0	4=>3	5930.0	13.0
201643011806	ダ	左	1200	雨	不良	13:50	C2　選抜馬		2016-1-18	10	船橋	1			10	2240	9	10.0	530	8.0	12.0	230	3.0	9.0	580	9.0	10-12	4230	20	10-12	1,440	16	9-10	3,460	51	9-12	1,590	20	10=>12	8470	38	9-10-12	18710	81	10=>12=>9	102650	430		411812561710293	(4,11),12,(5,8),(7,10),6,(2,9),1,3	411125810679231	12.8 - 11.9 - 12.1 - 12.5 - 13.2 - 13.8	12.8 - 24.7 - 36.8 - 49.3 - 62.5 - 76.3 (36.8-39.5)	7-8	690.0	3.0	7=>8	1780.0	7.0
201643011807	ダ	左	1200	雨	不良	14:20	今年の趣味は乗馬で決		2016-1-18	10	船橋	1			7	580	3	7.0	220	3.0	11.0	340	5.0	8.0	770	7.0	7-11	2640	9	7-11	780	9	7-8	3,190	25	8-11	5,060	37	7=>11	4530	16	7-8-11	32990	70	7=>11=>8	100890	221		11691215748103	11,6,9,12,5,1,7,4,(8,10)=3	11,6,5,9,12,1,7,8,4,10=3	12.8 - 11.6 - 11.9 - 12.6 - 13.3 - 13.8	12.8 - 24.4 - 36.3 - 48.9 - 62.2 - 76.0 (36.3-39.7)	6-8	600.0	3.0	6=>8	1720.0	7.0
201643011808	ダ	左	1500	曇	不良	14:55	C2三		2016-1-18	10	船橋	1			7	350	2	7.0	140	2.0	2.0	880	10.0	6.0	160	3.0	2-7	15750	32	2-7	3,230	35	6-7	280	3	2-6	2,430	26	7=>2	19540	49	2-6-7	10360	33	7=>2=>6	94580	233	1275106311489	1275106113849	(1,2),7,10,9,5,11,6,8,3,4	1271096581134	7.2 - 12.0 - 13.0 - 12.9 - 12.5 - 12.6 - 13.0 - 14.3	7.2 - 19.2 - 32.2 - 45.1 - 57.6 - 70.2 - 83.2 - 97.5 (32.2-39.9)	2-6	8020.0	17.0	6=>2	7830.0	21.0
201643011809	ダ	左	1200	曇	不良	15:30	ロウバイ賞		2016-1-18	10	船橋	1			2	1220	6	2.0	420	8.0	6.0	420	7.0	5.0	240	3.0	2-6	6650	29	2-6	2,130	29	2-5	1,520	22	5-6	830	11	2=>6	12450	55	2-5-6	12150	54	2=>6=>5	78110	333		561272849103111.0	567122810491113.0	562871210419113.0	12.8 - 11.2 - 11.5 - 12.3 - 13.2 - 14.8	12.8 - 24.0 - 35.5 - 47.8 - 61.0 - 75.8 (35.5-40.3)	2-5	2620.0	12.0	2=>5	7070.0	27.0
201643011810	ダ	左	1700	曇	不良	16:05	七草特別 		2016-1-18	10	船橋	1			2	210	2	2.0	100	1.0	1.0	100	2.0	9.0	220	6.0	1-2	150	1	1-2	110	1	2-9	360	4	1-9	360	5	2=>1	290	2	1-2-9	560	3	2=>1=>9	1460	5	10183452967	10183425967	10,1,8,4,2,(9,3),6,5,7	11028496375	6.6 - 11.7 - 12.3 - 12.6 - 12.5 - 13.1 - 13.2 - 14.1 - 14.7	6.6 - 18.3 - 30.6 - 43.2 - 55.7 - 68.8 - 82.0 - 96.1 - 110.8 (30.6-42.0)	1-2	140.0	1.0	2=>1	270.0	2.0
