	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201642010601	ダ	左	1400	曇	良	10:20	3歳二		2016-1-6	10	浦和	1	110万円以上203万円未満		11	4180	8	11.0	1,310	8.0	1.0	230	3.0	6.0	5,470	12.0	1-8	970.0	4.0	1-11	8050	21	1-11	2,620	22	6-11	31,910	61	1-6	8,800	42	8=>1	1610.0	8.0	11=>1	20120	47	1-6-11	273810	168	11=>1=>6	726000	631	111263817921054	111263178925104	111126985371024	11,1,6,12,9,8,3,5,2,7,10-4	12.6 - 12.2 - 13.0 - 13.6 - 11.9 - 13.6 - 14.5	12.6 - 24.8 - 37.8 - 51.4 - 63.3 - 76.9 - 91.4 (37.8-40.0)
201642010602	ダ	左	1500	曇	良	10:50	C3　4歳ア		2016-1-6	10	浦和	1			7	170	1	7.0	110	1.0	12.0	140	2.0	3.0	150	4.0	6-8	320.0	1.0	7-12	340	1	7-12	200	1	3-7	340	4	3-12	440	6	6=>8	350.0	1.0	7=>12	490	1	3-7-12	690	2	7=>12=>3	1580	1	247101112569831	241071211596381	212947103115186	212397411011586	7.2 - 11.9 - 13.2 - 13.6 - 13.4 - 12.4 - 13.7 - 13.2	7.2 - 19.1 - 32.3 - 45.9 - 59.3 - 71.7 - 85.4 - 98.6 (32.3-39.3)
201642010603	ダ	左	1400	曇	良	11:20	C3九　十		2016-1-6	10	浦和	1			2	2300	6	2.0	320	6.0	10.0	130	1.0	8.0	190	3.0	2-7	2560.0	9.0	2-10	1980	8	2-10	750	10	2-8	1,230	15	8-10	270	2	2=>7	8710.0	20.0	2=>10	9660	27	2-8-10	5780	19	2=>10=>8	53670	141	271011198124563	271019118124563	2,10,9,1,7,11,8,4,5,12-6,3	2,10,1,4,9,7,11,8,5,12-6,3	12.8 - 12.7 - 13.2 - 13.8 - 12.3 - 13.5 - 13.8	12.8 - 25.5 - 38.7 - 52.5 - 64.8 - 78.3 - 92.1 (38.7-39.6)
201642010604	ダ	左	1400	曇	良	11:50	C3九　十		2016-1-6	10	浦和	1			9	410	2	9.0	190	4.0	5.0	230	5.0	7.0	180	2.0	5-7	1230.0	4.0	5-9	2310	10	5-9	800	11	7-9	570	6	5-7	600	7	7=>5	1900.0	9.0	9=>5	4000	16	5-7-9	4830	20	9=>5=>7	22800	78	211123101957846	211123109157846	210911125318764	921051112317846	12.7 - 12.2 - 12.6 - 13.6 - 13.0 - 14.1 - 13.7	12.7 - 24.9 - 37.5 - 51.1 - 64.1 - 78.2 - 91.9 (37.5-40.8)
201642010605	ダ	左	1400	曇	良	12:20	C3七　八		2016-1-6	10	浦和	1			10	130	1	10.0	100	1.0	9.0	230	5.0	1.0	330	6.0	7-8	510.0	3.0	9-10	600	3	9-10	320	4	1-10	580	6	1-9	1,530	18	8=>7	640.0	3.0	10=>9	860	3	1-9-10	2680	10	10=>9=>1	6080	20	3876101492511	3876101492511	8376101294511	1037865291114	12.9 - 12.2 - 12.9 - 13.6 - 12.9 - 13.6 - 13.1	12.9 - 25.1 - 38.0 - 51.6 - 64.5 - 78.1 - 91.2 (38.0-39.6)
201642010606	ダ	左	1400	曇	良	12:50	C3七　八		2016-1-6	10	浦和	1			1	260	2	1.0	120	2.0	5.0	120	1.0	6.0	160	3.0	1-5	210.0	1.0	1-5	230	1	1-5	130	1	1-6	350	4	5-6	300	2	1=>5	570.0	2.0	1=>5	570	2	1-5-6	620	1	1=>5=>6	2490	5	576124121083911	576124123108911	561232148710911	561122381047911	12.9 - 12.8 - 13.2 - 13.6 - 12.5 - 12.8 - 13.8	12.9 - 25.7 - 38.9 - 52.5 - 65.0 - 77.8 - 91.6 (38.9-39.1)
201642010607	ダ	左	1500	曇	良	13:20	若水特別 		2016-1-6	10	浦和	1	203万円以上		10	210	1	10.0	120	1.0	7.0	170	4.0	11.0	150	2.0	6-8	770.0	5.0	7-10	1260	5	7-10	410	4	10-11	350	3	7-11	660	9	8=>6	1180.0	6.0	10=>7	2130	8	7-10-11	1870	5	10=>7=>11	9250	22	4,6,10,3,2,11,9,1,7,5-8	4,6,10,3,2,11,1,7,9,5-8	4,10,11,9,6,7,2,5,1,3-8	1047119521638	7.4 - 11.5 - 12.8 - 13.5 - 13.6 - 12.8 - 13.5 - 12.9	7.4 - 18.9 - 31.7 - 45.2 - 58.8 - 71.6 - 85.1 - 98.0 (31.7-39.2)
201642010608	ダ	左	1500	曇	良	13:55	C2四　五		2016-1-6	10	浦和	1			4	250	2	4.0	140	2.0	1.0	300	6.0	3.0	250	5.0	1-4	1410.0	6.0	1-4	1830	8	1-4	690	9	3-4	410	6	1-3	1,300	15	4=>1	1470.0	7.0	4=>1	2720	12	1-3-4	4670	17	4=>1=>3	16210	56	875641932	876451932	874615932	486173592	7.3 - 11.8 - 12.6 - 13.3 - 13.5 - 12.5 - 13.1 - 14.0	7.3 - 19.1 - 31.7 - 45.0 - 58.5 - 71.0 - 84.1 - 98.1 (31.7-39.6)
201642010609	ダ	左	1500	曇	良	14:30	ジャニュアリー賞		2016-1-6	10	浦和	1			10	200	1	10.0	130	1.0	9.0	280	5.0	7.0	770	9.0	8-8	980.0	6.0	9-10	990	3	9-10	490	5	7-10	1,430	18	7-9	2,980	31	8=>8	1030.0	5.0	10=>9	1590	6	7-9-10	8320	29	10=>9=>7	22500	71	79310612845	79103612845	91076853124	91076354812	6.6 - 11.7 - 12.3 - 13.1 - 13.8 - 12.6 - 12.8 - 14.3	6.6 - 18.3 - 30.6 - 43.7 - 57.5 - 70.1 - 82.9 - 97.2 (30.6-39.7)
201642010610	ダ	左	1400	曇	良	15:05	ガーネット特別 		2016-1-6	10	浦和	1	(ハンデ)		10	100	1	10.0	110	1.0	11.0	490	8.0	4.0	380	6.0	8-8	1810.0	6.0	10-11	1710	6	10-11	710	9	4-10	480	6	4-11	4,770	30	8=>8	1660.0	6.0	10=>11	1880	7	4-10-11	8560	22	10=>11=>4	20270	51	1039411716825	1034911176825	10-4,3,11,9,7,1,6,8,2-5	10-4,3,11,9,7,1,6,8,2-5	13.0 - 12.3 - 12.3 - 12.8 - 11.9 - 13.1 - 13.5	13.0 - 25.3 - 37.6 - 50.4 - 62.3 - 75.4 - 88.9 (37.6-38.5)
201642010611	ダ	左	1500	曇	良	15:40	新春特別 		2016-1-6	10	浦和	1	(ハンデ)		2	540	3	2.0	150	3.0	1.0	130	2.0	10.0	110	1.0	1-2	940.0	5.0	1-2	980	4	1-2	310	4	2-10	260	2	1-10	190	1	2=>1	2040.0	11.0	2=>1	2080	9	1-2-10	590	1	2=>1=>10	4920	14	176105128294311	1,6,7,10,5,12,8,2,9,4,3-11	1,10,5,6,7,2,12,9,8,4,3=11	1,10,5,2,8,12,7,4,3,9,6=11	6.5 - 11.8 - 11.7 - 12.6 - 13.2 - 12.2 - 13.1 - 13.7	6.5 - 18.3 - 30.0 - 42.6 - 55.8 - 68.0 - 81.1 - 94.8 (30.0-39.0)
201642010612	ダ	左	1500	曇	良	16:15	カトレア特別 		2016-1-6	10	浦和	1			7	380	3	7.0	170	3.0	2.0	140	2.0	1.0	280	6.0	2-6	480.0	2.0	2-7	510	1	2-7	200	1	1-7	1,220	17	1-2	790	11	6=>2	1060.0	6.0	7=>2	1010	3	1-2-7	3410	13	7=>2=>1	11270	31	721983541110612	721981035411612	729138105461211	721938541061211	6.7 - 11.7 - 12.3 - 12.9 - 13.4 - 12.2 - 12.7 - 14.7	6.7 - 18.4 - 30.7 - 43.6 - 57.0 - 69.2 - 81.9 - 96.6 (30.7-39.6)
201642010701	ダ	左	1400	晴	良	10:20	3歳四		2016-1-7	10	浦和	2	45万円以上110万円未満		2	290	1	2.0	160	2.0	12.0	200	4.0	10.0	280	6.0	2-8	1020.0	3.0	2-12	1170	3	2-12	360	2	2-10	390	3	10-12	600	9	2=>8	1440.0	2.0	2=>12	1940	5	2-10-12	2200	5	2=>12=>10	11220	27	571234121181096	573124218111096	571214210113896	512274110119368	12.5 - 12.7 - 13.6 - 14.0 - 12.3 - 13.4 - 13.4	12.5 - 25.2 - 38.8 - 52.8 - 65.1 - 78.5 - 91.9 (38.8-39.1)
201642010702	ダ	左	1400	晴	良	10:50	3歳三		2016-1-7	10	浦和	2	45万円以上110万円未満		7	560	3	7.0	190	4.0	10.0	120	1.0	2.0	160	3.0	6-8	550.0	2.0	7-10	830	2	7-10	260	2	2-7	990	12	2-10	400	3	6=>8	1220.0	3.0	7=>10	1530	4	2-7-10	2140	5	7=>10=>2	11220	23	3674111102895	3671411102895	3674101112598	7631041298511	12.5 - 12.4 - 13.5 - 13.8 - 12.8 - 13.7 - 13.5	12.5 - 24.9 - 38.4 - 52.2 - 65.0 - 78.7 - 92.2 (38.4-40.0)
201642010703	ダ	左	1400	晴	良	11:20	C3　4歳イ		2016-1-7	10	浦和	2			3	180	1	3.0	100	1.0	2.0	130	3.0	6.0	120	2.0	2-3	350.0	1.0	2-3	210	1	2-3	160	1	3-6	170	2	2-6	270	3	3=>2	590.0	1.0	3=>2	600	1	2-3-6	400	1	3=>2=>6	1410	1	3611127954810	3611127459810	3611712954810	3624111510897	12.7 - 12.0 - 13.3 - 13.9 - 12.7 - 13.4 - 12.7	12.7 - 24.7 - 38.0 - 51.9 - 64.6 - 78.0 - 90.7 (38.0-38.8)
201642010704	ダ	左	1400	晴	良	11:50	C3五　六		2016-1-7	10	浦和	2			4	350	2	4.0	120	3.0	10.0	120	2.0	9.0	110	1.0	4-7	270.0	1.0	4-10	480	3	4-10	230	3	4-9	230	2	9-10	130	1	4=>7	360.0	1.0	4=>10	600	2	4-9-10	440	1	4=>10=>9	2000	1	124109712685311	124106129875311	1,4,10,2,12,6,9,8-5,7,3,11	141061298523117	12.4 - 11.9 - 13.0 - 13.6 - 12.5 - 13.7 - 13.7	12.4 - 24.3 - 37.3 - 50.9 - 63.4 - 77.1 - 90.8 (37.3-39.9)
201642010705	ダ	左	1500	晴	良	12:20	C3五　六		2016-1-7	10	浦和	2			5	410	3	5.0	120	2.0	4.0	110	1.0	2.0	180	4.0	4-5	400.0	2.0	4-5	380	1	4-5	180	2	2-5	550	7	2-4	510	5	5=>4	1110.0	5.0	5=>4	880	4	2-4-5	1350	4	5=>4=>2	6440	15	28951047163	28951047163	28957104316	28547910631	7.3 - 11.9 - 12.6 - 13.5 - 13.8 - 12.7 - 13.2 - 13.7	7.3 - 19.2 - 31.8 - 45.3 - 59.1 - 71.8 - 85.0 - 98.7 (31.8-39.6)
201642010706	ダ	左	1400	晴	良	12:50	C3二		2016-1-7	10	浦和	2			4	1690	8	4.0	300	5.0	11.0	380	8.0	3.0	150	1.0	4-8	1680.0	8.0	4-11	3590	17	4-11	1,860	28	3-4	630	6	3-11	770	8	4=>8	2440.0	10.0	4=>11	6950	32	3-4-11	5650	20	4=>11=>3	43100	152	3410191127658	3410191126758	3410111927658	3411102179685	12.5 - 12.2 - 13.2 - 13.4 - 12.5 - 13.2 - 13.3	12.5 - 24.7 - 37.9 - 51.3 - 63.8 - 77.0 - 90.3 (37.9-39.0)
201642010707	ダ	左	1400	晴	良	13:20	C2六　七		2016-1-7	10	浦和	2			10	1540	7	10.0	290	4.0	7.0	360	7.0	8.0	360	6.0	6-7	850.0	4.0	7-10	5940	22	7-10	990	16	8-10	1,710	26	7-8	1,020	17	7=>6	1490.0	8.0	10=>7	16720	53	7-8-10	13190	49	10=>7=>8	114620	335	671112984105312	671112849105312	671011812495132	671084111253129	12.4 - 11.8 - 12.7 - 13.7 - 12.5 - 13.3 - 14.1	12.4 - 24.2 - 36.9 - 50.6 - 63.1 - 76.4 - 90.5 (36.9-39.9)
201642010708	ダ	左	1500	晴	良	13:50	七草賞		2016-1-7	10	浦和	2			8	130	1	8.0	100	1.0	12.0	190	5.0	2.0	120	2.0	6-8	760.0	3.0	8-12	1030	5	8-12	360	5	2-8	130	1	2-12	670	10	6=>8	990.0	5.0	8=>12	1170	6	2-8-12	990	4	8=>12=>2	3680	9	289715341210116	8,2,9,7,1,5,4,3,12,10-11	89725412311101	87129253411101	7.4 - 12.7 - 13.0 - 13.3 - 13.5 - 12.7 - 12.9 - 13.0	7.4 - 20.1 - 33.1 - 46.4 - 59.9 - 72.6 - 85.5 - 98.5 (33.1-38.6)
201642010709	ダ	左	1500	晴	良	14:25	HBA日高軽種馬農業		2016-1-7	10	浦和	2			7	130	1	7.0	100	1.0	4.0	240	5.0	8.0	140	2.0	4-6	1040.0	5.0	4-7	1310	4	4-7	440	5	7-8	150	1	4-8	980	12	6=>4	1370.0	5.0	7=>4	1650	6	4-7-8	1300	4	7=>4=>8	5840	15	112710951648312	117210951468123	117102451812963	711410821251396	7.4 - 11.0 - 12.6 - 13.0 - 13.7 - 12.5 - 13.4 - 13.8	7.4 - 18.4 - 31.0 - 44.0 - 57.7 - 70.2 - 83.6 - 97.4 (31.0-39.7)
