	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201655010201	ダ	右	1400	曇	稍重	11:05	3歳ー3組		2016-1-2	19	佐賀	1	(馬齢)		1.0	120.0	1.0	1.0	110	1.0	3.0	140	2.0	1-3	170.0	1.0	1-3	110	1.0	1-5	340	5.0	3-5	230	4.0	1=>3	170.0	1.0	1-3-5	300.0	2.0	1=>3=>5	410.0	1.0	346152.0	634152.0	641352.0	341562.0								
201655010202	ダ	右	1300	曇	稍重	11:35	C2ー35組		2016-1-2	19	佐賀	1	(馬齢)		6.0	150.0	1.0	6.0	150	2.0	3.0	330	4.0	3-6	440.0	3.0	3-6	130	1.0	5-6	140	2.0	3-5	180	4.0	6=>3	460.0	2.0	3-5-6	410.0	2.0	6=>3=>5	1370.0	5.0	5632741.0	5632741.0	5632741.0	5637241.0								
201655010203	ダ	右	1300	曇	稍重	12:05	C2ー33組		2016-1-2	19	佐賀	1	(馬齢)		4.0	150.0	1.0	4.0	120	2.0	8.0	150	4.0	4-8	710.0	3.0	4-8	180	3.0	4-7	110	1.0	7-8	360	6.0	4=>8	1110.0	5.0	4-7-8	270.0	1.0	4=>8=>7	1640.0	6.0	48123675.0	48123765.0	48123765.0	48237165.0			7.0	120.0	3.0			
201655010204	ダ	右	1300	曇	稍重	12:35	C2ー31組		2016-1-2	19	佐賀	1	(馬齢)		1.0	370.0	2.0	1.0	160	1.0	5.0	1,200	6.0	1-5	2100.0	8.0	1-5	910	11.0	1-4	1,100	12.0	4-5	3,970	20.0	1=>5	4430.0	13.0	1-4-5	9840.0	24.0	1=>5=>4	23770.0	72.0	7514632.0	7561432.0	5671342.0	1564372.0								
201655010205	ダ	右	1300	曇	稍重	13:15	C2ー29組		2016-1-2	19	佐賀	1	(馬齢)		2.0	390.0	2.0	2.0	150	3.0	1.0	150	4.0	1-2	820.0	4.0	1-2	310	4.0	2-5	290	3.0	1-5	240	2.0	2=>1	1770.0	8.0	1-2-5	730.0	1.0	2=>1=>5	4150.0	11.0	27154638.0	27415368.0	27415368.0	21465738.0			5.0	110.0	1.0			
201655010206	ダ	右	1400	曇	稍重	13:45	C2ー27組		2016-1-2	19	佐賀	1	(馬齢)		1.0	160.0	1.0	1.0	100	1.0	3.0	150	3.0	1-3	1030.0	3.0	1-3	180	1.0	1-8	180	2.0	3-8	590	8.0	1=>3	1380.0	6.0	1-3-8	760.0	2.0	1=>3=>8	3850.0	10.0	13672485.0	13627485.0	13628457.0	13826547.0			8.0	120.0	2.0			
201655010207	ダ	右	1400	曇	稍重	14:15	C2ー25組		2016-1-2	19	佐賀	1	(馬齢)		4.0	440.0	2.0	4.0	150	2.0	5.0	690	8.0	4-5	2240.0	9.0	4-5	930	11.0	2-4	340	3.0	2-5	2,610	23.0	4=>5	3360.0	20.0	2-4-5	2850.0	11.0	4=>5=>2	13050.0	52.0	56842731.0	56482371.0	56482371.0	45628317.0			2.0	130.0	1.0			
201655010301	ダ	右	1300	曇	稍重	11:15	C2ー34組		2016-1-3	19	佐賀	2	(馬齢)		3.0	1560.0	4.0	3.0	170	5.0	4.0	120	2.0	3-4	1430.0	6.0	3-4	370	6.0	2-3	200	2.0	2-4	140	1.0	3=>4	3590.0	10.0	2-3-4	430.0	2.0	3=>4=>2	7620.0	24.0	12347658.0	13247658.0	31246758.0	34127658.0			2.0	100.0	1.0			
201655010302	ダ	右	1300	曇	稍重	11:45	C2ー32組		2016-1-3	19	佐賀	2	(馬齢)		6.0	240.0	2.0	6.0	140	3.0	3.0	130	1.0	3-6	440.0	2.0	3-6	210	2.0	6-7	1,770	15.0	3-7	860	9.0	6=>3	960.0	4.0	3-6-7	4940.0	11.0	6=>3=>7	19800.0	60.0	67823451.0	67283415.0	67823145.0	67328415.0			7.0	650.0	8.0			
201655010303	ダ	右	1300	曇	稍重	12:15	C2ー30組		2016-1-3	19	佐賀	2	(馬齢)		3.0	140.0	1.0	3.0	130	1.0	7.0	130	2.0	3-7	160.0	1.0	3-7	130	1.0	2-3	230	4.0	2-7	290	5.0	3=>7	250.0	1.0	2-3-7	350.0	2.0	3=>7=>2	590.0	2.0	3724516.0	3724516.0	3724561.0	3724561.0								
