着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	7	8	---	6	1992106726	牡	3	452.0	0.0	53	58.2	0			00579	00863	00nan	90.0	199432051702
2	3	3	---	4	1992109912	牡	3	482.0	0.0	53	58.4	1.1/2			00837	[他] 後條雄作	00nan	36.0	199432051702
3	8	10	---	5	1992109897	牝	3	426.0	0.0	53	58.6	3/4			00402	00845	00nan	22.5	199432051702
4	7	7	---	2	1992102015	牡	3	414.0	0.0	53	59.2	3			00439	[他] 北川數男	00nan	13.5	199432051702
5	1	1	---	1	1992109265	牝	3	424.0	0.0	53	59.5	1.1/2			05089	05173	00nan	9.0	199432051702
6	2	2	---	10	1992103169	牝	3	438.0	0.0	53	59.7	1.1/2			0中井博一	[他] 佐藤邦茂	00nan	0.0	199432051702
7	8	9	---	7	1992102569	牝	3	388.0	0.0	53	59.8	1/2			00安田歩	05087	00nan	0.0	199432051702
8	5	5	---	3	1992102165	牝	3	406.0	0.0	53	59.9	1/2			00國信滿	05055	00nan	0.0	199432051702
9	4	4	---	9	1992101469	牝	3	370.0	0.0	53	60.7	4			00440	00885	00nan	0.0	199432051702
10	6	6	---	8	1992102839	牝	3	444.0	0.0	53	61.1	2			0沼澤英知	05085	00nan	0.0	199432051702
1	4	4	---	5	1992109924	牝	3	464.0	4.0	53	56.0	0			05090	[他] 後條雄作	00nan	90.0	199432051707
2	3	3	---	1	1992101165	牡	3	466.0	4.0	53	56.0	クビ			00439	[他] 北川數男	00nan	36.0	199432051707
3	5	5	---	8	1992107643	牝	3	414.0	0.0	53	56.0	アタマ			05059	05105	00nan	22.5	199432051707
4	1	1	---	6	1992103580	牡	3	474.0	8.0	53	57.2	6			00837	[他] 後條雄作	00nan	13.5	199432051707
5	8	8	---	3	1992100253	牝	3	442.0	-8.0	53	57.4	1.1/2			00964	05056	00nan	9.0	199432051707
6	2	2	---	4	1992103841	牝	3	418.0	-2.0	53	57.8	2			05026	05025	00nan	0.0	199432051707
7	7	7	---	2	1992102410	牝	3	446.0	12.0	53	58.1	1.1/2			05069	00862	00nan	0.0	199432051707
8	6	6	---	9	1992107746	牡	3	430.0	6.0	53	58.6	2.1/2			05021	05056	00nan	0.0	199432051707
9	8	9	---	7	1992107023	牡	3	450.0	4.0	53	58.7	1/2			00402	00845	00nan	0.0	199432051707
1	7	8	---	2	1992109265	牝	3	418.0	-6.0	53	57.6	0			05089	05173	00nan	60.0	199432052403
2	8	10	---	5	1992107126	牝	3	424.0	-2.0	53	57.8	1.1/2			00837	00887	00nan	24.0	199432052403
3	6	6	---	7	1992107595	牝	3	426.0	-4.0	53	58.0	1			00安田歩	00863	00nan	15.0	199432052403
4	2	2	---	6	1992107769	牝	3	412.0	0.0	53	58.2	1			00440	05104	00nan	9.0	199432052403
5	8	9	---	4	1992103117	牡	3	416.0	-2.0	53	58.4	1.1/2			05140	00843	00nan	6.0	199432052403
6	7	7	---	1	1992106054	牡	3	448.0	-2.0	53	58.6	3/4			00579	00863	00nan	0.0	199432052403
7	3	3	---	9	1992200074	牡	3	450.0	-4.0	53	58.7	3/4			00578	00862	00nan	0.0	199432052403
8	5	5	---	10	1992102691	牝	3	436.0	10.0	53	59.1	2			05059	05105	00nan	0.0	199432052403
9	4	4	---	3	1992107227	牝	3	420.0	-10.0	53	59.9	4			00國信滿	00843	00nan	0.0	199432052403
10	1	1	---	8	1992104013	牝	3	438.0	6.0	53	60.3	2			05144	05173	00nan	0.0	199432052403
1	6	6	---	1	1991108316	牡	4	450.0	6.0	56	99.5	0			00575	00863	00nan	160.0	199432042610
2	8	9	---	6	1991104233	牡	4	458.0	-2.0	55	100.2	3			05089	05173	00nan	64.0	199432042610
3	3	3	---	4	1991105109	牝	4	468.0	10.0	54	100.7	2.1/2			05096	05094	00nan	40.0	199432042610
4	7	7	---	2	1991106699	牡	4	512.0	10.0	55	101.1	2			00402	00845	00nan	24.0	199432042610
5	1	1	---	3	1991103402	牝	4	494.0	22.0	54	101.2	1/2			05103	00887	00nan	16.0	199432042610
6	2	2	---	7	1991105194	牝	4	454.0	10.0	54	101.8	3			05021	[他] 北川數男	00nan	0.0	199432042610
7	4	4	---	8	1991109749	牡	4	476.0	18.0	55	102.2	2			05026	05108	00nan	0.0	199432042610
8	5	5	---	5	1991108158	牡	4	480.0	30.0	55	102.7	2.1/2			05054	00815	00nan	0.0	199432042610
9	8	8	---	9	1991105964	牝	4	420.0	-24.0	54	103.4	3			05144	05173	00nan	0.0	199432042610
1	4	4	---	2	1991106185	牡	4	448.0	8.0	55	101.2	0			0柳澤好美	00864	00nan	85.0	199432042612
2	7	9	---	1	1991104824	牡	4	470.0	14.0	55	102.2	5			00402	00845	00nan	34.0	199432042612
3	5	5	---	5	1991104113	牝	4	402.0	-16.0	54	102.3	3/4			05091	05091	00nan	21.3	199432042612
4	2	2	---	8	1991105757	牡	4	428.0	4.0	55	102.7	2			00403	05085	00nan	12.7	199432042612
5	1	1	---	7	1991105246	牡	4	464.0	-8.0	55	102.9	1			00440	05104	00nan	8.5	199432042612
6	6	6	---	10	1991105270	牝	4	466.0	18.0	54	103.2	1.1/2			05140	00843	00nan	0.0	199432042612
7	7	8	---	4	1991109097	牡	4	498.0	20.0	55	103.4	3/4			00439	05090	00nan	0.0	199432042612
8	8	10	---	6	1991105457	牡	4	512.0	24.0	55	103.4	クビ			00837	[他] 後條雄作	00nan	0.0	199432042612
9	3	3	---	3	1991107704	牝	4	420.0	12.0	54	103.4	アタマ			05021	05056	00nan	0.0	199432042612
10	6	7	---	11	1991108073	牝	4	374.0	-14.0	54	104.4	5			05141	05158	00nan	0.0	199432042612
11	8	11	---	9	1991105053	牝	4	448.0	12.0	54	104.7	1.1/2			00964	05021	00nan	0.0	199432042612
