rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	4	4		ウインマリリン	牝3	54.0		横山武史	2:02.5		5-4-4-2	36.5	6.4	4	460	8		手塚貴久		ウイン	1,037.3
2	5	5		ウインキートス	牝3	54.0		津村明秀	2:02.8	1.3/4	9-8-8-7	36.5	6.2	3	448	6		宗像義忠		ウイン	407.8
3	7	8		テルツェット	牝3	54.0		柴山雄一	2:02.9	3/4	6-4-4-4	36.9	5.0	2	416	-6		和田正一		シルクレーシング	253.9
4	3	3		ラフダイヤモンド	牝3	54.0		鮫島克駿	2:03.2	2.0	11-11-10-9	36.6	34.4	9	446	0		高橋康之		ノースヒルズ	150.0
5	6	6		アンサンブル	牝3	54.0		石川裕紀	2:03.3	クビ	6-7-7-7	37.1	2.3	1	468	2		杉山晴紀		ロードホースクラブ	101.0
6	6	7		ドゥラモット	牝3	54.0		藤岡康太	2:04.0	4.0	3-4-4-2	38.0	19.3	7	464	-8		安田隆行		雅苑興業	
7	8	10		アマゾーヌ	牝3	54.0		内田博幸	2:04.1	3/4	1-1-1-1	38.6	30.7	8	464	0		斎藤誠		スリーエイチレーシング	
8	8	11		ダイワクンナナ	牝3	54.0		柴田善臣	2:04.2	クビ	9-8-8-10	37.9	13.7	6	482	-4		国枝栄		大城敬三	
9	1	1		ミュアウッズ	牝3	54.0		石橋脩	2:04.9	4.0	2-2-2-4	39.2	11.0	5	590	4		尾関知人		吉田勝己	
10	2	2		コスモギンガ	牝3	54.0		丹内祐次	2:05.2	2.0	6-8-10-11	38.7	77.0	11	450	0		高橋祥泰		岡田繁幸	
11	7	9		アテナノワール	牝3	54.0		北村宏司	2:05.5	2.0	3-2-2-4	39.8	37.9	10	476	-8		久保田貴		諸江幸祐	
