rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	1		キルロード	セ5	57.0		横山武史	1:09.3		2-1	35.2	2.2	1	502	4		田村康仁		エンジェルレーシング	1,100.0
2	5	5		ショウナンマッシブ	牡6	57.0		大野拓弥	1:09.4	1/2	5-4	34.9	5.1	2	474	-4		田中剛		国本哲秀	440.0
3	3	3		マイネルアルケミー	牡4	57.0		丹内祐次	1:09.7	2.0	1-2	35.7	20.8	7	490	0		中野栄治		サラブレッドクラブ・ラフィアン	280.0
4	6	6		ウインオルビット	牡5	57.0		内田博幸	1:10.0	2.0	8-6	35.3	32.1	8	490	-2		青木孝文		ウイン	170.0
5	7	9		ケワロス	牝5	55.0		藤岡康太	1:10.1	1/2	5-6	35.5	8.0	5	446	-2		牧浦充徳		ニッシンホールディングス	110.0
6	4	4		タイキラトナンジュ	牡8	54.0		小林凌大	1:10.1	クビ	9-8	35.3	47.2	10	466	0		萱野浩二		大樹ファーム	
7	7	8		ディロス	セ5	57.0		津村明秀	1:10.1	クビ	11-10	35.0	6.8	3	520	4		宮田敬介		シルクレーシング	
8	8	11		カステヘルミ	牝4	55.0		木幡巧也	1:10.2	1/2	3-3	35.9	7.8	4	434	8		岩戸孝樹		田頭勇貴	
9	6	7		ザベストエバー	牡6	54.0		原優介	1:10.7	3.0	5-8	36.2	33.2	9	468	4		武井亮		古賀慎一	
10	8	10		アドレ	牝4	55.0		岩部純二	1:10.8	1/2	4-4	36.4	70.9	11	456	8		浅野洋一		ヒダカ・ブリーダーズ・ユニオン	
11	2	2		ピースユニヴァース	牡5	57.0		石川裕紀	1:10.9	3/4	9-10	36.1	15.8	6	500	6		尾形和幸		久米田正平	
