	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200454032201	ダ	右	1300	小雨	不良	11:15	凱君祝1歳!バブもワ		2004-3-22	19	高知	3	(馬齢)		8.0	340.0		3-8	1960.0		8=>3	2700.0																																		
200454032202	ダ	右	1300	小雨	不良	11:45	D4		2004-3-22	19	高知	3	(馬齢)		2.0	470.0		2-3	1120.0		2=>3	1910.0																																		
200454032203	ダ	右	1300	小雨	不良	12:15	吉田一昭盃特別		2004-3-22	19	高知	3	(馬齢)		3.0	1400.0		3-6	4460.0		3=>6	9940.0																																		
200454032204	ダ	右	1400	小雨	不良	12:45	地元の馬がんばれ!特		2004-3-22	19	高知	3	(馬齢)		5.0	170.0		3-5	3280.0		5=>3	4410.0																																		
200454032205	ダ	右	1600	小雨	不良	13:15	景ちゃん卒業記念特別		2004-3-22	19	高知	3	(馬齢)		6.0	130.0		1-6	270.0		6=>1	320.0																																		
200454032206	ダ	右	1600	小雨	不良	13:55	あやばあ89歳おめで		2004-3-22	19	高知	3	(別定)		2.0	1630.0		2-3	3520.0		2=>3	11870.0																																		
200454032207	ダ	右	1400	小雨	不良	14:30	はりまや盃[JRA指 		2004-3-22	19	高知	3	(馬齢)		8.0	240.0		7-8	420.0		8=>7	670.0		(1,10,12),8-(3,7),(2,4)-9,11,5-6	(1,10),12,(8,7)-(2,3),4,9,(5,11)-6	(12,7)-(1,8),10,(2,4,9),5,3-11-6	7,(12,8)-1,4,5,(10,2,9)-(3,11)-6																													
200454032208	ダ	右	1400	小雨	不良	15:10	全日本新人王争覇戦 		2004-3-22	19	高知	3	(馬齢)		5.0	820.0		1-5	4460.0		5=>1	10600.0		(5,12)-(3,7,8),(1,4),(2,10),(6,11)-9	(5,12)-3,(1,7),(4,8),2,(6,10)-11-9	(5,12),(1,7),3,(2,8)-(4,10),(11,6)-9	(1,5),(12,7),3,8,10,(2,4),11,(9,6)																													
200454032209	ダ	右	1400	小雨	不良	15:55	黒船賞[指定交流]	G3	2004-3-22	19	高知	3	(別定)		6.0	340.0		5-6	270.0		6=>5	670.0		6,11-12,(8,10),1,(4,9),(3,5)-7-2	6,11,(8,10,12),1-4,(3,9),5,7-2	6,11,(8,10,12),4,3,(1,5)-7-9-2	6-(5,11),(10,3),4,8-(1,7),12-9-2																													
200454080301	ダ	右	1300	晴	不良	11:20	C6		2004-8-3	7	高知	4	(馬齢)		1.0	320.0		1-2	1920.0		1=>2	2670.0																																		
200454080302	ダ	右	1300	晴	不良	11:50	C5		2004-8-3	7	高知	4	(馬齢)		7.0	370.0		5-7	500.0		7=>5	940.0																																		
200454080303	ダ	右	1300	晴	不良	12:20	E　イ		2004-8-3	7	高知	4	(馬齢)		4.0	240.0		1-4	480.0		4=>1	850.0																																		
200454080304	ダ	右	1300	晴	不良	12:50	C4		2004-8-3	7	高知	4	(馬齢)		8.0	240.0		6-8	670.0		8=>6	1130.0																																		
200454080305	ダ	右	1300	晴	不良	13:20	ギャンブル道場特別		2004-8-3	7	高知	4	(馬齢)		6.0	110.0		3-6	530.0		6=>3	610.0																																		
200454080306	ダ	右	1400	晴	重	13:50	向日葵特別 		2004-8-3	7	高知	4	(馬齢)		8.0	600.0		3-8	920.0		8=>3	1610.0																																		
200454080307	ダ	右	1600	晴	重	14:20	スパイダーマン2特別		2004-8-3	7	高知	4	(馬齢)		10.0	1010.0		8-10	3970.0		10=>8	9250.0																																		
200454080308	ダ	右	1600	晴	重	14:50	高知競馬公式マガジン 		2004-8-3	7	高知	4	(別定)		2.0	120.0		2-6	400.0		2=>6	390.0																																		
