	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200654032001	ダ	右	1300	晴	重	11:10	砂劇場特別		2006-3-20	19	高知	4	(馬齢)		2	130	1	2-5	170	1	2-5	150	1	2-9	580	8	5-9	510	7	2=>5	280	1	2=>5=>9	1150	3	1291083567	1-2,9,10,5,8,3,6,7	1-2-9,5,10-8,3,6,7	2,1-9,8,5,10-6,3,7		
200654032002	ダ	右	1300	晴	重	11:40	香織22歳誕生日特別		2006-3-20	19	高知	4	(馬齢)		3	350	1	3-4	310	1	3-4	250	3	3-8	620	8	4-8	440	6	3=>4	700	2	3=>4=>8	4250	11	8,10,3,6,1,9,2,4,7-5	8,10,3,6,1,9,7,2,4-5	8,3,10,4,1,6,9,7,2-5	3,8-4,1,2,9,6,5,10,7		
200654032003	ダ	右	1300	晴	重	12:10	二十四万石博開幕特別		2006-3-20	19	高知	4	(馬齢)		8	560	4	7-8	280	1	7-8	190	1	6-8	810	12	6-7	490	5	8=>7	820	4	8=>7=>6	5480	16	47105861329	4,7,10,5,8,6-1-3,2-9	4,(7,8),10,5,6-(1,3,2)-9	8-7-5,(10,6)-1,3,4-2,9		
200654032004	ダ	右	1400	晴	重	12:40	千代とおおたぐろ特別		2006-3-20	19	高知	4	(馬齢)		1	570	3	1-3	460	2	1-3	110	1	1-4	2,760	21	3-4	2,760	21	1=>3	1190	6	1=>3=>4	27400	59	12834756	12837465	1-8,3,2-4,7-6,5	3,1-4-8,7,5,2,6		
200654032005	ダ	右	1300	晴	重	13:10	祝HP開設5周年特別		2006-3-20	19	高知	4	(別定)		1	240	1	1-3	880	4	1-3	420	4	1-4	300	3	3-4	440	5	1=>3	1390	5	1=>3=>4	7420	23	45631782	4,3,1,5,6,8,7-2	4,3,1-5-6-8-7-2	1,3,4,5,8-7,6-2		
200654032006	ダ	右	1400	晴	重	13:45	おぱの競馬部屋特別		2006-3-20	19	高知	4	(別定)		5	110	1	5-6	390	2	5-6	190	2	5-7	150	1	6-7	360	6	5=>6	540	2	5=>6=>7	1090	4	654982713	654987213	5,4,6,8,9,7,2-3,1	5,6-7,8,4,9,3,1-2		
200654032007	ダ	右	1600	晴	重	14:20	QVCジャパン特別		2006-3-20	19	高知	4	(別定)		8	270	2	6-8	3510	11	6-8	700	9	8-10	170	1	6-10	940	11	8=>6	3830	12	8=>6=>10	9790	34	8,10,5,6,4,7,3-2-1-9	8,10-5,6,7,4,3-2-1,9	8,10,7,5,6-3,4-2-9,1	8-10,5,6,7,3,4,2-9,1		
200654032008	ダ	右	1400	晴	重	14:55	はりまや盃[JRA指 		2006-3-20	19	高知	4	(馬齢)		5	490	3	4-5	310	2	4-5	240	2	5-7	710	10	4-7	500	6	5=>4	1180	5	5=>4=>7	21040	57	4,5-6,12,3,8,7,10,1,9,11,2	4,5,3,6,12,8,7,9,10,1-11,2	4,5,6,3,8,7,(12,9)-10,1,2,11	5,4-7-8,6,2,9,1,10,3-11,12		
200654032009	ダ	右	1400	晴	重	15:30	全日本新人王争覇戦競 		2006-3-20	19	高知	4	(馬齢)		4	730	3	4-11	2400	6	4-11	800	7	4-9	400	3	9-11	470	5	4=>11	3530	11	4=>11=>9	10860	26	4,(5,9,7),(1,2,3,11),8,12,10-6	4-5,9,7,11,2,1,12,10,8,3-6	4-5,7,9,11,(1,2),12,10-8,6,3	4,7,11,5-9,6,12,1,10,2,8-3		
200654032010	ダ	右	1400	晴	重	16:10	黒船賞	G3	2006-3-20	19	高知	4	(別定)		4	110	1	4-10	1210	5	4-10	370	6	4-7	130	1	7-10	600	9	4=>10	1330	6	4=>10=>7	3370	9	110211647129538	1,10,(4,2),11,6,5,7,9,12,3,8	(4,1),10,2-(6,11)-7,5,9-(3,12,8)	4-10-1-7,2,9,6,5,3,11,12,8		
