	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201536010201	ダ	右	1400	小雪	不良	10:30	3歳B1		2015-1-2	11	水沢	1			1.0	360.0	2.0	1.0	140	2.0	2.0	110	1.0	1-2	300.0	2.0	1-2	120	1.0	1-4	190	4.0	2-4	190	5.0	1=>2	820.0	4.0	1-2-4	380.0	2.0	1=>2=>4	2170.0	10.0	3,2,1,(5,4)	32145	32415	(3,2),1,4=5								
201536010202	ダ	右	1300	小雪	不良	11:05	C2十九組		2015-1-2	11	水沢	1			4.0	100.0	1.0	4.0	100	1.0	5.0	140	2.0	4-5	110.0	1.0	4-5	100	1.0	2-4	130	2.0	2-5	210	6.0	4=>5	140.0	1.0	2-4-5	190.0	1.0	4=>5=>2	360.0	2.0	25143	2,5,1,4-3	(2,5),4,1=3	4,5,2-1=3								
201536010203	ダ	右	1300	小雪	不良	11:40	C2十八組		2015-1-2	11	水沢	1			1.0	450.0	2.0	1.0	120	1.0	6.0	130	2.0	1-6	410.0	2.0	1-6	160	1.0	1-4	190	4.0	4-6	190	4.0	1=>6	830.0	2.0	1-4-6	380.0	1.0	1=>6=>4	1810.0	2.0	(1,6),4,(3,5),2	164532	164235	1,(6,4),2,3,5								
201536010204	ダ	右	1300	曇	不良	12:15	C2十七組		2015-1-2	11	水沢	1			2.0	520.0	2.0	2.0	160	3.0	3.0	100	1.0	2-3	280.0	2.0	2-3	110	1.0	2-4	130	3.0	3-4	120	2.0	2=>3	1210.0	5.0	2-3-4	180.0	1.0	2=>3=>4	2130.0	7.0	4,6,(1,3),2,5	463125	4,(6,3),2,1,5	(4,3),(6,2),5,1								
201536010205	ダ	右	1300	曇	不良	12:50	C2十六組		2015-1-2	11	水沢	1			3.0	150.0	1.0	3.0	100	1.0	6.0	140	2.0	3-6	170.0	1.0	3-6	130	1.0	2-3	150	3.0	2-6	190	5.0	3=>6	280.0	1.0	2-3-6	370.0	3.0	3=>6=>2	720.0	3.0	1,3,2,6,(4,5)	1,3-2,6,4,5	(1,3),2,6-5,4	(1,3),(6,2),(4,5)								
201536010401	ダ	右	1300	曇	不良	10:30	3歳C1二組		2015-1-4	11	水沢	3			7.0	120.0	1.0	7.0	120	1.0	6.0	180	3.0	6-7	290.0	2.0	6-7	150	1.0	4-7	1,020	11.0	4-6	1,510	15.0	7=>6	440.0	2.0	4-6-7	1720.0	6.0	7=>6=>4	4860.0	16.0	3,5,7,(1,6),4	351764	(3,7),5,6,1,4	736514								
201536010402	ダ	右	1300	曇	不良	11:05	3歳C1一組		2015-1-4	11	水沢	3			1.0	100.0	1.0	1.0	100	1.0	8.0	200	5.0	1-8	730.0	4.0	1-8	250	4.0	1-3	110	1.0	3-8	540	9.0	1=>8	740.0	4.0	1-3-8	520.0	3.0	1=>8=>3	1880.0	6.0	4,1,8,3,(6,7),2,5	14836725	1,4,8,(3,6),7,5,2	14836752			3.0	100.0	2.0			
201536010403	ダ	右	1400	曇	不良	11:40	C2六組		2015-1-4	11	水沢	3			5.0	320.0	2.0	5.0	120	2.0	4.0	110	1.0	4-5	150.0	1.0	4-5	130	1.0	2-5	180	3.0	2-4	300	7.0	5=>4	410.0	2.0	2-4-5	370.0	3.0	5=>4=>2	1460.0	6.0	54132	5,4-1,3,2	5,4-2,3,1	54231								
201536011001	ダ	右	850	小雪	不良	10:30	3歳C2二組		2015-1-10	11	水沢	4			4.0	110.0	1.0	4.0	100	1.0	3.0	270	3.0	3-4	470.0	3.0	3-4	290	5.0	4-6	200	2.0	3-6	560	10.0	4=>3	580.0	4.0	3-4-6	770.0	4.0	4=>3=>6	1560.0	4.0			4768532	4-6,3,5,8,2,7								
201536011002	ダ	右	850	小雪	不良	11:05	3歳C2一組		2015-1-10	11	水沢	4			1.0	120.0	1.0	1.0	100	1.0	8.0	100	2.0	1-8	110.0	1.0	1-8	100	1.0	1-2	220	3.0	2-8	240	4.0	1=>8	160.0	1.0	1-2-8	260.0	1.0	1=>8=>2	600.0	1.0			8,1,4,2,7,3,(5,6)	8,1,4,2,7,3,(5,6)			2.0	130.0	3.0			
201536011003	ダ	右	1300	小雪	不良	11:40	C2十七組		2015-1-10	11	水沢	4			4.0	120.0	1.0	4.0	100	1.0	5.0	140	4.0	4-5	360.0	2.0	4-5	220	3.0	4-7	150	1.0	5-7	400	6.0	4=>5	510.0	3.0	4-5-7	400.0	1.0	4=>5=>7	1070.0	3.0	4,5,8,2,(3,9),6,7,1	4,5,(2,8),3,9,6,7,1	458926731	452869731			7.0	110.0	2.0	4-5	420.0	2.0
201536011004	ダ	右	1300	小雪	不良	12:15	C2十六組		2015-1-10	11	水沢	4			8.0	160.0	1.0	8.0	110	1.0	7.0	220	5.0	7-8	730.0	4.0	7-8	300	4.0	8-9	190	2.0	7-9	800	12.0	8=>7	1030.0	5.0	7-8-9	1240.0	6.0	8=>7=>9	3830.0	13.0	918756324	917853624	(9,1),7,8,5,3,6,4,2	(9,7,8),1,5,6,3,4,2			9.0	200.0	4.0	7-8	560.0	3.0
201536011005	ダ	右	1300	小雪	不良	12:50	C2十五組		2015-1-10	11	水沢	4			9.0	1380.0	4.0	9.0	120	3.0	7.0	110	2.0	7-9	1960.0	8.0	7-9	520	8.0	1-9	290	4.0	1-7	150	1.0	9=>7	5210.0	17.0	1-7-9	680.0	2.0	9=>7=>1	13280.0	46.0	791856243	791856423	7,9,6,1,8,5,4,(2,3)	791685432			1.0	100.0	1.0	7-8	810.0	5.0
201536011006	ダ	右	1300	小雪	不良	13:25	C2十四組		2015-1-10	11	水沢	4			1.0	140.0	1.0	1.0	100	1.0	7.0	220	6.0	1-7	700.0	4.0	1-7	290	4.0	1-8	240	3.0	7-8	690	11.0	1=>7	1070.0	4.0	1-7-8	1280.0	7.0	1=>7=>8	4070.0	15.0	831794652	831749562	831794562	831749562			8.0	140.0	2.0	1-7	930.0	5.0
201536011007	ダ	右	1300	小雪	不良	14:00	蘇民祭レースC2十三		2015-1-10	11	水沢	4			3.0	100.0	1.0	3.0	100	1.0	2.0	200	4.0	2-3	780.0	3.0	2-3	250	3.0	3-5	430	4.0	2-5	1,400	13.0	3=>2	930.0	4.0	2-3-5	2820.0	9.0	3=>2=>5	4940.0	15.0	9,3,(2,6),5,1,7,8,4	932561748	9,3,(2,5),6,1,7,4,8	392561748			5.0	400.0	5.0	2-3	920.0	3.0
