着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	3	3	---	1.0	1992104877	牡	5	434.0	0.0	55	104.5	0			05222	[他] 鈴木喜雄	00nan	150.0	199645012210
2	7	7	---	2.0	1991109283	牡	6	458.0	7.0	55	105.2	3			05283	[他] 武井榮一	00nan	60.0	199645012210
3	5	5	---	6.0	1992105819	牝	5	450.0	0.0	53	105.6	2			0一ノ瀬亨	[他] 金井弘司	00nan	37.5	199645012210
4	8	9	---	5.0	1992106196	牡	5	440.0	8.0	55	106.0	2			0田邊陽一	05049	00nan	22.5	199645012210
5	4	4	---	4.0	1992100293	牝	5	450.0	0.0	53	106.2	1			0岩城方元	[他] 山田正実	00nan	15.0	199645012210
6	2	2	---	3.0	1992104398	牡	5	436.0	0.0	55	106.4	1			00817	[他] 岩本亀五	00nan	0.0	199645012210
7	1	1	---	7.0	1991105266	牝	6	429.0	0.0	53	106.6	1			0内田秀一	[他] 佐々木吉	00nan	0.0	199645012210
8	6	6	---	8.0	1991101619	牡	6	448.0	0.0	55	107.3	3			0山野勝也	[他] 村田六郎	00nan	0.0	199645012210
9	8	8	---	9.0	1990104343	牡	7	514.0	0.0	55	109.5	大			0加納龍生	[他] 高城守	00nan	0.0	199645012210
1	3	3	---	1.0	1991107559	牡	6	507.0	0.0	55	131.6	0			00907	05288	00nan	700.0	199645012211
2	5	5	---	2.0	1992107783	牡	5	473.0	0.0	55	131.6	アタマ			0内田秀一	[他] 佐々木吉	00nan	245.0	199645012211
3	6	6	---	5.0	1989101352	牡	8	510.0	0.0	55	131.6	アタマ			00574	05508	00nan	126.0	199645012211
4	2	2	---	6.0	1991103867	牝	6	430.0	0.0	53	131.7	アタマ			05283	[他] 廣野保義	00nan	70.0	199645012211
5	4	4	---	4.0	1991102312	牡	6	472.0	0.0	55	131.9	1			0水久保敏	[他] 金井弘司	00nan	49.0	199645012211
6	7	7	---	8.0	1989106742	牡	8	492.0	3.0	55	133.2	6			00864	[他] 河津政明	00nan	0.0	199645012211
7	1	1	---	3.0	1992105409	牝	5	450.0	0.0	53	134.0	4			00801	[他] 井上宥藏	00nan	0.0	199645012211
8	8	8	---	7.0	1989103265	牡	8	467.0	0.0	55	134.3	1.1/2			0一ノ瀬亨	05393	00nan	0.0	199645012211
1	8	11	---	1.0	1991108460	牡	6	463.0	0.0	55	103.4	0			05283	[他] 武井榮一	00nan	170.0	199645012309
2	1	1	---	4.0	1992101452	牝	5	441.0	0.0	53	103.6	1			00817	[他] 飯島二郎	00nan	68.0	199645012309
3	2	2	---	2.0	1992108014	牡	5	530.0	1.0	55	104.1	2.1/2			00907	00873	00nan	42.5	199645012309
4	4	4	---	3.0	1991102405	牝	6	439.0	0.0	53	104.2	1/2			0高松淳一	[他] 秋山重美	00nan	25.5	199645012309
5	7	9	---	6.0	1991103411	牡	6	472.0	1.0	55	104.4	1			00801	[他] 梅山滿	00nan	17.0	199645012309
6	3	3	---	12.0	1990103747	牝	7	428.0	0.0	53	104.7	1.1/2			0野口睦三	[他] 高橋満夫	00nan	0.0	199645012309
7	5	6	---	5.0	1992104830	牡	5	469.0	0.0	55	104.7	クビ			00967	[他] 今井輝平	00nan	0.0	199645012309
8	6	8	---	9.0	1992107318	牡	5	452.0	0.0	55	104.9	1			0山野勝也	[他] 岩本洋	00nan	0.0	199645012309
9	7	10	---	8.0	1989108251	牡	8	498.0	4.0	55	105.0	クビ			00864	05262	00nan	0.0	199645012309
10	8	12	---	10.0	1990100566	牡	7	472.0	0.0	55	105.0	クビ			05222	[他] 高月由次	00nan	0.0	199645012309
11	6	7	---	7.0	1990103230	牡	7	479.0	0.0	55	105.1	クビ			00863	05049	00nan	0.0	199645012309
12	5	5	---	11.0	1990108149	牡	7	474.0	0.0	55	107.0	9			0田山信則	[他] 井上宥藏	00nan	0.0	199645012309
1	4	4	---	1.0	1991103356	牡	6	494.0	0.0	55	102.0	0			00853	[他] 大和田五	00nan	550.0	199645012312
2	1	1	---	2.0	1988106386	牡	9	474.0	0.0	52	102.8	4			00801	[他] 鳥飼春弥	00nan	192.5	199645012312
3	3	3	---	3.0	1989103928	牡	8	477.0	3.0	53	102.8	クビ			0一ノ瀬亨	[他] 梅山滿	00nan	110.0	199645012312
4	5	5	---	5.0	1992107595	牝	5	448.0	-2.0	52	102.9	3/4			00864	[他] 河津政明	00nan	82.5	199645012312
5	2	2	---	6.0	1989106652	牡	8	511.0	0.0	55	103.2	1.1/2			00863	05213	00nan	55.0	199645012312
6	6	6	---	7.0	1988103765	牡	9	483.0	4.0	52	104.0	4			0田島寿一	[他] 河津政明	00nan	0.0	199645012312
7	7	7	---	4.0	1992100415	牝	5	458.0	0.0	53	105.4	7			05230	05195	00nan	0.0	199645012312
1	4	4	---	3.0	1993102866	牡	4	503.0	0.0	54	56.2	0			00853	[他] 佐々木國	00nan	150.0	199645012402
2	8	10	---	2.0	1993102975	牡	4	458.0	0.0	54	56.5	1.1/2			05230	[他] 中之丸忠	00nan	60.0	199645012402
3	8	9	---	1.0	1993101135	牝	4	480.0	0.0	53	57.6	5			00967	[他] 大和田五	00nan	37.5	199645012402
4	2	2	---	6.0	1993200037	牝	4	404.0	0.0	53	58.1	2.1/2			0佐藤喜良	[他] 杉村勝実	00nan	22.5	199645012402
5	7	8	---	8.0	1993107683	牝	4	424.0	0.0	53	59.0	4			00864	05373	00nan	15.0	199645012402
6	5	5	---	4.0	1993105109	牝	4	476.0	0.0	53	59.3	1.1/2			0田邊陽一	[他] 原三男	00nan	0.0	199645012402
7	6	6	---	10.0	1993102917	牝	4	411.0	0.0	53	59.4	1/2			0佐々木仁	05527	00nan	0.0	199645012402
8	1	1	---	7.0	1993107997	牝	4	440.0	0.0	53	59.5	クビ			0戸川理彩	05195	00nan	0.0	199645012402
9	3	3	---	9.0	1993103331	牡	4	400.0	0.0	54	59.5	クビ			0水久保敏	[他] 金井弘司	00nan	0.0	199645012402
10	7	7	---	5.0	1993107177	牡	4	425.0	0.0	54	59.8	1.1/2			0田島寿一	[他] 鈴木喜雄	00nan	0.0	199645012402
