着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	2	2	---	2	1994102437	牝	4	457.0	10.0	54	101.6	0			05093	5092	00nan	80.0	199741050507
2	3	3	---	1	1994105035	牝	4	464.0	-9.0	54	101.6	アタマ			05063	5082	00nan	26.4	199741050507
3	8	8	---	7	1994106965	牝	4	434.0	-3.0	54	101.9	1.1/2			00392	5151	00nan	8.8	199741050507
4	4	4	---	9	1994103110	牡	4	420.0	-7.0	55	101.9	クビ			00舞木強	5265	00nan	7.2	199741050507
5	5	5	---	5	1994104594	牝	4	398.0	-6.0	54	101.9	ハナ			0渡邉正治	5066	00nan	5.6	199741050507
6	1	1	---	8	1994106185	牡	4	469.0	-1.0	55	102.0	1/2			05219	5243	00nan	0.0	199741050507
7	7	7	---	3	1994100169	牝	4	395.0	0.0	54	103.2	6			05048	5196	00nan	0.0	199741050507
8	6	6	---	6	1994101495	牝	4	392.0	-11.0	55	103.2	クビ			05019	5018	00nan	0.0	199741050507
9	8	9	---	4	1994101035	牡	4	465.0	-3.0	55	105.3	大			05127	5345	00nan	0.0	199741050507
1	6	6	---	5	1993101546	牡	5	427.0	3.0	55	94.1	0			05219	05092	00nan	35.0	199741050508
2	7	7	---	3	1993106479	牝	5	414.0	0.0	54	94.2	クビ			00舞木強	[他] 中島一男	00nan	11.5	199741050508
3	8	8	---	2	1993109538	牝	5	468.0	-2.0	54	94.2	アタマ			05019	05018	00nan	3.8	199741050508
4	1	1	---	1	1993101660	牡	5	482.0	8.0	55	94.4	1			05064	[他] 新井明	00nan	3.1	199741050508
5	5	5	---	8	1993103269	牡	5	441.0	4.0	55	94.4	ハナ			05093	05018	00nan	2.4	199741050508
6	4	4	---	7	1993106681	牝	5	500.0	5.0	54	94.6	1			05127	05345	00nan	0.0	199741050508
7	8	9	---	9	1991103822	牡	7	482.0	5.0	55	95.2	3			05313	[他] 松本桃司	00nan	0.0	199741050508
8	3	3	---	6	1992104454	牝	6	410.0	3.0	54	95.8	3			05070	05207	00nan	0.0	199741050508
9	2	2	---	4	1992106996	牡	6	463.0	5.0	55	97.9	大			05048	05092	00nan	0.0	199741050508
1	4	4	---	1	1993110081	牡	5	499.0	3.0	56	95.9	0			0熊澤重文	00387	00nan	3000.0	199741050509
2	7	9	---	3	1991106876	牡	7	489.0	-3.0	56	96.0	1/2			00663	00253	00nan	1050.0	199741050509
3	3	3	---	2	1992109457	牝	6	473.0	5.0	54	96.2	1			00392	00388	00nan	450.0	199741050509
4	8	11	---	7	1990105697	牡	8	494.0	-14.0	55	96.2	クビ			05000	05027	00nan	330.0	199741050509
5	2	2	---	4	1991102676	牡	7	507.0	3.0	55	96.4	1			05048	00264	00nan	270.0	199741050509
6	6	7	---	6	1991104273	牡	7	459.0	-2.0	55	97.4	5			00863	05063	00nan	0.0	199741050509
7	5	5	---	5	1993106664	牡	5	485.0	3.0	56	97.6	1			05063	05082	00nan	0.0	199741050509
8	7	10	---	8	1992109491	牡	6	456.0	-12.0	56	99.1	7			0渡邉正治	05002	00nan	0.0	199741050509
9	5	6	---	12	1992101439	牡	6	534.0	-3.0	56	99.3	1			05027	[他] 周藤清	00nan	0.0	199741050509
10	6	8	---	9	1990101801	牡	8	476.0	9.0	55	99.3	ハナ			00齊藤誠	[他] 澁谷武久	00nan	0.0	199741050509
11	1	1	---	10	1992103226	牡	6	502.0	-4.0	56	100.5	6			05064	[他] 水野清貴	00nan	0.0	199741050509
12	8	12	---	11	1993102346	セ	5	493.0	0.0	56	100.5	ハナ			05070	05071	00nan	0.0	199741050509
1	6	6	---	2	1994103110	牡	4	430.0	3.0	54	94.9	0			00舞木強	05265	00nan	60.0	199741010408
2	7	8	---	1	1994106185	牡	4	475.0	2.0	54	95.9	5			05093	05243	00nan	19.8	199741010408
3	2	2	---	7	1994102814	牡	4	479.0	9.0	54	96.2	1.1/2			05197	[他] 金田鼎	00nan	6.6	199741010408
4	1	1	---	6	1994101035	牡	4	493.0	-3.0	54	96.4	1			05127	05345	00nan	5.4	199741010408
5	8	9	---	9	1994103579	牝	4	433.0	5.0	54	96.4	アタマ			05207	05210	00nan	4.2	199741010408
6	5	5	---	5	1994104306	セ	4	446.0	-5.0	54	96.6	3/4			05070	[他] 新後閑帥	00nan	0.0	199741010408
7	4	4	---	4	1994104443	牝	4	465.0	-9.0	54	96.7	3/4			05063	05018	00nan	0.0	199741010408
8	7	7	---	3	1994102438	牡	4	517.0	-6.0	54	97.0	1.1/2			05019	05018	00nan	0.0	199741010408
9	8	10	---	10	1994101577	牝	4	447.0	-2.0	54	97.2	1			05172	[他] 内野浩司	00nan	0.0	199741010408
10	3	3	---	8	1994102704	牝	4	427.0	-4.0	54	98.1	4			00392	05066	00nan	0.0	199741010408
1	6	6	---	2	1991105456	牝	7	442.0	10.0	57	99.2	0			05063	05065	00nan	100.0	199741010411
2	8	10	---	3	1991101996	牡	7	485.0	0.0	54	99.2	ハナ			05127	[他] 周藤清	00nan	33.0	199741010411
3	5	5	---	5	1990108317	牝	8	477.0	7.0	55	99.8	3			05197	[他] 金田鼎	00nan	11.0	199741010411
4	7	8	---	7	1991101372	牡	7	444.0	0.0	55	99.9	1/2			05019	05209	00nan	9.0	199741010411
5	7	7	---	4	1991100238	牡	7	469.0	3.0	54	100.0	クビ			05136	[他] 大島美紀	00nan	7.0	199741010411
6	4	4	---	1	1990107837	牡	8	493.0	0.0	55	100.0	ハナ			00392	[他] 澁谷武久	00nan	0.0	199741010411
7	3	3	---	6	1991106597	牡	7	490.0	-5.0	55	100.0	ハナ			0野口眞一	05132	00nan	0.0	199741010411
8	2	2	---	8	1989103624	牡	9	474.0	2.0	55	101.4	7			00965	[他] 澁谷武久	00nan	0.0	199741010411
9	8	9	---	10	1989107692	牡	9	468.0	-6.0	55	101.6	1			0三浦讓二	[他] 水野清貴	00nan	0.0	199741010411
10	1	1	---	9	1991105841	牡	7	479.0	5.0	55	101.9	1.1/2			05207	05066	00nan	0.0	199741010411
1	8	8	---	2	1991104642	牡	7	507.0	-6.0	54	137.5	0			00392	[他] 澁谷武久	00nan	250.0	199741012609
2	1	1	---	3	1992103426	牡	6	514.0	0.0	53	137.5	クビ			05127	05210	00nan	82.5	199741012609
3	7	7	---	5	1993101547	牡	5	525.0	-1.0	53	137.7	1			05019	05018	00nan	27.5	199741012609
4	2	2	---	6	1988100079	牡	10	536.0	6.0	54	137.8	1/2			05048	05132	00nan	22.5	199741012609
5	8	9	---	1	1991105456	牝	7	438.0	-4.0	56	137.9	1/2			05207	05065	00nan	17.5	199741012609
6	4	4	---	4	1991104828	牡	7	454.0	1.0	54	138.5	3			00齊藤誠	[他] 井田莊一	00nan	0.0	199741012609
