	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201153010201	ダ	右	1250	晴	稍重	10:40	「おはようモーニング		2011-1-2	13	福山	1	(馬齢)		4.0	100.0	1.0	4.0	100.0	1.0	2.0	160	4.0	1.0	470.0	5.0	2-4	510.0	3.0	4=>2	570.0	3.0	1-2-4	1620.0	6.0	4=>2=>1	3340.0	11.0	4,6,9,2,3,(1,5),7,8	462935178	462935178	426913578														
201153010202	ダ	右	1250	晴	稍重	11:10	4歳4　条件		2011-1-2	13	福山	1	(馬齢)		9.0	130.0	1.0	9.0	100.0	1.0	3.0	180	5.0	4.0	150.0	3.0	3-9	880.0	4.0	9=>3	910.0	5.0	3-4-9	1150.0	5.0	9=>3=>4	3500.0	13.0	169284735	1,6,9,(2,8),4,7-3,5	196847235	9,1,(8,4),7,3,2,5,6														
201153010203	ダ	右	1250	晴	稍重	11:40	4歳3　条件		2011-1-2	13	福山	1	(馬齢)		1.0	190.0	1.0	1.0	120.0	1.0	9.0	140	2.0	5.0	180.0	4.0	1-9	720.0	3.0	1=>9	1020.0	4.0	1-5-9	1030.0	3.0	1=>9=>5	4200.0	12.0	1,5,6,4,8,9,(2,3),10,7	15648923107	1,5,4,8,(6,9),2,3,10,7	14598632710														
201153010204	ダ	右	1250	晴	稍重	12:10	C　10		2011-1-2	13	福山	1	(馬齢)		1.0	120.0	1.0	1.0	110.0	1.0	5.0	210	4.0	2.0	290.0	6.0	1-5	2970.0	7.0	1=>5	2400.0	6.0	1-2-5	14320.0	18.0	1=>5=>2	42070.0	53.0	1,(4,7),3-2,5,8,6	1,7,(3,4),2,5,6,8	1,7,3,4,(2,5),(6,8)	15372468														
201153010205	ダ	右	1250	晴	稍重	12:45	福山・高知連携高杉晋		2011-1-2	13	福山	1	(馬齢)		4.0	100.0	1.0	4.0	100.0	1.0	6.0	160	3.0	3.0	190.0	5.0	4-6	360.0	1.0	4=>6	420.0	1.0	3-4-6	1100.0	5.0	4=>6=>3	1900.0	8.0	45368271	4,(3,5),6,8,2,7,1	4,3,5,6,8,7,(2,1)	4,3,6,5,(8,7),1,2														
201153010206	ダ	右	1130	晴	稍重	13:25	C8		2011-1-2	13	福山	1	(馬齢)		3.0	110.0	1.0	3.0	100.0	1.0	8.0	170	5.0	4.0	150.0	2.0	3-8	790.0	4.0	3=>8	820.0	4.0	3-4-8	1350.0	7.0	3=>8=>4	3930.0	15.0	358429671	354892671	3,(5,8),4,9,6,2,(1,7)	384659217														
201153010207	ダ	右	1250	晴	稍重	14:00	C7		2011-1-2	13	福山	1	(馬齢)		4.0	170.0	1.0	4.0	100.0	2.0	2.0	100	1.0	1.0	170.0	4.0	2-4	700.0	2.0	4=>2	720.0	3.0	1-2-4	540.0	1.0	4=>2=>1	2180.0	5.0	16387245	16387254	16237584	16237458														
201153010208	ダ	右	1600	晴	稍重	14:35	4歳2　条件		2011-1-2	13	福山	1	(馬齢)		3.0	120.0	1.0	3.0	100.0	1.0	7.0	130	2.0	4.0	280.0	7.0	3-7	220.0	1.0	3=>7	330.0	1.0	3-4-7	820.0	2.0	3=>7=>4	1650.0	4.0	1,3,4,2,7,(5,6),8,9	314726589	347168259	3,7,4,(6,8),(1,2),9,5														
201153010209	ダ	右	1600	晴	稍重	15:10	福山・高知連携高杉晋		2011-1-2	13	福山	1	(馬齢)		5.0	1100.0	5.0	5.0	400.0	6.0	4.0	240	3.0	10.0	100.0	1.0	4-5	3310.0	11.0	5=>4	9480.0	21.0	4-5-10	860.0	5.0	5=>4=>10	20680.0	54.0	3,5,6,(7,10),2,4,1,9	3,5,2,6,4,(7,10),1,9	3542106719	5341027169														
201153011001	ダ	右	1250	晴	良	10:50	「おはようモーニング		2011-1-10	14	福山	1	(馬齢)		1.0	100.0	1.0	1.0	100.0	1.0	5.0	130	2.0	7.0	160.0	4.0	1-5	250.0	1.0	1=>5	280.0	1.0	1-5-7	420.0	1.0	1=>5=>7	660.0	1.0	12345671098	12435710698	12435710896	1,4,2,7,(3,5),10,9,8-6														
