着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	3	3	---	5	1994501173	牝	6	396.0	-6.0	54.0	90.6	0			a0053	a0064	x009f4	16.0	199957022801
2	7	7	---	1	1996500970	牝	4	388.0	-2.0	54.0	90.7	1/2			05102	a0064	x01d4a	5.6	199957022801
3	4	4	---	3	1996500880	牡	4	400.0	0.0	55.0	90.9	1			a0052	a0068	x007f0	2.1	199957022801
4	5	5	---	6	1995501438	牡	5	476.0	-4.0	56.0	91.0	クビ			05224	a0066	839004	1.1	199957022801
5	6	6	---	3	1996501145	牝	4	414.0	-2.0	54.0	91.4	2			05330	a0067	x001b7	0.0	199957022801
6	1	1	---	1	1996501757	牝	4	430.0	2.0	51.0	91.6	1			05278	05112	625006	0.0	199957022801
7	2	2	---	7	1996502018	牝	4	400.0	-12.0	54.0	93.1	7			a0051	a0064	x001b0	0.0	199957022801
1	2	2	---	2	1994500966	牝	6	426.0	4.0	52.0	87.1	0			05211	a0062	x0050c	16.0	199957022802
2	5	5	---	3	1995500326	牡	5	460.0	-2.0	56.0	87.5	2			05102	05334	x0187a	5.6	199957022802
3	8	8	---	5	1995501244	牡	5	406.0	-4.0	56.0	87.6	1/2			05350	a01c5	x004a1	2.1	199957022802
4	7	7	---	6	1993501560	牡	7	420.0	2.0	56.0	88.5	4			05224	a0067	x001aa	1.1	199957022802
5	6	6	---	1	1992502211	牡	8	512.0	0.0	56.0	88.7	1			05330	a01c5	x001b7	0.0	199957022802
6	4	4	---	4	1995501162	牡	5	450.0	-2.0	56.0	89.0	1.1/2			05286	05107	431007	0.0	199957022802
7	1	1	---	7	1994500183	牝	6	408.0	-6.0	51.0	89.2	1			05278	05334	948007	0.0	199957022802
8	3	3	---	7	1996500901	牡	4	458.0	20.0	55.0	91.0	9			05090	00885	x01591	0.0	199957022802
1	3	3	---	2	1995101843	牝	5	408.0	-6.0	54.0	87.0	0			05102	a0066	x00512	16.0	199957022803
2	8	9	---	3	1996106503	セ	4	436.0	4.0	55.0	87.1	1/2			05330	00885	x01152	5.6	199957022803
3	7	7	---	4	1995100584	牡	5	450.0	-16.0	56.0	87.1	アタマ			05276	05278	130008	2.1	199957022803
4	2	2	---	8	1996102800	牝	4	382.0	-4.0	54.0	87.9	4			05224	00885	151007	1.1	199957022803
5	1	1	---	1	1996103731	牡	4	446.0	-2.0	55.0	87.9	アタマ			a0051	a0061	x00509	0.0	199957022803
6	4	4	---	9	1996107557	牡	4	478.0	12.0	53.0	89.2	6			05211	a0062	x00068	0.0	199957022803
7	5	5	---	5	1995100192	牝	5	450.0	-2.0	54.0	89.9	3			05273	05278	x001a8	0.0	199957022803
8	6	6	---	7	1995107204	牡	5	536.0	16.0	56.0	90.4	2.1/2			05286	a0063	x011e5	0.0	199957022803
9	8	8	---	5	1995109017	セ	5	438.0	2.0	56.0	90.9	2.1/2			a0053	a0061	043004	0.0	199957022803
1	6	6	---	1	1995107702	牡	5	484.0	0.0	56.0	86.5	0			05330	a01c5	x007b2	16.0	199957022804
2	3	3	---	3	1995101594	牝	5	400.0	-8.0	54.0	87.3	4			05286	05343	582006	5.6	199957022804
3	8	8	---	6	1995100780	牝	5	420.0	-4.0	54.0	87.8	2.1/2			05276	a0062	x001b1	2.1	199957022804
4	5	5	---	2	1995108037	牡	5	482.0	-4.0	56.0	88.0	1			05102	a0064	144008	1.1	199957022804
5	8	9	---	8	1994108159	牡	6	450.0	-4.0	56.0	88.3	1.1/2			a0053	05334	948007	0.0	199957022804
6	1	1	---	4	1995101534	牝	5	430.0	-6.0	54.0	88.5	1			05224	05278	x001a8	0.0	199957022804
7	2	2	---	6	1994103412	牝	6	386.0	0.0	54.0	88.7	1			05350	05107	431007	0.0	199957022804
8	4	4	---	8	1994200070	牝	6	442.0	2.0	51.0	88.7	アタマ			05278	05334	x001a4	0.0	199957022804
9	7	7	---	5	1996109226	牡	4	446.0	0.0	55.0	89.4	3			05273	05334	948007	0.0	199957022804
1	2	2	---	1	1995107692	牝	5	408.0	2.0	54.0	86.3	0			05224	05333	349002	16.0	199957022805
2	3	3	---	7	1994106285	牡	6	452.0	-2.0	56.0	86.4	1/2			a0052	05107	975002	5.6	199957022805
3	7	7	---	4	1990109018	牡	10	476.0	-2.0	56.0	86.6	1			05273	05107	431007	2.1	199957022805
4	1	1	---	2	1994108009	牡	6	508.0	2.0	56.0	86.8	1			05330	a01c5	x01d4b	1.1	199957022805
5	8	8	---	6	1993106540	牡	7	426.0	-4.0	54.0	87.4	3			05211	a0062	x00500	0.0	199957022805
6	6	6	---	7	1994102273	牝	6	450.0	-4.0	54.0	87.8	2			a0053	05343	106009	0.0	199957022805
7	8	9	---	4	1994109715	牡	6	478.0	-2.0	56.0	87.9	1/2			05286	a0063	x011e5	0.0	199957022805
8	4	4	---	2	1995106572	牝	5	412.0	-4.0	54.0	88.0	1/2			05350	05333	x011b8	0.0	199957022805
9	5	5	---	9	1993109759	牡	7	506.0	-4.0	56.0	88.9	4			a0051	a0063	x011e5	0.0	199957022805
1	1	1	---	1	1995106105	牡	5	438.0	0.0	56.0	86.1	0			05273	00885	151007	16.0	199957022806
