	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200239012101	ダ	右	1400	雨	重	10:50	C5イ		2002-1-21	4	足利	6																																								1,7,(4,10),9,2,3,8,5,6	1104329867.0			
200239012102	ダ	右	1400	雨	重	11:20	C4ロ		2002-1-21	4	足利	6																																								57682910143.0	57268104913.0			
200239012103	ダ	右	1400	雨	重	11:50	C4イ		2002-1-21	4	足利	6																																								81019627453	(8,10),1,(2,6),9,(4,7,5),3			
200239030201	ダ	右	1400	曇	良	10:50	C4ホ		2002-3-2	5	足利	4																																								11028596473	1,10,8,4,9,2,5,6,(3,7)			
200239030202	ダ	右	1400	曇	良	11:20	3歳		2002-3-2	5	足利	4																																								1,3,7,(2,5),9,6,8,4-10	1,3,7,5,2,(6,9),8,4,10			
200239030203	ダ	右	1400	曇	良	11:50	C4ニ		2002-3-2	5	足利	4																																								7,8,(9,10),5,6,(2,1),4,3	78951016423			
200239030204	ダ	右	1400	曇	良	12:20	3歳		2002-3-2	5	足利	4																																								57193108264	5,7,1,9,3,2,10,(6,4),8			
200239030205	ダ	右	1300	曇	良	12:50	C5ホ		2002-3-2	5	足利	4																																								3,9,1,8,10,5,(2,6),7,4	(3,9),10,5,6,2,1,7,4,8			
200239030206	ダ	右	1400	曇	良	13:20	C2ハ		2002-3-2	5	足利	4																																								28791106435.0	28191067543.0			
200239030207	ダ	右	1400	曇	良	13:50	C3　選抜		2002-3-2	5	足利	4																																								10,9,5,8,6,(2,4),7,1,3	10,(5,9,8),2,6,4,3,7,1			
200239030208	ダ	右	1800	曇	良	14:20	雷神賞 		2002-3-2	5	足利	4																																								87951062134	(8,7),9,5,(6,1),10,2,3,4			
200239030209	ダ	右	1800	曇	良	14:50	渡良瀬特別 		2002-3-2	5	足利	4																																								3,5,7,4,9,1,(2,6),10,8	3,5,7,4,6,2,9,1,(10,8)			
200239051801	ダ	右	1400	雨	不良	10:50	3歳		2002-5-18	1	足利	3																																								10981632457.0	98102316457.0			
200239051802	ダ	右	1400	曇	不良	11:20	C5ニ		2002-5-18	1	足利	3																																								68324175109.0	63824179510.0			
200239051803	ダ	右	1300	曇	不良	11:50	C5ホ		2002-5-18	1	足利	3																																								79486132105.0	78943612510.0			
200239051804	ダ	右	1300	曇	不良	12:20	C4ホ		2002-5-18	1	足利	3																																								34851721069	3,4,5,(7,8),1,2,9,6,10			
200239051805	ダ	右	1400	曇	不良	12:50	3歳		2002-5-18	1	足利	3																																								35619102847.0	35691421087.0			
200239051806	ダ	右	1400	曇	不良	13:25	C2ロ		2002-5-18	1	足利	3																																								10482957613	4,10,8,5,2,(7,9),3,6,1			
200239051807	ダ	右	1400	曇	不良	14:00	C3　選抜		2002-5-18	1	足利	3																																								56210384791.0	56821034917.0			
200239051808	ダ	右	1800	曇	不良	14:35	風神賞 		2002-5-18	1	足利	3																																								8,(1,7),(4,9),3,5,6,2,10	(8,7),9,4,2,5,3,1,6,10			
200239051809	ダ	右	1800	曇	不良	15:10	メイプル特別 		2002-5-18	1	足利	3																																								486912375.0	648392157.0			
200239081401	ダ	右	1400	曇	良	11:10	C5ハ		2002-8-14	2	足利	5																																								1,4,2,3,(6,8,7),5	1,4,2,(3,8),6,7,5			
200239081402	ダ	右	1400	曇	良	11:40	C3イ		2002-8-14	2	足利	5																																								2,8,4,5,(7,6),1,9,3	2,8,5,4,7,6,1,9-3			
200239081403	ダ	右	1400	晴	良	12:10	3歳		2002-8-14	2	足利	5																																								452319678	4,5,(3,1),2,9,6,7-8			
200239081404	ダ	右	1300	晴	良	12:40	C5ニ		2002-8-14	2	足利	5																																								921753846	(9,2),1,5,7,3,4-(8,6)			
200239081405	ダ	右	1300	晴	良	13:10	C4ニ		2002-8-14	2	足利	5																																								2,6,(1,7),5,4,3,9,8	(2,6),7,(1,5),8,(3,4),9			
200239081406	ダ	右	1400	晴	良	13:45	3歳		2002-8-14	2	足利	5																																								1,3,(2,8),5,9,6,(10,4),7	1,8,(5,3),2,9,6,10,4,7			
