	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200230041001	ダ	右	1000	晴	良	10:40	2歳　新馬		2002-4-10	1	門別	1	(規定)																																											
200230041002	ダ	右	1200	晴	良	11:10	3歳　条件		2002-4-10	1	門別	1	(規定)																																											
200230041003	ダ	右	1200	晴	良	11:40	3歳　条件		2002-4-10	1	門別	1	(規定)																																											
200230041004	ダ	右	1200	晴	良	12:10	D2　ー3組		2002-4-10	1	門別	1	50万円以下	(規定)																																										
200230041005	ダ	右	1700	晴	良	12:55	D2　ー2組		2002-4-10	1	門別	1	50万円以下	(規定)																																										
200230041006	ダ	右	1000	晴	良	13:25	フレッシュチャレンジ		2002-4-10	1	門別	1	(規定)																																											
200230041007	ダ	右	1000	晴	良	13:55	フレッシュチャレンジ		2002-4-10	1	門別	1	(規定)																																											
200230041008	ダ	右	1000	晴	良	14:25	フレッシュチャレンジ		2002-4-10	1	門別	1	牝(規定)																																											
200230041009	ダ	右	1800	晴	良	15:00	門別ファンクラブ1特 		2002-4-10	1	門別	1	(別定)																																											
200230041010	ダ	右	1800	晴	良	15:40	リーディングジョッキ 		2002-4-10	1	門別	1	200万円以下	(規定)																																										
200230041011	ダ	右	1700	晴	良	16:30	3歳　条件		2002-4-10	1	門別	1	100万円以下	(規定)																																										
200230041101	ダ	右	1000	晴	良	11:20	3歳　条件		2002-4-11	1	門別	2	(規定)																																											
200230041102	ダ	右	1000	晴	良	11:50	3歳　条件		2002-4-11	1	門別	2	(規定)																																											
200230041103	ダ	右	1200	晴	良	12:20	3歳　条件		2002-4-11	1	門別	2	(規定)																																											
200230041104	ダ	右	1200	晴	良	12:55	D2　ー1組		2002-4-11	1	門別	2	50万円以下	(規定)																																										
200230041105	ダ	右	1700	晴	良	13:25	B2　ー1組		2002-4-11	1	門別	2	300万円以下	(別定)																																										
200230041106	ダ	右	1000	晴	良	13:55	フレッシュチャレンジ		2002-4-11	1	門別	2	(規定)																																											
200230041107	ダ	右	1000	晴	良	14:25	フレッシュチャレンジ		2002-4-11	1	門別	2	(規定)																																											
200230041108	ダ	右	1700	晴	良	14:55	D1　ー1組		2002-4-11	1	門別	2	100万円以下	(別定)																																										
200230041109	ダ	右	1700	晴	良	15:30	福満特別 		2002-4-11	1	門別	2	200万円以下	(別定)																																										
200230041110	ダ	右	1800	晴	良	16:05	マーベラスサンデー賞 		2002-4-11	1	門別	2	(馬齢)																																											
200230041111	ダ	右	1800	晴	良	16:35	勇払特別 		2002-4-11	1	門別	2	500万円以下	(別定)																																										
200230041801	ダ	右	1000	晴	重	11:10	3歳　条件		2002-4-18	1	門別	4	(規定)																																											
200230041802	ダ	右	1700	晴	重	11:40	3歳　条件		2002-4-18	1	門別	4	(規定)																																											
200230041803	ダ	右	1000	晴	重	12:10	3歳　条件		2002-4-18	1	門別	4	(規定)																																											
200230041804	ダ	右	1200	晴	重	12:40	3歳　条件		2002-4-18	1	門別	4	100万円以下	(規定)																																										
200230041805	ダ	右	1000	晴	重	13:15	フレッシュチャレンジ		2002-4-18	1	門別	4	(規定)																																											
200230041806	ダ	右	1200	晴	稍重	13:45	フレッシュチャレンジ		2002-4-18	1	門別	4	(規定)																																											
200230041807	ダ	右	1700	晴	稍重	14:15	D1　ー3組		2002-4-18	1	門別	4	100万円以下	(規定)																																										
200230041808	ダ	右	1000	晴	稍重	14:45	D1　ー3組		2002-4-18	1	門別	4	100万円以下	(規定)																																										
200230041809	ダ	右	1700	晴	稍重	15:20	D1　ー2組		2002-4-18	1	門別	4	100万円以下	(規定)																																										
200230041810	ダ	右	1800	晴	稍重	15:55	富浜特別 		2002-4-18	1	門別	4	500万円以下	(規定)																																										
200230091101	ダ	右	1200	晴	良	10:40	2歳　未勝利		2002-9-11	2	門別	1	(規定)																																											
200230091102	ダ	右	1200	晴	良	11:10	2歳　未勝利		2002-9-11	2	門別	1	(規定)																																											
200230091103	ダ	右	1700	晴	良	11:40	D2　ー5組		2002-9-11	2	門別	1	50万円以下	(規定)																																										
200230091104	ダ	右	1000	晴	良	12:10	2歳　未勝利		2002-9-11	2	門別	1	(規定)																																											
200230091105	ダ	右	1200	晴	良	12:40	北海道馬主会会長賞イ		2002-9-11	2	門別	1	(規定)																																											
200230091106	ダ	右	1700	晴	良	13:15	D1　ー4組		2002-9-11	2	門別	1	100万円以下	(規定)																																										
