	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201708010101	ダ	右	1800	晴	良	10:10	3歳未勝利		2017-1-5	1	京都	1	3歳未勝利	(馬齢)	4	5570	9	4	870	9	6	200	3	11.0	110	1.0	2-3	15100.0	21.0	4-6	19910	32	4-6	3,710	31	4-11	2,100	23	6-11	310	2	4=>6	62440	77	4-6-11	14080	37	4=>6=>11	189310	371	2,6,16(1,12,14,15)-11,3,13,5-8-7,9-10,4	2,6,16(1,12,14)(11,15)3(5,13)=8-7,9-(4,10)	(*2,6)(12,16)(1,14)11,3(13,15)5-8,7,4,9-10	(*2,6)16(1,12,11)(3,13)(15,14)5(8,4)-7-9-10	12.5 - 11.3 - 12.8 - 12.9 - 13.2 - 13.2 - 13.3 - 13.0 - 12.3	12.5 - 23.8 - 36.6 - 49.5 - 62.7 - 75.9 - 89.2 - 102.2 - 114.5 (36.6-38.6)
201708010102	ダ	右	1200	晴	良	10:40	3歳未勝利		2017-1-5	1	京都	1	3歳未勝利	(馬齢)	11	600	2	11	180	4	10	280	5	4.0	130	1.0	5-6	3100.0	15.0	10-11	3080	12	10-11	960	10	4-11	390	3	4-10	710	6	11=>10	5220	20	4-10-11	2810	7	11=>10=>4	19400	51			10,11,13(2,4,14)5(9,15)(1,7,16)12-(6,8)3	(*10,11)(2,4,13)14,5,15-1(9,7)(12,6,16)-8-3	12.4 - 11.3 - 11.7 - 12.2 - 12.2 - 12.5	12.4 - 23.7 - 35.4 - 47.6 - 59.8 - 72.3 (35.4-36.9)
201708010103	ダ	右	1800	晴	良	11:10	3歳500万下		2017-1-5	1	京都	1	3歳500万下	(混)(馬齢)	9	350	1	9	130	1	7	140	2	11.0	160	3.0	5-6	1120.0	5.0	7-9	1150	3	7-9	330	2	9-11	290	1	7-11	510	6	9=>7	2100	4	7-9-11	1400	2	9=>7=>11	7640	11	(*1,6)(3,10)11,2(8,9)4,5-(13,12)-7	1,6(3,10)11,2,9(4,8)5-(13,12)-7	(1,*6,10)11(3,9)4(2,7)5(13,12)8	(*6,10)(11,9)(1,3,4,7)2(13,5)12-8	12.6 - 11.4 - 12.5 - 13.0 - 12.8 - 12.6 - 12.6 - 12.6 - 12.4	12.6 - 24.0 - 36.5 - 49.5 - 62.3 - 74.9 - 87.5 - 100.1 - 112.5 (36.5-37.6)
201708010104	ダ	右	1800	晴	良	11:40	4歳以上500万下		2017-1-5	1	京都	1	4歳以上500万下	(混)(定量)	13	180	1	13	110	1	12	200	3	6.0	320	7.0	7-7	780.0	2.0	12-13	770	2	12-13	360	2	6-13	610	7	6-12	2,410	23	13=>12	1020	2	6-12-13	4630	13	13=>12=>6	10540	29	(*12,13)(14,15)-4,10(11,9)5,6,3(7,8)-1-2	12,13(14,15)4,10,9(5,11)6,3,7,8,1-2	12(13,14)15(4,10)(11,9)5(3,6)(1,7,2)8	12,13,14(4,10)(11,15,6)(3,9)5(1,7,2)-8	12.4 - 11.2 - 13.0 - 12.5 - 12.6 - 12.9 - 12.8 - 12.4 - 12.6	12.4 - 23.6 - 36.6 - 49.1 - 61.7 - 74.6 - 87.4 - 99.8 - 112.4 (36.6-37.8)
201708010105	芝	右	2200	晴	良	12:30	3歳未勝利		2017-1-5	1	京都	1	3歳未勝利	(混)(馬齢)	4	360	2	4	140	2	9	170	3	12.0	110	1.0	2-5	750.0	3.0	4-9	1180	4	4-9	410	5	4-12	210	1	9-12	300	2	4=>9	2010	6	4-9-12	820	1	4=>9=>12	5340	6	7-11,3(10,16)6,13,9,12,4,14(2,8,5)15-1	7-(3,11)16(6,10)13-(9,12)(4,14)(2,5)8,15-1	7,16(3,13)8,5(6,11)(10,12)(4,9,14)15-2,1	7(16,13)3(5,8)(6,4,12)(14,15)-(2,9)10,1-11	12.4 - 10.9 - 12.3 - 12.3 - 12.5 - 12.8 - 13.0 - 12.5 - 12.8 - 11.7 - 12.0	12.4 - 23.3 - 35.6 - 47.9 - 60.4 - 73.2 - 86.2 - 98.7 - 111.5 - 123.2 - 135.2 (35.6-36.5)
201708010106	芝	右	2000	晴	良	13:01	3歳新馬		2017-1-5	1	京都	1	3歳新馬	(混)(馬齢)	2	500	3	2	130	3	9	110	2	6.0	110	1.0	2-8	1090.0	5.0	2-9	930	3	2-9	280	3	2-6	190	2	6-9	150	1	2=>9	2170	9	2-6-9	380	1	2=>9=>6	4220	14	(*5,10)7(2,4)6(1,3,9)8	(*5,10)7(2,4)(1,6,9)(3,8)	(*5,10)7(2,4)(6,9)(1,3,8)	(*5,10)(7,4)(2,6,9)(1,3,8)	13.2 - 11.9 - 13.8 - 13.3 - 12.6 - 13.0 - 12.5 - 12.2 - 11.8 - 11.3	13.2 - 25.1 - 38.9 - 52.2 - 64.8 - 77.8 - 90.3 - 102.5 - 114.3 - 125.6 (38.9-35.3)
201708010107	ダ	右	1200	晴	良	13:30	4歳以上500万下		2017-1-5	1	京都	1	4歳以上500万下	(定量)	11	640	3	11	220	3	5	340	6	14.0	220	2.0	3-6	1520.0	6.0	5-11	3700	12	5-11	1,150	9	11-14	710	3	5-14	1,340	14	11=>5	6480	20	5-11-14	6950	17	11=>5=>14	48220	133			5(13,14)(6,8,12)9(7,11,16)-15-4,3(2,10)-1	(*5,13)14(6,8,12)9(7,11,16)15,4(2,3,10)1	12.5 - 11.0 - 11.7 - 12.5 - 12.2 - 12.5	12.5 - 23.5 - 35.2 - 47.7 - 59.9 - 72.4 (35.2-37.2)
201708010108	ダ	右	1800	晴	良	14:00	4歳以上1000万下		2017-1-5	1	京都	1	4歳以上1000万下	(混)(定量)	4	2610	10	4	440	9	8	130	1	5.0	140	2.0	3-5	800.0	2.0	4-8	3720	14	4-8	1,020	14	4-5	1,240	19	5-8	210	1	4=>8	8950	33	4-5-8	3370	9	4=>8=>5	34340	95	1(2,7)3-(8,5)6,13,12,4,11,10,14,9	1,2(3,7)8(6,5)13-12,4(10,11)-14,9	(*1,2)(7,8)(3,6)5,13(4,10,12)11(9,14)	1(2,7,8)(3,6,5)(4,13,10,12)11(9,14)	12.2 - 11.2 - 12.7 - 13.1 - 12.9 - 12.9 - 12.8 - 12.5 - 12.5	12.2 - 23.4 - 36.1 - 49.2 - 62.1 - 75.0 - 87.8 - 100.3 - 112.8 (36.1-37.8)
201708010109	ダ	右	1900	晴	良	14:35	初夢ステークス 		2017-1-5	1	京都	1	4歳以上1600万下	(混)(定量)	5	160	1	5	110	1	10	140	2	14.0	280	6.0	3-6	520.0	2.0	5-10	520	2	5-10	260	2	5-14	600	6	10-14	970	10	5=>10	600	2	5-10-14	1870	5	5=>10=>14	4360	9	10-14,7(12,15)6,3,4(1,8)(13,5)11,9-2	10,14(7,15)12-6(3,4)(1,8)5,13(11,9)-2	(*10,14)(7,15)(12,6,4,5)(1,3,8)(11,9)13,2	(*10,14)(15,5)(7,12,6)4,3(1,11)9(2,8)13	7.0 - 11.4 - 12.2 - 13.4 - 12.8 - 12.9 - 12.4 - 12.0 - 12.0 - 12.1	7.0 - 18.4 - 30.6 - 44.0 - 56.8 - 69.7 - 82.1 - 94.1 - 106.1 - 118.2 (30.6-36.1)
201708010110	芝	右	3000	晴	良	15:10	万葉ステークス 		2017-1-5	1	京都	1	4歳以上オープン	(国際)(ハンデ)	10	510	2	10	180	2	7	390	7	3.0	220	3.0	6-7	1470.0	6.0	7-10	5060	18	7-10	1,230	15	3-10	700	7	3-7	1,910	25	10=>7	9160	33	3-7-10	9600	34	10=>7=>3	59290	207	(*4,5)11(12,10)-9,8(7,1)-2-(6,3)	(4,*5)11(12,10)-9(8,1)7-2-(6,3)	5(4,11)10(12,2)9(8,3)(7,1)6	(*5,11)(10,2,9)(4,1,3)(8,7)12,6	12.8 - 11.9 - 12.4 - 12.8 - 12.8 - 12.1 - 13.1 - 12.3 - 11.9 - 12.2 - 12.1 - 12.1 - 12.6 - 12.2 - 12.8	12.8 - 24.7 - 37.1 - 49.9 - 62.7 - 74.8 - 87.9 - 100.2 - 112.1 - 124.3 - 136.4 - 148.5 - 161.1 - 173.3 - 186.1 (37.1-37.6)
