	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201701010101	芝	右	1800	晴	良	09:55	2歳未勝利		2017-7-29	1	札幌	1	2歳未勝利	(混)[指](馬齢)	3	300	2	3	130	2	5	110	1	3-5	160	1	3-5	110	1	3-7	160	3	5-7	130	2	3=>5	360	2	3-5-7	160	1	3=>5=>7	810	3	3,7(2,6)5(1,4)	3,7(2,6)5(1,4)	(*3,7)(2,6)(5,4)1	(*3,7)5,2(4,1)6	12.9 - 12.0 - 12.5 - 12.4 - 12.2 - 12.1 - 11.9 - 11.3 - 12.1	12.9 - 24.9 - 37.4 - 49.8 - 62.0 - 74.1 - 86.0 - 97.3 - 109.4 (37.4-35.3)						
201701010102	ダ	右	1000	晴	良	10:20	3歳未勝利		2017-7-29	1	札幌	1	3歳未勝利	牝[指](馬齢)	10	300	1	10	120	1	12	190	4	10-12	980	3	10-12	430	4	5-10	240	1	5-12	770	11	10=>12	1880	5	5-10-12	1440	3	10=>12=>5	7370	15			(*5,9)12(7,4,10)-1,2-(6,11)3,8	(*5,9)12(4,10)7=(1,2)(6,11)(3,8)	12.5 - 10.9 - 11.4 - 11.8 - 12.5	12.5 - 23.4 - 34.8 - 46.6 - 59.1 (34.8-35.7)	5.0	150.0	3.0	7-8	480.0	2.0
201701010103	ダ	右	2400	晴	良	10:45	3歳未勝利		2017-7-29	1	札幌	1	3歳未勝利	(混)[指](馬齢)	3	580	2	3	160	3	5	240	5	3-5	3310	10	3-5	1,040	12	3-8	290	2	5-8	530	5	3=>5	4750	19	3-5-8	2110	9	3=>5=>8	16870	52	6,8,3(5,7)(1,12)4(2,10)11-9	(*6,8)(3,7,11)5(1,12)4-(2,10)9	(8,*4)6(3,11)(5,12)-(1,7)-(10,9)=2	(*8,4)-3-(6,5)11,12,1,7(10,9)=2	13.2 - 12.2 - 13.4 - 13.2 - 13.2 - 13.9 - 13.5 - 12.3 - 12.1 - 12.5 - 13.0 - 13.0	13.2 - 25.4 - 38.8 - 52.0 - 65.2 - 79.1 - 92.6 - 104.9 - 117.0 - 129.5 - 142.5 - 155.5 (38.8-38.5)	8.0	110.0	1.0	3-5	1260.0	5.0
201701010104	ダ	右	1700	曇	良	11:15	3歳未勝利		2017-7-29	1	札幌	1	3歳未勝利	[指](馬齢)	8	1010	4	8	210	4	6	110	1	6-8	780	3	6-8	420	3	7-8	2,000	21	6-7	460	4	8=>6	2900	10	6-7-8	3900	14	8=>6=>7	28020	91	(*7,6)9(8,10)1,5,11-(2,4)-3,12	7,6(8,9)(1,10)-(5,11)-2-4,3,12	(*7,6)(1,9)(8,10)(11,2)-5,4-(12,3)	(*7,6)(1,8)9(11,10,2)4,3-12,5	6.8 - 11.5 - 12.8 - 12.7 - 12.5 - 12.2 - 12.6 - 12.5 - 12.9	6.8 - 18.3 - 31.1 - 43.8 - 56.3 - 68.5 - 81.1 - 93.6 - 106.5 (31.1-38.0)	7.0	280.0	6.0	5-6	470.0	2.0
201701010105	芝	右	1500	曇	良	12:05	2歳新馬		2017-7-29	1	札幌	1	2歳新馬	(混)[指](馬齢)	8	400	2	8	130	2	1	150	4	1-8	1300	5	1-8	300	4	2-8	170	1	1-2	200	2	8=>1	2280	9	1-2-8	580	2	8=>1=>2	4960	13		(4,*8)(2,5,7)-9,3-1=6	8(4,7)(5,2)9,3-(1,6)	8(7,2)4(5,9,1)(3,6)	6.9 - 11.7 - 11.8 - 12.2 - 12.5 - 12.5 - 11.3 - 11.5	6.9 - 18.6 - 30.4 - 42.6 - 55.1 - 67.6 - 78.9 - 90.4 (30.4-35.3)	2.0	110.0	1.0	1-8	1090.0	5.0
201701010201	芝	右	1200	晴	良	09:55	2歳未勝利		2017-7-30	1	札幌	2	2歳未勝利	牝[指](馬齢)	6	310	2	6	320	2	2	1,370	6	2-6	2180	8	2-6	410	8	5-6	120	1	2-5	350	6	6=>2	3490	11	2-5-6	600	3	6=>2=>5	6830	21			1(5,6)3,4-2	(5,*6)1-(3,4)2	12.4 - 10.8 - 11.1 - 11.3 - 11.8 - 13.0	12.4 - 23.2 - 34.3 - 45.6 - 57.4 - 70.4 (34.3-36.1)						
201701010202	ダ	右	1000	晴	良	10:20	3歳未勝利		2017-7-30	1	札幌	2	3歳未勝利	[指](馬齢)	2	250	1	2	130	1	8	150	2	2-8	710	1	2-8	330	2	2-3	490	5	3-8	660	6	2=>8	1320	2	2-3-8	1780	3	2=>8=>3	5620	4			(*1,2)8,3,10,5,11,4(6,7,12)-9	(1,*2)8,3,5(11,10)(4,6,7,12)-9	12.5 - 11.2 - 11.6 - 11.9 - 12.6	12.5 - 23.7 - 35.3 - 47.2 - 59.8 (35.3-36.1)	3.0	200.0	5.0	2-6	650.0	1.0
201701010203	ダ	右	1700	晴	良	10:50	3歳未勝利		2017-7-30	1	札幌	2	3歳未勝利	[指](馬齢)	1	300	1	1	120	1	5	180	4	1-5	1070	4	1-5	350	3	1-10	320	2	5-10	650	8	1=>5	1860	6	1-5-10	1820	6	1=>5=>10	6960	13	(*2,3)-4(1,5)-8(9,6)-10-7	(*2,3)-4(1,5)-(8,6)9,10-7	(*2,3)(1,4,5)(8,10,6)9-7	5-(3,10)(1,6)(2,4)8,7,9	6.9 - 10.9 - 11.9 - 12.6 - 12.9 - 13.0 - 13.0 - 12.8 - 13.2	6.9 - 17.8 - 29.7 - 42.3 - 55.2 - 68.2 - 81.2 - 94.0 - 107.2 (29.7-39.0)	10.0	170.0	3.0	1-5	1080.0	5.0
201701010204	芝	右	1500	晴	良	11:20	3歳未勝利		2017-7-30	1	札幌	2	3歳未勝利	(混)[指](馬齢)	5	240	1	5	120	1	2	190	4	2-5	970	3	2-5	390	3	1-5	250	1	1-2	660	8	5=>2	1540	4	1-2-5	1280	2	5=>2=>1	5630	5		4(10,11)3(5,8,13,14)(2,6)9-7(1,12)	11(4,10)(5,14)3(2,8)(6,13)(7,9)(1,12)	(*4,10)5(11,3,14,8)(2,6,13)7(9,1,12)	6.8 - 11.2 - 11.1 - 11.6 - 11.9 - 12.2 - 11.9 - 11.9	6.8 - 18.0 - 29.1 - 40.7 - 52.6 - 64.8 - 76.7 - 88.6 (29.1-36.0)	1.0	150.0	2.0	2-4	1190.0	4.0
201701010205	芝	右	1800	晴	良	12:10	2歳新馬		2017-7-30	1	札幌	2	2歳新馬	[指](馬齢)	7	120	1	7	100	1	2	140	2	2-7	210	1	2-7	120	1	1-7	200	3	1-2	330	6	7=>2	270	1	1-2-7	420	2	7=>2=>1	820	2	1(4,5)(2,6)3,7	1(4,5)2,6,3,7	6,1(2,4)(3,5)7	(*6,1)4,2(3,5,7)	12.7 - 12.0 - 12.9 - 12.8 - 12.7 - 13.0 - 12.3 - 11.6 - 11.4	12.7 - 24.7 - 37.6 - 50.4 - 63.1 - 76.1 - 88.4 - 100.0 - 111.4 (37.6-35.3)						
