	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201046010201	ダ	右	1400	曇	不良	10:50	3歳7		2010-1-2	21	金沢	3	(定量)		1.0	100.0	1.0	1.0	100.0	1.0	4.0	160.0	3.0	6.0	150.0	2.0	1-4	360.0	1.0	1-4	410.0	2.0	1-4	170	2.0	1-6	170.0	1.0	4-6	410.0	7.0	1=>4	450.0	1.0	1=>4	450.0	1.0	1-4-6	540.0	1.0	1=>4=>6	1220.0	1.0	189472563	189427653	184692573	148265973		
201046010202	ダ	右	1300	曇	不良	11:20	C24		2010-1-2	21	金沢	3	(定量)		6.0	510.0	2.0	6.0	110.0	2.0	4.0	100.0	1.0	5.0	180.0	4.0	4-6	210.0	1.0	4-6	190.0	1.0	4-6	110	1.0	5-6	340.0	6.0	4-5	200.0	2.0	6=>4	480.0	2.0	6=>4	490.0	2.0	4-5-6	350.0	1.0	6=>4=>5	1850.0	4.0	6,(8,9),(2,4),5,(1,7)	6,(2,9,8),4,5,7,1	6,9,(2,4,8),5,7,1	6,4,(2,8),5,1,9,7		
201046010203	ダ	右	1400	曇	不良	11:50	3歳6		2010-1-2	21	金沢	3	(定量)		6.0	1090.0	4.0	6.0	220.0	5.0	5.0	190.0	4.0	10.0	100.0	1.0	5-6	2330.0	10.0	5-6	5150.0	15.0	5-6	1,840	19.0	6-10	260.0	3.0	5-10	590.0	7.0	6=>5	16870.0	25.0	6=>5	10560.0	26.0	5-6-10	2630.0	11.0	6=>5=>10	36080.0	93.0	27101564983	2,7,10,(5,1),4,8,6,9,3	10172568943	10715682934		
201046010301	ダ	右	1400	小雪	不良	10:50	C13		2010-1-3	21	金沢	4	(定量)		9.0	130.0	1.0	9.0	100.0	1.0	6.0	130.0	3.0	7.0	170.0	4.0	6-8	220.0	1.0	6-9	170.0	1.0	6-9	100	1.0	7-9	250.0	3.0	6-7	470.0	6.0	8=>6	240.0	1.0	9=>6	250.0	1.0	6-7-9	440.0	2.0	9=>6=>7	920.0	3.0	29510167348	29511067348	92106731584	96710382145		
201046010302	ダ	右	1500	小雪	不良	11:20	3歳4		2010-1-3	21	金沢	4	(定量)		5.0	190.0	1.0	5.0	150.0	3.0	10.0	210.0	4.0	2.0	130.0	1.0	5-8	960.0	4.0	5-10	1290.0	6.0	5-10	240	4.0	2-5	190.0	1.0	2-10	720.0	9.0	5=>8	940.0	4.0	5=>10	1990.0	8.0	2-5-10	1090.0	4.0	5=>10=>2	7430.0	24.0	2,5,(3,4,10),9,1,6,7,8	25311049678	25103149687	5,2,(3,10),1,4,9,6,8,7		
201046010303	ダ	右	1400	小雪	不良	11:50	3歳3		2010-1-3	21	金沢	4	(定量)		8.0	110.0	1.0	8.0	100.0	1.0	5.0	100.0	2.0	7.0	140.0	3.0	5-8	330.0	2.0	5-8	270.0	2.0	5-8	110	1.0	7-8	120.0	2.0	5-7	230.0	3.0	8=>5	290.0	2.0	8=>5	260.0	1.0	5-7-8	260.0	1.0	8=>5=>7	710.0	2.0	782459316	7,(2,8),5,4,3,9,6,1	785493621	875364912		
201046010304	ダ	右	1500	小雪	不良	12:20	3歳2		2010-1-3	21	金沢	4	(定量)		9.0	570.0	3.0	9.0	120.0	2.0	4.0	170.0	5.0	5.0	100.0	1.0	4-8	2940.0	9.0	4-9	4170.0	10.0	4-9	680	7.0	5-9	250.0	2.0	4-5	470.0	6.0	8=>4	6970.0	19.0	9=>4	6520.0	16.0	4-5-9	720.0	3.0	9=>4=>5	14580.0	41.0	879524361	879534261	879345612	937854216		
201046010305	ダ	右	1400	小雪	不良	12:50	C12		2010-1-3	21	金沢	4	(定量)																																														
201046010306	ダ	右	1500	小雪	不良	13:20	B23		2010-1-3	21	金沢	4	(定量)																																														
201046010307	ダ	右	1400	小雪	不良	13:50	前野幸一勇退記念		2010-1-3	21	金沢	4	(定量)																																														
201046010308	ダ	右	1500	小雪	不良	14:25	ありがとう前野幸一杯 		2010-1-3	21	金沢	4	(定量)																																														
201046010309	ダ	右	1500	小雪	不良	15:00	松竹梅特別 		2010-1-3	21	金沢	4	(定量)																																														
201046010310	ダ	右	1500	小雪	不良	15:35	プリンセスカップ	G	2010-1-3	21	金沢	4	牝(別定)																																														
201046010311	ダ	右	1400	小雪	不良	16:20	紅梅特別C級勝馬 		2010-1-3	21	金沢	4	(定量)																																														
201046010401	ダ	右	1300	晴	重	10:50	C37		2010-1-4	21	金沢	2	(定量)		3.0	820.0	3.0	3.0	370.0	4.0	5.0	290.0	3.0	2.0	190.0	2.0	3-5	1590.0	8.0	3-5	1700.0	6.0	3-5	580	8.0	2-3	350.0	2.0	2-5	400.0	3.0	3=>5	2170.0	10.0	3=>5	2720.0	8.0	2-3-5	890.0	3.0	3=>5=>2	7490.0	24.0	3,10,(1,2,5),6,4,9,8,7	31025164987	3,10,2,5,6,1,4,9,(8,7)	32105641987		
201046010402	ダ	右	1300	晴	重	11:20	C36		2010-1-4	21	金沢	2	(定量)		2.0	250.0	2.0	2.0	100.0	1.0	1.0	100.0	3.0	8.0	100.0	2.0				1-2	820.0	4.0	1-2	220	5.0	2-8	180.0	2.0	1-8	120.0	1.0				2=>1	1930.0	9.0	1-2-8	220.0	1.0	2=>1=>8	3200.0	14.0	12783645	12374865	12843675	12846375		
201046010403	ダ	右	1400	晴	重	11:50	C35		2010-1-4	21	金沢	2	(定量)		9.0	100.0	1.0	9.0	120.0	2.0	5.0	120.0	1.0	4.0	180.0	4.0	5-8	320.0	2.0	5-9	360.0	1.0	5-9	100	1.0	4-9	230.0	3.0	4-5	440.0	5.0	8=>5	290.0	1.0	9=>5	330.0	1.0	4-5-9	760.0	2.0	9=>5=>4	1320.0	3.0	35961104827	39561410728	9,5,6,(3,1),4,7,10,2,8	95614731082		
201046010404	ダ	右	1400	晴	重	12:20	C34		2010-1-4	21	金沢	2	(定量)		5.0	1240.0	5.0	5.0	740.0	6.0	9.0	340.0	5.0	2.0	150.0	2.0	5-8	2190.0	7.0	5-9	35320.0	25.0	5-9	2,460	22.0	2-5	730.0	9.0	2-9	1,200	11.0	5=>8	6860.0	16.0	5=>9	40680.0	41.0	2-5-9	22640.0	35.0	5=>9=>2	452040.0	267.0	6,2,10,5,(4,8),1,7,9	2,6,5,10,8,4,7,1-9	2106587491	2,5,6,10,8,7,4,9-1		
