rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	5	10		インウィクトス	牡2	55.0		マーフィ	1:12.3		3-3	37.7	3.0	1	450	6		小桧山悟		加藤厚子	500.0
2	3	5		グレートコート	牡2	52.0		小林凌大	1:12.6	1.3/4	2-2	38.2	3.9	2	470	4		大江原哲		伊東純一	200.0
3	2	4		ピノッキオ	牡2	55.0		北村宏司	1:13.2	4.0	8-8	37.8	14.0	5	518	4		岩戸孝樹		櫻井正	130.0
4	1	2		エストラード	牡2	55.0		江田照男	1:13.2	ハナ	1-1	38.8	5.6	3	462	0		武市康男		島川隆哉	75.0
5	8	16		ルヴァンヴェール	牡2	55.0		三浦皇成	1:13.5	2.0	3-5	38.8	5.9	4	486	4		竹内正洋		グリーンファーム	50.0
6	4	7		ペイシャハミング	牝2	54.0		横山和生	1:13.6	1/2	10-9	38.0	27.2	8	436	-2		石栗龍彦		北所直人	
7	4	8		タイセイプルミエ	牝2	54.0		柴山雄一	1:14.0	2.1/2	14-13	37.5	23.9	7	468	-2		青木孝文		田中成奉	
8	1	1		ルートサブロク	牡2	55.0		岩部純二	1:14.0	アタマ	6-5	39.1	561.7	15	476	-4		高市圭二		ミルファーム	
9	6	11		サイモンサンバ	牝2	53.0		野中悠太	1:14.1	1/2	3-4	39.5	154.4	12	468	0		根本康広		澤田昭紀	
10	6	12		マイネルリベラル	牡2	55.0		柴田大知	1:14.3	1.1/4	6-7	39.4	17.0	6	448	-2		高橋祥泰		サラブレッドクラブ・ラフィアン	
11	7	14		クラウンコジーン	牡2	55.0		石川裕紀	1:14.4	1/2	16-16	37.7	147.7	11	444	2		蛯名利弘		矢野恭裕	
12	2	3		グランドホース	牡2	55.0		宮崎北斗	1:14.5	クビ	8-9	39.1	422.9	14	484	0		伊藤伸一		田畑利彦	
13	7	13		ヴァンタンジェンヌ	牝2	52.0		木幡育也	1:14.7	1.1/4	14-15	38.2	716.1	16	396	0		柄崎孝		村田滋	
14	3	6		オーヴァル	牡2	55.0		松岡正海	1:14.9	1.0	12-12	38.9	123.9	10	490	0		古賀史生		島川隆哉	
15	5	9		ムラサメ	セ2	52.0		菅原明良	1:15.7	5.0	10-11	40.2	34.6	9	458	-2		伊藤圭三		細川智恵子	
16	8	15		デンタルウイッシュ	牝2	54.0		内田博幸	1:15.7	クビ	12-13	39.7	336.2	13	422	-2		浅野洋一		安田光則	
