horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	重賞/出走	重賞/勝利	特別/出走	平場/出走	芝/出走	ダート/出走	勝利/ダート
1995108676	2021	56	43	6	125	7	4.0	0.0	38.0	4.0	83.0	3.0	74.0	7.0	48.0	0.0	0.14	0.75	14967.3	1628.6	0.0	2016102073.0										
1995108676	2020	51	62	15	284	19	7.0	0.0	72.0	4.0	205.0	15.0	170.0	9.0	109.0	10.0	0.242	0.78	30036.3	1566.7	1345.0	2017104175.0										
1995108676	2019	59	74	12	290	17	9.0	0.0	56.0	4.0	225.0	13.0	120.0	8.0	168.0	9.0	0.162	0.6	27316.4	1512.5	1344.4	2016102073.0										
1995108676	2018	40	67	11	272	14	19.0	2.0	64.0	3.0	189.0	9.0	131.0	6.0	140.0	8.0	0.16399999999999998	0.87	36349.0	1466.7	1525.0	2013103292.0										
1995108676	2017	25	72	11	271	14	24.0	2.0	61.0	4.0	186.0	8.0	140.0	9.0	128.0	5.0	0.153	1.03	46481.6	1355.6	1560.0	2012102774.0										
1995108676	2016	25	78	18	341	25	25.0	2.0	55.0	6.0	261.0	17.0	159.0	13.0	177.0	11.0	0.231	1.14	55405.6	1484.6	1409.1	2012102774.0										
1995108676	2015	28	64	17	290	23	20.0	2.0	42.0	4.0	228.0	17.0	117.0	11.0	162.0	11.0	0.266	1.14	44814.7	1527.3	1513.6	2012102774.0										
1995108676	2014	41	66	13	304	14	12.0	1.0	42.0	2.0	250.0	11.0	113.0	5.0	179.0	9.0	0.19699999999999998	0.88	35323.1	1560.0	1500.0	2011106350.0										
1995108676	2013	23	53	11	236	18	10.0	4.0	37.0	4.0	189.0	10.0	91.0	11.0	142.0	6.0	0.20800000000000002	1.86	59002.4	1781.8	1550.0	2010102094.0										
1995108676	2012	112	38	8	160	9	1.0	0.0	11.0	0.0	148.0	9.0	66.0	3.0	94.0	6.0	0.21100000000000002	0.56	12604.2	1533.3	1491.7	2009100112.0										
1995108676	2011	188	28	5	122	5	0.0	0.0	9.0	0.0	113.0	5.0	56.0	3.0	64.0	2.0	0.179	0.4	6943.0	1200.0	1450.0	2008101826.0										
1995108676	2010	254	13	2	56	2	0.0	0.0	2.0	0.0	54.0	2.0	22.0	1.0	32.0	1.0	0.154	0.55	4411.0	1600.0	1700.0	2006101365.0										
1995108676	2009	488	6	1	21	1	0.0	0.0	0.0	0.0	21.0	1.0	9.0	0.0	12.0	1.0	0.16699999999999998	0.29	1088.0	0.0	1700.0	2006101365.0										
1995108676	2008	614	1	0	8	0	0.0	0.0	0.0	0.0	8.0	0.0	7.0	0.0	1.0	0.0	0.0	0.96	605.0	0.0	0.0	2006101365.0										
1995103211	2021	7	179	35	564	44	31.0	2.0	139.0	21.0	394.0	21.0	232.0	18.0	316.0	25.0	0.196	1.22	101652.0	1722.2	1586.0	2017101719.0										
1995103211	2020	10	227	57	943	69	45.0	2.0	232.0	18.0	666.0	49.0	417.0	27.0	508.0	39.0	0.251	1.01	142003.1	1611.1	1589.7	2016104505.0										
1995103211	2019	4	239	64	1018	84	42.0	7.0	243.0	15.0	733.0	62.0	468.0	33.0	539.0	50.0	0.268	1.33	195514.4	1697.0	1561.0	2016104505.0										
1995103211	2018	9	244	65	1042	85	42.0	4.0	279.0	26.0	721.0	55.0	505.0	41.0	521.0	43.0	0.266	1.07	163235.5	1646.3	1587.2	2014103385.0										
1995103211	2017	10	234	59	1043	77	34.0	2.0	226.0	18.0	783.0	57.0	488.0	37.0	539.0	40.0	0.252	0.95	139447.8	1808.1	1566.3	2014106191.0										
1995103211	2016	11	217	56	968	71	30.0	0.0	182.0	13.0	756.0	58.0	510.0	27.0	439.0	43.0	0.258	0.87	117598.2	1707.4	1602.3	2011104293.0										
1995103211	2015	11	189	39	828	46	42.0	2.0	154.0	6.0	632.0	38.0	398.0	23.0	419.0	23.0	0.20600000000000002	0.85	98251.6	1513.0	1508.7	2012106160.0										
