horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	特別/勝利	平場/出走	平場/勝利	芝/出走	芝/勝利	ダート/出走	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a011625	2021	175	15	2	53	2	4	0	4	0.0	45	2.0	22	2.0	30	0.0	0.133	0.53	3671.2	1600.0	0.0	2017106596
000a011625	2020	165	17	7	52	8	3	0	1	0.0	48	8.0	16	2.0	36	6.0	0.412	0.74	7835.0	1400.0	1483.3	2016103957
000a011625	2019	298	6	0	19	0	1	0	1	0.0	17	0.0	12	0.0	7	0.0	0.0	0.88	3258.6	0.0	0.0	2016103957
000a011625	2018	389	1	1	3	2	0	0	1	1.0	2	1.0	0	0.0	3	2.0	1.0	2.64	1646.4	0.0	1600.0	2016103957
000a011625	2015	679	1	0	1	0	0	0	0	0.0	1	0.0	0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	2012110123
000a011625	1961	239	1	1	6	2	0	0	0	0.0	6	2.0	6	2.0	0	0.0	1.0	0.47	32.0	2000.0	0.0	1955z00343
000a011625	1960	150	1	1	32	4	0	0	0	0.0	32	4.0	32	4.0	0	0.0	1.0	1.54	88.2	2000.0	0.0	1955z00343
000a011625	1959	161	1	1	25	3	0	0	0	0.0	25	3.0	25	3.0	0	0.0	1.0	0.9	45.1	1800.0	0.0	1955z00343
000a011625	1958	148	1	1	31	2	0	0	0	0.0	31	2.0	31	2.0	0	0.0	1.0	0.77	34.6	2000.0	0.0	1955z00343
000a000fa8	1991	750	1	0	1	0	1	0	0	0.0	0	0.0	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1987109107
000a000fa8	1974	362	1	1	6	1	0	0	0	0.0	6	1.0	3	0.0	3	1.0	1.0	1.27	615.0	0.0	1200.0	1971z01051
000a000fa8	1971	528	2	0	13	0	0	0	0	0.0	13	0.0	8	0.0	5	0.0	0.0	0.03	25.0	0.0	0.0	1955101172
000a000fa8	1970	515	1	0	3	0	0	0	0	0.0	3	0.0	3	0.0	0	0.0	0.0	0.07	27.0	0.0	0.0	000a0048b0
000a000fa8	1969	386	2	1	5	1	0	0	0	0.0	5	1.0	4	1.0	1	0.0	0.5	0.28	191.0	1800.0	0.0	1965z00115
000a000fa8	1968	233	3	1	28	2	0	0	0	0.0	28	2.0	22	2.0	6	0.0	0.3329999999999999	0.63	448.0	1600.0	0.0	1965z00115
000a000fa8	1967	132	5	3	35	5	0	0	0	0.0	35	5.0	27	4.0	8	1.0	0.6	0.92	933.0	1300.0	1700.0	1965z00115
000a000fa8	1966	156	5	1	42	2	0	0	0	0.0	42	2.0	40	2.0	2	0.0	0.2	0.71	561.5	1400.0	0.0	1963z00632
000a000fa8	1965	109	5	1	51	1	0	0	0	0.0	51	1.0	51	1.0	0	0.0	0.2	0.95	569.0	2500.0	0.0	1961z00397
