horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a0113a1	2021	270	2	1	7	1	0	0	2	0	5	1	0	0	7	1	0.5	2.0	1861.0	0.0	1200.0	2015101626.0
000a0113a1	2020	702	2	0	4	0	0	0	0	0	4	0	2	0	2	0	0.0	0.0	0.0	0.0	0.0	2016103980.0
000a0113a1	2019	524	2	1	5	1	0	0	2	0	3	1	2	0	3	1	0.5	0.61	750.0	0.0	1400.0	2015101626.0
000a0113a1	2018	556	2	0	6	0	0	0	1	0	5	0	1	0	5	0	0.0	0.43	532.0	0.0	0.0	2015101626.0
000a0113a1	2017	526	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1.0	1.12	700.0	0.0	1800.0	2015101626.0
2001103312	2021	213	13	3	45	3	0	0	0	0	45	3	16	1	29	2	0.231	0.5	3009.0	2400.0	1550.0	2018101497.0
2001103312	2020	455	15	0	59	0	0	0	0	0	59	0	33	0	26	0	0.0	0.12	1121.0	0.0	0.0	2016102979.0
2001103312	2019	390	9	0	35	0	0	0	0	0	35	0	14	0	17	0	0.0	0.33	1840.0	0.0	0.0	2016102979.0
2001103312	2018	630	2	0	4	0	0	0	0	0	4	0	0	0	4	0	0.0	0.1	125.0	0.0	0.0	2016101734.0
2001103312	2017	682	1	0	3	0	0	0	0	0	3	0	0	0	3	0	0.0	0.0	0.0	0.0	0.0	2015101235.0
1999110191	2021	492	5	0	11	0	0	0	0	0	11	0	0	0	11	0	0.0	0.18	430.0	0.0	0.0	2017100922.0
1999110191	2020	660	3	0	8	0	0	0	0	0	8	0	2	0	6	0	0.0	0.08	154.0	0.0	0.0	2017100922.0
1999110191	2019	693	2	0	4	0	0	0	0	0	4	0	1	0	3	0	0.0	0.0	0.0	0.0	0.0	2017103069.0
1999110191	2018	654	2	0	2	0	0	0	0	0	2	0	1	0	1	0	0.0	0.06	70.0	0.0	0.0	2016102574.0
1999110191	2017	682	1	0	4	0	0	0	0	0	4	0	2	0	2	0	0.0	0.0	0.0	0.0	0.0	2015109119.0
1995100385	2021	237	4	1	17	1	0	0	5	0	12	1	12	1	5	0	0.25	1.36	2535.9	2600.0	0.0	2017101915.0
1995100385	2020	362	5	2	27	2	0	0	8	0	19	2	13	1	14	1	0.4	0.72	2227.2	2400.0	1200.0	2015105615.0
1995100385	2019	287	6	3	28	3	1	0	4	0	23	3	6	0	22	3	0.5	0.95	3527.0	0.0	1066.7	2016101250.0
1995100385	2018	340	4	3	20	3	0	0	2	0	18	3	0	0	20	3	0.75	0.97	2415.0	0.0	1233.3	2016105712.0
1995100385	2017	608	1	0	3	0	0	0	0	0	3	0	0	0	3	0	0.0	0.4	250.0	0.0	0.0	2015105615.0
000a011656	2021	103	6	1	14	2	5	1	3	0	6	1	12	2	2	0	0.16699999999999998	2.62	7309.8	1600.0	0.0	2018106532.0
000a011656	2020	230	10	2	29	2	5	0	5	0	19	2	21	2	8	0	0.2	0.83	5117.1	1900.0	0.0	2018106532.0
000a011656	2019	199	4	1	15	3	2	0	3	2	10	1	2	0	13	3	0.25	2.53	6241.4	0.0	1466.7	2016110013.0
000a011656	2018	491	3	1	7	1	0	0	0	0	7	1	3	0	4	1	0.33299999999999996	0.44	830.0	0.0	1400.0	2016110013.0
000a011656	2017	682	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	2015103469.0
1998101457	2021	227	5	2	21	2	0	0	4	0	17	2	13	0	8	2	0.4	1.17	2712.0	0.0	1400.0	2017100531.0
1998101457	2020	238	9	2	41	3	0	0	7	0	34	3	23	0	12	2	0.222	0.86	4791.3	0.0	1750.0	2017100531.0
1998101457	2019	337	5	2	22	2	0	0	3	0	19	2	10	1	12	1	0.4	0.78	2410.0	2000.0	1200.0	2016104238.0
1998101457	2018	420	2	1	11	1	0	0	0	0	11	1	4	0	7	1	0.5	1.12	1400.0	0.0	1600.0	2015104066.0
1998101457	2017	578	1	0	4	0	0	0	0	0	4	0	3	0	1	0	0.0	0.62	390.0	0.0	0.0	2015104066.0
000a01139f	2021	618	3	0	9	0	0	0	0	0	9	0	9	0	0	0	0.0	0.0	0.0	0.0	0.0	2017106165.0
000a01139f	2020	657	4	0	16	0	1	0	1	0	14	0	13	0	3	0	0.0	0.07	183.0	0.0	0.0	2016103309.0
000a01139f	2019	283	4	3	15	3	3	0	5	1	7	2	14	3	1	0	0.75	1.46	3605.8	1533.3	0.0	2016110043.0
000a01139f	2018	484	5	1	10	1	0	0	0	0	10	1	6	1	4	0	0.2	0.29	890.0	1400.0	0.0	2016110043.0
000a01139f	2017	682	3	0	9	0	0	0	0	0	9	0	5	0	4	0	0.0	0.0	0.0	0.0	0.0	2014100055.0
