horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	特別/勝利	平場/出走	平場/勝利	芝/出走	芝/勝利	ダート/出走	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a000d99	2021	55	5	3	14	5	3.0	2	2.0	1.0	9.0	2.0	0.0	0.0	12.0	3.0	0.6	6.47	15062.7	0.0	1633.3	2013104138
000a000d99	2020	72	6	3	29	6	5.0	2	6.0	1.0	18.0	3.0	3.0	0.0	22.0	3.0	0.5	5.54	20549.8	0.0	1666.7	2013104138
000a000d99	2019	128	9	1	30	3	3.0	1	10.0	0.0	17.0	2.0	8.0	0.0	15.0	0.0	0.111	2.16	11965.5	0.0	0.0	2013104138
000a000d99	2018	184	7	3	42	3	1.0	0	9.0	0.0	32.0	3.0	3.0	0.0	27.0	1.0	0.429	1.63	7086.1	0.0	1900.0	2014106400
000a000d99	2017	136	11	4	64	5	0.0	0	10.0	2.0	54.0	3.0	5.0	0.0	55.0	4.0	0.364	1.63	11203.3	0.0	1350.0	2012102856
000a000d99	2016	147	13	3	73	4	1.0	0	12.0	2.0	60.0	2.0	16.0	0.0	56.0	4.0	0.231	1.18	9554.8	0.0	1400.0	2012102856
000a000d99	2015	205	12	5	48	6	0.0	0	7.0	0.0	41.0	6.0	23.0	2.0	21.0	4.0	0.417	0.81	5975.0	1600.0	1325.0	2012102856
000a000d99	2014	353	15	2	61	2	0.0	0	4.0	0.0	57.0	2.0	17.0	0.0	36.0	1.0	0.133	0.24	2185.0	0.0	1200.0	2010102128
000a000d99	2013	239	15	4	71	4	1.0	0	4.0	0.0	66.0	4.0	23.0	2.0	44.0	2.0	0.267	0.47	4204.0	1200.0	1750.0	2010106281
000a000d99	2012	292	13	3	40	3	2.0	0	5.0	0.0	33.0	3.0	17.0	2.0	23.0	1.0	0.231	0.36	2760.0	1400.0	1150.0	2010102861
000a000d99	2011	413	4	2	21	2	0.0	0	3.0	0.0	18.0	2.0	10.0	0.0	11.0	2.0	0.5	0.6	1485.0	0.0	1500.0	2008100451
000a000d99	2010	488	1	1	11	1	0.0	0	2.0	0.0	9.0	1.0	9.0	1.0	2.0	0.0	1.0	1.58	980.0	2000.0	0.0	2007100478
000a000d99	2009	758	1	0	1	0	0.0	0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2007106668
000a000d99	1965	321	1	0	26	0	0.0	0	0.0	0.0	26.0	0.0	26.0	0.0	0.0	0.0	0.0	0.57	68.0	0.0	0.0	1961z00509
000a000d99	1964	291	1	1	15	1	0.0	0	0.0	0.0	15.0	1.0	15.0	1.0	0.0	0.0	1.0	0.45	44.5	1700.0	0.0	1961z00509
000a000fb3	1983	710	1	0	1	0	0.0	0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1980103984
000a000fb3	1982	346	2	0	17	0	0.0	0	0.0	0.0	17.0	0.0	0.0	0.0	17.0	0.0	0.0	1.38	1881.0	0.0	0.0	1979101083
000a000fb3	1981	373	2	1	14	2	0.0	0	0.0	0.0	14.0	2.0	2.0	0.0	12.0	2.0	0.5	1.0	1345.0	0.0	1750.0	1978106130
000a000fb3	1980	684	2	0	7	0	0.0	0	0.0	0.0	7.0	0.0	2.0	0.0	5.0	0.0	0.0	0.04	57.0	0.0	0.0	1978104562
000a000fb3	1979	681	1	0	1	0	0.0	0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.07	41.0	0.0	0.0	1976z01494
000a000fb3	1978	334	4	1	14	1	0.0	0	0.0	0.0	14.0	1.0	4.0	0.0	10.0	1.0	0.25	0.56	1430.0	0.0	2000.0	1974z01262
