rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	6	6		アドマイヤスコール	牡3	56.0		Ｍ．デム	2:12.5		6-6-5-5	36.3	2.1	1	480	2		加藤征弘		近藤利一	1,025.9
2	2	2		サンアップルトン	牡3	56.0		黛弘人	2:12.6	3/4	8-8-8-5	36.2	7.7	4	456	-2		中野栄治		加藤ステーブル	407.4
3	8	10		リオンリオン	牡3	56.0		横山典弘	2:12.7	1/2	2-2-2-2	36.7	8.2	5	476	-10		松永幹夫		寺田千代乃	253.7
4	4	4		アイスブラスト	牡3	56.0		田辺裕信	2:12.8	3/4	4-4-2-4	36.8	6.3	3	494	2		戸田博文		ＤＭＭドリームクラブ	150.0
5	1	1		ボスジラ	牡3	56.0		戸崎圭太	2:12.9	クビ	10-9-9-9	36.0	4.3	2	504	8		国枝栄		金子真人ホールディングス	100.0
6	5	5		クリスタルバローズ	牡3	56.0		北村宏司	2:13.0	3/4	1-1-1-1	37.3	26.1	7	470	-10		奥村武		猪熊広次	
7	7	9		ダディーズマインド	牡3	56.0		宮崎北斗	2:13.0	クビ	2-2-2-2	37.1	15.5	6	498	28		青木孝文		田島大史	
8	3	3		テイエムバリバリ	牡3	56.0		柴田大知	2:13.5	3.0	7-6-5-7	37.2	184.8	11	456	8		石栗龍彦		竹園正繼	
9	6	7		フィデリオグリーン	牡3	56.0		野中悠太	2:14.3	5.0	4-5-5-8	38.0	76.8	9	502	-2		根本康広		斎藤光政	
10	8	11		ラッキーアモン	牡3	56.0		江田照男	2:14.8	3.0	8-9-10-11	37.6	180.3	10	486	-6		谷原義明		平岡茂樹	
11	7	8		プレイングラン	牡3	56.0		内田博幸	2:14.9	1/2	11-11-10-10	37.7	66.9	8	472	2		小西一男		スリースターズレーシング	
