着順	枠番	馬番	単勝	人気	馬名	sex	age	weight	gain	斤量	タイム	着差	通過	上り	騎手	調教師	馬主	賞金(万円)	race_id
1	1	1	---	12	1988107226	牝	4	448.0	-5.0	54	102.5	0			00580	[他] 武田清吉	00nan	95.0	199159101709
2	6	7	---	2	1988101508	牝	4	414.0	0.0	54	102.6	3/4			0対馬宏昭	00844	00nan	38.0	199159101709
3	3	3	---	5	1987105415	牝	5	420.0	8.0	55	104.2	8			00964	00845	00nan	23.8	199159101709
4	8	12	---	3	1987100872	牝	5	438.0	2.0	55	104.3	3/4			00837	00815	00nan	14.2	199159101709
5	5	6	---	4	1987100875	牡	5	498.0	-4.0	56	104.3	アタマ			00575	00887	00nan	9.5	199159101709
6	7	10	---	10	1988106249	牝	4	432.0	-3.0	54	104.4	1/2			00原孝明	05105	00nan	0.0	199159101709
7	6	8	---	1	1988105940	牡	4	464.0	-6.0	55	104.4	ハナ			0廣森久雄	00815	00nan	0.0	199159101709
8	4	4	---	7	1988105070	牝	4	470.0	-2.0	54	104.4	アタマ			05103	[他] 千島一己	00nan	0.0	199159101709
9	8	11	---	6	1988102070	牝	4	452.0	3.0	54	104.5	クビ			00439	00845	00nan	0.0	199159101709
10	5	5	---	11	1986100432	牡	6	450.0	0.0	56	105.4	4			00578	05112	00nan	0.0	199159101709
11	7	9	---	8	1987104087	牝	5	464.0	6.0	55	105.8	2			00下村直	05104	00nan	0.0	199159101709
12	2	2	---	9	1988102985	牝	4	450.0	10.0	54	107.5	8			00402	00845	00nan	0.0	199159101709
1	5	5	---	1	1989100806	牡	3	452.0	0.0	54	105.3	0			05089	05091	00nan	75.0	199159110404
2	6	6	---	4	1989108210	牡	3	446.0	0.0	54	105.6	1.1/2			00964	00862	00nan	30.0	199159110404
3	2	2	---	7	1989105874	牝	3	432.0	4.0	53	105.9	1.1/2			00579	00863	00nan	18.8	199159110404
4	7	7	---	2	1989100409	牝	3	446.0	1.0	53	106.0	1/2			0柳澤好美	00864	00nan	11.2	199159110404
5	4	4	---	5	1989107430	牡	3	500.0	15.0	54	106.6	3			00841	[他] 千島一己	00nan	7.5	199159110404
6	3	3	---	6	1989107786	牡	3	466.0	8.0	54	108.2	8			00國信滿	05055	00nan	0.0	199159110404
7	1	1	---	3	1989103039	牝	3	414.0	6.0	53	108.4	1			0廣森久雄	00844	00nan	0.0	199159110404
