horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a001770	2000	526	1	0	2	0	0	0	0	0	2	0	1	0	1	0	0.0	0.0	0.0	0.0	0.0	1997110057.0
000a001770	1999	546	1	0	2	0	0	0	0	0	2	0	1	0	1	0	0.0	0.07	60.0	0.0	0.0	1997110057.0
000a00013a	2021	181	13	0	44	0	0	0	7	0	37	0	6	0	34	0	0.0	0.26	1593.8	0.0	0.0	2010102446.0
000a00013a	2020	151	21	1	84	1	4	0	35	0	45	1	20	0	56	1	0.048	0.38	4892.8	0.0	1200.0	2010102446.0
000a00013a	2019	81	27	8	145	12	1	0	30	1	114	11	40	4	96	8	0.29600000000000004	1.03	17114.2	1400.0	1600.0	2016102556.0
000a00013a	2018	65	43	8	185	11	4	0	34	4	147	7	48	4	126	7	0.18600000000000005	0.89	23698.8	1350.0	1500.0	2012100877.0
000a00013a	2017	54	57	10	276	13	5	0	52	5	219	8	63	4	209	9	0.175	0.81	28717.4	1300.0	1422.2	2010102446.0
000a00013a	2016	30	98	22	419	27	5	1	84	6	330	20	102	8	312	19	0.224	0.86	52727.0	1475.0	1584.2	2010102446.0
000a00013a	2015	23	115	31	510	38	13	1	127	8	370	29	151	10	353	27	0.27	0.98	69205.4	1480.0	1498.2	2010102446.0
000a00013a	2014	30	111	29	542	33	17	0	101	6	424	27	184	9	349	24	0.261	0.83	55987.9	1511.1	1422.9	2008105584.0
000a00013a	2013	27	112	28	481	32	10	1	129	9	342	22	178	17	290	14	0.25	0.88	58811.9	1564.7	1357.1	2010103911.0
000a00013a	2012	26	112	33	511	44	21	0	120	9	370	35	169	13	332	31	0.295	1.0	66462.3	1538.5	1421.0	2007101791.0
000a00013a	2011	19	126	35	553	48	20	0	169	17	364	31	205	19	339	28	0.278	1.24	96238.6	1668.4	1442.9	2007101071.0
000a00013a	2010	12	159	44	757	59	42	3	174	12	541	44	269	20	474	39	0.277	1.35	133426.3	1675.0	1464.1	2005106472.0
000a00013a	2009	12	191	64	871	85	34	0	213	25	624	60	337	27	521	56	0.335	1.16	139715.0	1644.4	1462.5	2005106472.0
000a00013a	2008	8	193	53	923	72	54	8	207	10	662	54	335	31	582	41	0.275	1.49	181119.2	1780.7	1487.8	2002102706.0
000a00013a	2007	6	177	61	876	90	50	7	226	20	600	63	321	39	545	49	0.345	1.72	199351.2	1605.1	1466.3	2002105980.0
000a00013a	2006	9	175	75	854	105	33	0	168	22	653	83	317	33	535	72	0.429	1.25	142991.2	1612.1	1457.6	2003102636.0
000a00013a	2005	12	157	64	655	82	27	3	91	10	537	69	259	29	389	52	0.408	1.05	110057.0	1462.1	1426.0	2003102704.0
000a00013a	2004	46	69	23	226	26	18	1	32	2	176	23	126	14	97	12	0.333	0.86	40231.4	1321.4	1275.0	2002101007.0
000a00013a	2003	99	13	6	59	9	6	0	15	0	38	9	10	2	49	7	0.462	1.52	13838.8	1900.0	1342.9	1997110152.0
000a00013a	2002	106	10	5	52	8	5	0	20	3	27	5	9	0	37	8	0.5	1.98	14401.4	0.0	1575.0	1997110152.0
000a00013a	2001	34	8	5	47	8	12	4	14	3	21	1	15	2	32	6	0.625	7.88	48130.3	1800.0	1716.7	1998110135.0
000a00013a	2000	153	6	4	25	6	6	0	5	3	14	3	14	3	11	3	0.667	1.76	8614.7	1933.3	1533.3	1997110152.0
000a00013a	1999	308	1	1	5	1	2	0	1	0	2	1	3	0	2	1	1.0	3.18	2672.4	0.0	1200.0	1997110152.0
000a002198	2002	879	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1993190012.0
000a002198	2001	877	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1993190012.0
000a002198	1999	244	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0.0	6.43	5394.8	0.0	0.0	1993190012.0
000a001ab9	2002	507	1	0	4	0	0	0	3	0	1	0	2	0	2	0	0.0	0.0	0.0	0.0	0.0	1996110131.0
000a001ab9	2001	352	1	1	6	1	0	0	3	0	3	1	0	0	6	1	1.0	1.95	1486.0	0.0	1200.0	1996110131.0
000a001ab9	2000	526	1	0	2	0	0	0	1	0	1	0	0	0	2	0	0.0	0.0	0.0	0.0	0.0	1996110131.0
000a001ab9	1999	388	1	1	4	2	0	0	0	0	4	2	0	0	4	2	1.0	1.66	1390.0	0.0	1200.0	1996110131.0
000a001813	2001	877	1	0	3	0	0	0	3	0	0	0	0	0	3	0	0.0	0.0	0.0	0.0	0.0	1996110004.0
000a001813	2000	875	1	0	4	0	0	0	4	0	0	0	3	0	1	0	0.0	0.0	0.0	0.0	0.0	1996110004.0
000a001813	1999	381	1	1	12	3	0	0	7	1	5	2	10	2	2	1	1.0	3.35	2808.9	2100.0	1000.0	1996110004.0
000a00191e	2001	877	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	1997110093.0
000a00191e	2000	769	1	0	5	0	0	0	0	0	5	0	4	0	1	0	0.0	0.34	277.0	0.0	0.0	1997110093.0
000a00191e	1999	838	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0.0	0.11	90.0	0.0	0.0	1997110093.0
000a000348	2012	390	2	0	8	0	0	0	8	0	0	0	1	0	7	0	0.0	0.0	0.0	0.0	0.0	2004104708.0
000a000348	2011	195	6	1	23	1	2	0	20	1	1	0	9	0	14	1	0.16699999999999998	0.73	2682.5	0.0	1200.0	2004104708.0
000a000348	2010	141	11	1	61	1	2	0	45	1	14	0	21	1	37	0	0.091	0.86	5875.9	1000.0	0.0	2004104447.0
000a000348	2009	64	24	9	126	11	0	0	68	2	58	9	47	3	67	6	0.375	1.44	21714.9	1366.7	1566.7	2004104183.0
000a000348	2008	50	46	9	260	10	5	0	79	5	176	5	112	6	129	4	0.196	1.11	32158.1	1500.0	1462.5	2004100047.0
000a000348	2007	36	73	24	411	31	4	0	75	6	332	25	136	7	266	24	0.329	0.94	44725.3	1428.6	1425.0	2003102249.0
000a000348	2006	32	103	30	528	34	0	0	46	4	482	30	209	9	313	25	0.29100000000000004	0.7	47422.4	1577.8	1418.0	2002106695.0
000a000348	2005	66	79	18	326	20	5	0	25	0	296	20	151	6	175	14	0.228	0.47	24749.2	1533.3	1435.7	2002105097.0
000a000348	2004	139	35	5	77	5	2	0	5	1	70	4	51	3	26	2	0.14300000000000002	0.34	8108.3	1333.3	1400.0	1998110197.0
000a000348	2003	144	7	2	32	5	0	0	10	2	22	3	12	4	13	1	0.28600000000000003	1.46	7166.9	1550.0	1700.0	1998110197.0
000a000348	2002	218	7	0	38	0	0	0	15	0	23	0	13	0	22	0	0.0	0.84	4271.1	0.0	0.0	1997105394.0
000a000348	2001	111	9	7	62	10	0	0	20	5	42	5	25	4	37	6	0.778	1.89	12993.7	1150.0	1266.7	1997105394.0
000a000348	2000	302	6	2	21	2	3	0	2	0	16	2	16	2	5	0	0.333	0.47	2274.0	1500.0	0.0	1998110265.0
000a000348	1999	397	1	1	3	2	0	0	0	0	3	2	0	0	3	2	1.0	1.55	1300.0	0.0	1200.0	1997110123.0
000a002155	2003	334	1	0	3	0	3	0	0	0	0	0	2	0	1	0	0.0	5.16	3611.8	0.0	0.0	1997110161.0
000a002155	2002	192	1	0	5	0	5	0	0	0	0	0	5	0	0	0	0.0	11.14	8111.6	0.0	0.0	1997110161.0
000a002155	2001	77	1	1	11	3	10	2	1	1	0	0	10	3	1	0	1.0	27.0	20622.6	1733.3	0.0	1997110161.0
000a002155	2000	142	2	1	6	2	6	2	0	0	0	0	5	2	0	0	0.5	6.45	10497.5	1600.0	0.0	1997110161.0
000a002155	1999	227	1	1	3	2	1	1	0	0	2	1	3	2	0	0	1.0	7.46	6263.2	1600.0	0.0	1997110161.0
