horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	重賞/出走	重賞/勝利	特別/出走	平場/出走	芝/出走	ダート/出走	勝利/ダート
000a000465	2002	507	1	0	8	0	0.0	0.0	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1994102639.0										
000a000465	2001	398	2	1	8	1	0.0	0.0	6.0	0.0	2.0	1.0	8.0	1.0	0.0	0.0	0.5	0.63	970.0	1200.0	0.0	1997106525.0										
000a000465	2000	377	8	0	36	0	0.0	0.0	15.0	0.0	21.0	0.0	16.0	0.0	14.0	0.0	0.0	0.19	1228.0	0.0	0.0	1996101290.0										
000a000465	1999	157	16	7	79	8	4.0	0.0	24.0	1.0	51.0	7.0	34.0	4.0	45.0	4.0	0.43799999999999994	0.73	9772.1	1400.0	1350.0	1992100584.0										
000a000465	1998	111	27	8	136	9	0.0	0.0	30.0	1.0	106.0	8.0	45.0	5.0	81.0	3.0	0.29600000000000004	0.67	15722.7	1360.0	1433.3	1995101980.0										
000a000465	1997	72	32	9	230	14	4.0	0.0	44.0	4.0	182.0	10.0	127.0	8.0	101.0	6.0	0.281	0.88	24603.3	1725.0	1300.0	1992105906.0										
000a000465	1996	39	45	12	250	16	3.0	0.0	63.0	5.0	184.0	11.0	110.0	9.0	120.0	5.0	0.267	0.91	36328.2	1466.7	1680.0	1990101026.0										
000a000465	1995	38	51	23	358	26	2.0	0.0	81.0	2.0	275.0	24.0	151.0	13.0	189.0	12.0	0.451	0.85	37807.5	1538.5	1391.7	1991101876.0										
000a000465	1994	18	60	25	428	37	10.0	1.0	97.0	10.0	321.0	26.0	170.0	14.0	241.0	19.0	0.41700000000000004	1.22	63472.0	1557.1	1352.6	1988107647.0										
000a000465	1993	15	58	29	410	35	15.0	1.0	146.0	4.0	249.0	30.0	271.0	17.0	137.0	18.0	0.5	1.37	69737.0	1541.2	1283.3	1987103821.0										
000a000465	1992	11	70	27	402	46	13.0	0.0	121.0	18.0	268.0	28.0	254.0	32.0	143.0	14.0	0.386	1.21	75551.5	1565.6	1421.4	1987103821.0										
000a000465	1991	10	87	33	509	46	22.0	0.0	159.0	12.0	328.0	34.0	332.0	29.0	160.0	17.0	0.379	1.08	81834.0	1493.1	1294.1	1987106455.0										
000a000465	1990	8	93	37	609	56	34.0	2.0	161.0	15.0	414.0	39.0	341.0	36.0	238.0	17.0	0.39799999999999996	1.21	92444.5	1558.3	1305.9	1986101762.0										
000a000465	1989	8	89	43	642	63	25.0	1.0	182.0	22.0	435.0	40.0	397.0	40.0	243.0	23.0	0.483	1.36	95986.5	1505.0	1400.0	1984101477.0										
000a000465	1988	10	82	38	569	53	12.0	1.0	114.0	12.0	443.0	40.0	337.0	28.0	218.0	25.0	0.46299999999999997	1.09	68928.0	1535.7	1380.0	1986101762.0										
000a000465	1987	26	60	25	341	35	9.0	0.0	74.0	6.0	258.0	29.0	202.0	22.0	98.0	11.0	0.41700000000000004	0.93	41602.0	1522.7	1518.2	1983106896.0										
000a000465	1986	9	52	22	336	34	36.0	2.0	87.0	15.0	213.0	17.0	240.0	28.0	77.0	5.0	0.423	1.69	60742.0	1475.0	1440.0	1981104817.0										
000a000465	1985	12	52	25	349	37	0.0	0.0	0.0	0.0	349.0	37.0	0.0	0.0	349.0	37.0	0.48100000000000004	1.52	53439.5	0.0	1635.1	1982100540.0										
000a000465	1984	22	50	16	271	26	0.0	0.0	0.0	0.0	271.0	26.0	0.0	0.0	271.0	26.0	0.32	1.15	38727.0	0.0	1659.6	1979106304.0										
000a000465	1983	12	42	16	285	27	0.0	0.0	0.0	0.0	285.0	27.0	0.0	0.0	285.0	27.0	0.381	1.45	40950.5	0.0	1755.2	1980105899.0										
