horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	勝利/ダート
000a000fb3	1960	172	1	0	4	0	0	0	0	0.0	4	0.0	4	0.0	0	0.0	0.0	0.13	7.5	0.0	0.0	000a002dad				
000a0004b0	1975	320	1	1	7	1	0	0	0		7		4		3	1.0	1.0	0.48	286.0	0.0	1700.0	1972z00534	0.0	1.0	0.0	
000a0004b0	1974	302	1	0	6	0	0	0	0		6		6		0	0.0	0.0	0.47	225.0	0.0	0.0	1972z00534	0.0	0.0	0.0	
000a0004b0	1973	277	3	0	23	0	0	0	0		23		8		15	0.0	0.0	0.2	284.0	0.0	0.0	1970z01131	0.0	0.0	0.0	
000a0004b0	1972	223	5	1	23	1	0	0	0		23		13		10	1.0	0.2	0.25	513.0	0.0	1600.0	1969z00902	0.0	1.0	0.0	
000a0004b0	1971	108	13	2	63	4	0	0	0		63		41		22	0.0	0.154	0.47	2402.0	1725.0	0.0	000a000b35	0.0	4.0	4.0	
000a0004b0	1970	39	18	7	99	11	0	0	0		99		70		29	3.0	0.389	1.92	12523.0	1875.0	2706.7	1955101524	0.0	11.0	8.0	
000a0004b0	1969	33	29	11	171	19	0	0	0		171		134		37	5.0	0.379	1.19	11859.0	1978.6	1880.0	000a003f5a	0.0	19.0	14.0	
000a0004b0	1968	28	36	17	287	28	0	0	0		287		253		34	3.0	0.472	1.04	8846.0	1728.0	1500.0	000a003e0f	0.0	28.0	25.0	
000a0004b0	1967	27	41	17	261	29	0	0	0		261		227		34	3.0	0.415	0.99	8235.0	1542.3	1866.7	000a003bfb	0.0	29.0	26.0	
000a0004b0	1966	32	27	15	165	25	0	0	0		165		159		6	1.0	0.556	0.93	3999.5	1545.8	1000.0	000a003d5f	0.0	25.0	24.0	
000a0004b0	1965	89	12	6	54	9	0	0	0		54		54		0	0.0	0.5	0.5	715.5	1200.0	0.0	000a0036a0	0.0	9.0	9.0	
000a0004b0	1962	96	1	1	13	2	0	0	0		13		13		0	0.0	1.0	2.34	182.0	1700.0	0.0	000a000a61	0.0	2.0	2.0	
000a0004b0	1961	72	1	1	18	5	0	0	0		18		18		0	0.0	1.0	5.1	348.8	1840.0	0.0	000a000a61	0.0	5.0	5.0	
000a0004b0	1960	179	1	0	2	0	0	0	0		2		2		0	0.0	0.0	0.05	3.0	0.0	0.0	000a000a61	0.0	0.0	0.0	
000a00096c	1969	178	1	1	12	3	0	0	0		12		12		0		1.0	1.73	597.0	1733.3	0.0	1965z00751	0.0	3.0	3.0	0.0
000a00096c	1968	240	4	1	27	1	0	0	0		27		24		3		0.25	0.18	167.0	1200.0	0.0	1965z00751	0.0	1.0	1.0	0.0
000a00096c	1967	82	5	4	67	5	0	0	0		67		61		6		0.8	1.54	1556.0	1966.7	1700.0	1965z00751	0.0	5.0	3.0	2.0
000a00096c	1966	55	12	5	114	10	0	0	0		114		114		0		0.417	1.04	1982.5	2110.0	0.0	000a003c54	0.0	10.0	10.0	0.0
000a00096c	1965	41	19	9	184	12	0	0	0		184		180		4		0.474	0.91	2079.3	1866.7	0.0	1962z00145	0.0	12.0	12.0	0.0
000a00096c	1964	23	28	13	259	22	0	0	0		259		255		4		0.464	1.09	2997.5	1913.2	2333.3	1961z00389	0.0	22.0	19.0	3.0
000a00096c	1963	17	33	14	356	25	0	0	0		356		352		4		0.424	1.03	2976.3	1664.0	0.0	000a0034be	0.0	25.0	25.0	0.0
000a00096c	1962	15	34	17	367	33	0	0	0		367		361		6		0.5	1.04	2750.9	1560.6	0.0	000a0032d5	0.0	33.0	33.0	0.0
000a00096c	1961	40	21	6	173	12	0	0	0		173		170		3		0.286	0.6	866.6	1675.0	0.0	1959z00141	0.0	12.0	12.0	0.0
000a00096c	1960	126	5	1	26	1	0	0	0		26		26		0		0.2	0.22	63.5	1200.0	0.0	1958z00041	0.0	1.0	1.0	0.0
