horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	出走/重賞	勝利/重賞	出走/特別	特別/勝利	出走/平場	平場/勝利	出走/芝	芝/勝利	出走/ダート	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬	勝利/特別	勝利/平場	勝利/芝	重賞/出走	重賞/勝利	特別/出走	平場/出走	芝/出走	ダート/出走	勝利/ダート
000a0002a3	1977	410	1	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1973z01454										
000a0002a3	1976	266	5	2	22	2	0.0	0.0	0.0	0.0	22.0	2.0	4.0	0.0	18.0	2.0	0.4	0.29	920.0	0.0	1900.0	1973z01228										
000a0002a3	1975	207	7	2	43	2	0.0	0.0	0.0	0.0	43.0	2.0	15.0	1.0	28.0	1.0	0.286	0.39	1631.0	1800.0	1800.0	1972z00331										
000a0002a3	1974	85	19	4	121	8	0.0	0.0	0.0	0.0	121.0	8.0	47.0	2.0	74.0	6.0	0.211	0.69	6376.0	1600.0	2166.7	1970z00205										
000a0002a3	1973	75	22	10	179	14	0.0	0.0	0.0	0.0	179.0	14.0	87.0	6.0	92.0	8.0	0.455	0.88	8916.0	1333.3	1650.0	1969z00016										
000a0002a3	1972	54	28	11	227	15	0.0	0.0	0.0	0.0	227.0	15.0	142.0	10.0	85.0	5.0	0.393	0.88	10280.0	1750.0	1580.0	000a004ea8										
000a0002a3	1971	68	35	10	223	17	0.0	0.0	0.0	0.0	223.0	17.0	155.0	9.0	68.0	8.0	0.286	0.41	5639.5	1655.6	1350.0	1955100994										
000a0002a3	1970	140	20	4	87	4	0.0	0.0	0.0	0.0	87.0	4.0	77.0	3.0	10.0	1.0	0.2	0.18	1299.0	1200.0	1100.0	000a0047aa										
000a001781	1970	348	1	0	12	0	0.0	0.0	0.0		12.0		9.0		3.0	0.0	0.0	0.03	10.0	0.0	0.0	1967z00839	0.0	0.0	0.0							
000a000a3b	1980	384	2	1	13	1	0.0	0.0	0.0		13.0		4.0		9.0	1.0	0.5	0.34	430.0	0.0	1600.0	1977z00145	0.0	1.0	0.0							
000a000a3b	1979	277	4	1	31	1	0.0	0.0	0.0		31.0		0.0		31.0	1.0	0.25	0.67	1591.0	0.0	3290.0	1973z01541	0.0	1.0	0.0							
000a000a3b	1978	227	6	1	52	1	0.0	0.0	0.0		52.0		11.0		41.0	1.0	0.1669999999999999	0.59	2270.0	0.0	1800.0	1972z01395	0.0	1.0	0.0							
000a000a3b	1977	146	7	2	32	4	0.0	0.0	0.0		32.0		7.0		25.0	4.0	0.286	1.04	4435.0	0.0	3050.0	1972z01360	0.0	4.0	0.0							
000a000a3b	1976	126	10	2	75	5	0.0	0.0	0.0		75.0		21.0		54.0	4.0	0.2	0.88	5529.0	2600.0	2585.0	1971z00533	0.0	5.0	1.0							
000a000a3b	1975	68	21	5	176	9	0.0	0.0	0.0		176.0		59.0		117.0	6.0	0.238	0.8	10038.5	1600.0	2170.0	1970z00834	0.0	9.0	3.0							
000a000a3b	1974	57	27	10	222	18	0.0	0.0	0.0		222.0		59.0		163.0	14.0	0.37	0.86	11202.0	2000.0	1807.1	1955103242	0.0	18.0	4.0							
000a000a3b	1973	44	29	11	247	16	0.0	0.0	0.0		247.0		133.0		114.0	10.0	0.379	0.96	12941.5	1350.0	2081.0	1955102693	0.0	16.0	6.0							
000a000a3b	1972	70	26	11	216	12	0.0	0.0	0.0		216.0		128.0		88.0	5.0	0.423	0.75	8084.5	1942.9	1858.0	1955101851	0.0	12.0	7.0							
000a000a3b	1971	49	26	16	269	28	0.0	0.0	0.0		269.0		162.0		107.0	15.0	0.615	1.05	10696.0	1823.1	1573.3	000a004441	0.0	28.0	13.0							
000a000a3b	1970	129	20	5	88	6	0.0	0.0	0.0		88.0		82.0		6.0	0.0	0.25	0.22	1583.0	1166.7	0.0	000a004c66	0.0	6.0	6.0							
000a00103a	1970	277	1	0	8	0											0.0	0.54	196.0	0.0	0.0	1955101550.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	7.0	0.0
000a000a31	1979	394	1	0	15	0											0.0	0.7	417.0	0.0	0.0	1976z00070	0.0	0.0	0.0	0.0	0.0	0.0	15.0	8.0	7.0	0.0
000a000a31	1978	434	3	0	11	0											0.0	0.01	27.0	0.0	0.0	1976z00070	0.0	0.0	0.0	0.0	0.0	0.0	11.0	4.0	7.0	0.0
000a000a31	1977	200	6	1	40	1											0.1669999999999999	0.71	2605.0	1800.0	0.0	1972z01348	0.0	1.0	1.0	0.0	0.0	0.0	40.0	16.0	24.0	0.0
000a000a31	1976	121	6	3	58	7											0.5	1.53	5776.0	1750.0	1660.0	1970z01194	0.0	7.0	2.0	0.0	0.0	0.0	58.0	20.0	38.0	5.0
000a000a31	1975	99	14	3	99	4											0.214	0.74	6172.0	0.0	1675.0	1971z00165	0.0	4.0	0.0	0.0	0.0	0.0	99.0	28.0	71.0	4.0
000a000a31	1974	101	19	9	131	11											0.474	0.53	4911.0	1600.0	1884.3	000a005bac	0.0	11.0	4.0	0.0	0.0	0.0	131.0	50.0	81.0	7.0
000a000a31	1973	65	18	5	134	11											0.278	1.26	10539.0	2114.3	2695.0	1968z00644	0.0	11.0	7.0	0.0	0.0	0.0	134.0	68.0	66.0	4.0
000a000a31	1972	72	14	8	115	11											0.5710000000000001	1.28	7457.0	2000.0	2575.0	1968z00268	0.0	11.0	7.0	0.0	0.0	0.0	115.0	65.0	50.0	4.0
000a000a31	1971	81	17	7	122	12											0.412	0.62	4123.0	1775.0	1525.0	000a000bb1	0.0	12.0	8.0	0.0	0.0	0.0	122.0	76.0	46.0	4.0
000a000a31	1970	191	10	2	48	2											0.2	0.18	655.0	1000.0	0.0	1968z00268	0.0	2.0	2.0	0.0	0.0	0.0	48.0	46.0	2.0	0.0
000a000833	1986	344	1	1	11	1	0.0	0.0	3.0		8.0		3.0		8.0		1.0	1.11	768.0	0.0	1700.0	1981104903	0.0	1.0	0.0							1.0
000a000833	1985	313	5	1	39	1	0.0	0.0	0.0		39.0		0.0		39.0		0.2	0.36	1206.0	0.0	1700.0	1982102659	0.0	1.0	0.0							1.0
000a000833	1984	179	16	4	71	5	0.0	0.0	0.0		71.0		0.0		71.0		0.25	0.44	4751.0	0.0	1760.0	1980104617	0.0	5.0	0.0							5.0
000a000833	1983	163	17	8	93	8	0.0	0.0	0.0		93.0		0.0		93.0		0.471	0.49	5604.0	0.0	1500.0	1979104250	0.0	8.0	0.0							8.0
000a000833	1982	152	14	2	79	3	0.0	0.0	0.0		79.0		2.0		77.0		0.143	0.66	6250.0	0.0	1633.3	1977102237	0.0	3.0	0.0							3.0
000a000833	1981	66	21	5	126	6	0.0	0.0	0.0		126.0		40.0		86.0		0.238	1.06	14950.0	1800.0	2060.0	1977102453	0.0	6.0	1.0							5.0
000a000833	1980	42	26	14	218	17	0.0	0.0	0.0		218.0		93.0		125.0		0.538	1.24	20669.5	1900.0	2081.8	1977101028	0.0	17.0	6.0							11.0
000a000833	1979	35	29	12	186	19	0.0	0.0	0.0		186.0		101.0		85.0		0.414	1.32	22661.0	1670.0	1666.7	1977104247	0.0	19.0	10.0							9.0
000a000833	1978	106	17	7	107	9	0.0	0.0	0.0		107.0		53.0		54.0		0.412	0.86	9399.0	1328.6	1500.0	1973101655	0.0	9.0	7.0							2.0
000a000833	1977	91	19	5	107	7	0.0	0.0	0.0		107.0		28.0		79.0		0.263	0.78	9096.0	1466.7	1575.0	1955106300	0.0	7.0	3.0							4.0
000a000833	1976	33	26	9	172	19	0.0	0.0	0.0		172.0		48.0		124.0		0.346	1.36	22124.0	1480.0	1835.7	1955104721	0.0	19.0	5.0							14.0
000a000833	1975	14	33	15	254	32	0.0	0.0	0.0		254.0		66.0		188.0		0.455	2.01	39463.0	1776.5	1906.0	000a00591e	0.0	32.0	17.0							15.0
000a000833	1974	32	43	19	274	31	0.0	0.0	0.0		274.0		117.0		157.0		0.442	0.95	19704.0	1528.6	1581.8	1955103225	0.0	31.0	14.0							17.0
000a000833	1973	30	41	20	264	29	0.0	0.0	0.0		264.0		148.0		116.0		0.488	0.99	18738.0	1750.0	1793.9	1955102818	0.0	29.0	16.0							13.0
000a000833	1972	39	36	19	280	34	0.0	0.0	0.0		280.0		164.0		116.0		0.528	0.98	14686.0	1735.3	1664.1	1955101997	0.0	34.0	17.0							17.0
000a000833	1971	63	33	13	211	20	0.0	0.0	0.0		211.0		154.0		57.0		0.394	0.61	7861.0	1485.7	1600.0	1955100999	0.0	20.0	14.0							6.0
000a000833	1970	90	20	9	91	10	0.0	0.0	0.0		91.0		83.0		8.0		0.45	0.41	2950.0	1140.0	0.0	000a004923	0.0	10.0	10.0							0.0
