	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201254010101	ダ	右	1300	晴	良	13:20	今年も高知競馬特別		2012-1-1	13	高知	4	(見込)		2	240	2	2	100	2	10	100	3	9.0	100	1.0	2-10	330	2	2-10	120	1	2-9	130	2	9-10	170	3.0	2=>10	470	2	2-9-10	170	1	2=>10=>9	690	2.0	9,(2,6),10,(1,7),(4,5),8,3	9,2,6,(1,7,10),4,5,8,3	92610174853	(9,2),10,6,4,8,1,5,3,7					
201254010102	ダ	右	1300	晴	良	13:50	初夢特別		2012-1-1	13	高知	4	(見込)		10	630	3	10	220	3	7	130	2	11.0	1,060	6.0	7-10	590	2	7-10	280	2	10-11	1,220	11	7-11	980	7.0	10=>7	3810	9	7-10-11	3850	10	10=>7=>11	20230	47.0	(5,8),10,11,6,7,4,9,12,1,(2,3)	5,8,10,11,6,7,4,(9,12),1,2,3	5,8,(10,11),(6,9),(4,12),7,1,2,3	10,(5,7),11,4,6,12,8,9,1,2,3					
201254010103	ダ	右	1300	晴	良	14:20	初詣特別		2012-1-1	13	高知	4	(見込)		7	150	1	7	120	2	2	100	1	4.0	180	4.0	2-7	190	1	2-7	130	2	4-7	110	1	2-4	130	3.0	7=>2	230	1	2-4-7	200	1	7=>2=>4	320	1.0	(2,5),8,10,7,12,11,4,3,6,1,9	258710124113169	2,(5,8,7),4,12,10,11,1,3,6,9	724111236110859					
201254010104	ダ	右	1300	晴	良	14:50	熊手特別		2012-1-1	13	高知	4	(見込)		4	130	1	4	100	1	9	170	4	1.0	110	2.0	4-9	440	3	4-9	260	3	1-4	160	2	1-9	930	12.0	4=>9	560	3	1-4-9	650	3	4=>9=>1	2510	6.0	(1,11),4,7,9,8,10,5,3,2,6	1,11,4,7,9,8,(5,10),(2,3),6	1114798103562	1,11,4,9,8,3,5,(7,10),6,2					
201254010105	ダ	右	1300	晴	良	15:20	宝船特別		2012-1-1	13	高知	4	(見込)		3	400	2	3	130	2	2	110	1	7.0	130	4.0	2-3	210	1	2-3	140	1	3-7	380	7	2-7	150	2.0	3=>2	740	2	2-3-7	640	3	3=>2=>7	3640	9.0	12921131017546	12921131107546	12,9,2,(3,11),7,10,(1,5),4,6	12,3,(7,2),9,5,4,10,1,6,11					
201254010106	ダ	右	1300	晴	良	15:50	破魔矢特別		2012-1-1	13	高知	4	(見込)		1	2390	7	1	900	7	8	190	3	3.0	230	4.0	1-8	24620	26	1-8	5,410	23	1-3	3,890	21	3-8	780	9.0	1=>8	34870	46	1-3-8	28070	37	1=>8=>3	250410	243.0	8,(1,5),7,6,4,3,2	8,5,(1,7),(4,6,3),2	8,5,3,(1,7),(4,6),2	8,5,1,3,(4,6),(7,2)					
201254010107	ダ	右	1300	晴	良	16:20	チャレンジ特別 		2012-1-1	13	高知	4	(見込)		9	350	2	9	210	4	8	160	3	11.0	140	2.0	8-9	740	4	8-9	380	6	9-11	330	5	8-11	180	2.0	9=>8	1100	5	8-9-11	800	4	9=>8=>11	2700	8.0	6,9,8,11,(2,3),(1,4),7,5,10	6,9,8,2,(3,11),(1,4),7,10,5	6,9,8,(2,11),3,(1,4),7,5,10	9,6,8,3,11,2,10,(1,7),(4,5)					
201254010108	ダ	右	1400	晴	良	16:50	七福神特別		2012-1-1	13	高知	4	(見込)		2	190	1	2	100	2	9	100	1	1.0	170	4.0	2-9	170	1	2-9	140	1	1-2	260	5	1-9	220	3.0	2=>9	380	2	1-2-9	260	1	2=>9=>1	1230	2.0	1,4,5,(2,6),9,7,3,8	145269738	1,(4,5,9),2,(7,8),6,3	2,1,(5,8,9),6,(3,4),7					
201254010109	ダ	右	1600	晴	良	17:20	いま賭け重版御礼特別		2012-1-1	13	高知	4	(見込)		8	120	1	8	100	1	2	130	3	3.0	340	4.0	2-8	230	1	2-8	120	1	3-8	320	5	2-3	330	6.0	8=>2	340	1	2-3-8	580	2	8=>2=>3	1240	3.0	3,4,5,8,(1,2),9,7,6	345812967	348526197	(3,4),8,2,1,6,9,5,7					
201254010110	ダ	右	1600	晴	良	17:50	ニュー屋台歌特別		2012-1-1	13	高知	4	(見込)		5	410	2	5	170	2	4	190	3	2.0	310	4.0	4-5	990	4	4-5	420	6	2-5	410	5	2-4	380	4.0	5=>4	2510	8	2-4-5	1610	4	5=>4=>2	5540	19.0	6,(5,8),2,3,4,7,1	6,(5,8),2,3,4,7,1	(5,6,8),2,3,4,7,1	5,(4,2),3,6,8,7,1					
